sensor_count	memory_rss%	net_receive	net_send	container_cpu%	timestamp	host_cpu	host_moving_avg_cpu	memory_active_anon%	name	memory%
0	15.97	19334876.638	19801587.878	1.65	2018-08-19T08:08:05.284342056Z	0	nan	15.97	kafka-001	89.41
0	15.97	2.107	1.274	1.63	2018-08-19T08:08:12.295970592Z	1.65	nan	15.97	kafka-001	89.41
0	15.97	1.865	1.052	1.55	2018-08-19T08:08:19.309779442Z	1.63	nan	15.97	kafka-001	89.41
0	15.97	4.206	2.278	1.62	2018-08-19T08:08:26.324014751Z	1.55	nan	15.97	kafka-001	89.41
0	15.97	2.793	1.568	2.62	2018-08-19T08:08:33.335463398Z	1.62	nan	15.97	kafka-001	89.41
0	15.97	3.774	2.164	2.21	2018-08-19T08:08:40.347235181Z	2.62	1.51	15.97	kafka-001	89.41
0	15.97	3.423	2.14	1.45	2018-08-19T08:08:47.35816252Z	2.21	1.88	15.97	kafka-001	89.41
0	15.97	3.533	2.231	1.54	2018-08-19T08:08:54.376038586Z	1.45	1.85	15.97	kafka-001	89.41
0	15.97	3.882	2.128	1.69	2018-08-19T08:09:01.387724029Z	1.54	1.83	15.97	kafka-001	89.41
0	15.97	2.751	1.526	2.5	2018-08-19T08:09:08.400473997Z	1.69	1.86	15.97	kafka-001	89.41
0	15.97	3.464	1.89	2.22	2018-08-19T08:09:15.413527492Z	2.5	2.0	15.97	kafka-001	89.41
0	15.97	2.607	1.584	1.53	2018-08-19T08:09:22.424538257Z	2.22	1.94	15.97	kafka-001	89.41
