sensor_count	memory_rss%	net_receive	net_send	container_cpu%	timestamp	host_cpu	host_moving_avg_cpu	memory_active_anon%	name	memory%
3	15.97	19712819.616	20162488.238	2.33	2018-08-19T10:04:21.957412733Z	0	nan	15.97	kafka-001	89.55
7	15.97	27.215	16.431	3.7	2018-08-19T10:04:28.9685544Z	2.33	nan	15.97	kafka-001	89.55
11	15.97	47.74	48.384	5.06	2018-08-19T10:04:35.980855048Z	3.7	nan	15.97	kafka-001	89.55
15	15.97	63.667	44.861	4.73	2018-08-19T10:04:42.993874743Z	5.06	nan	15.97	kafka-001	89.55
18	15.97	77.49	55.292	5.69	2018-08-19T10:04:50.004811375Z	4.73	nan	15.97	kafka-001	89.55
22	15.97	92.709	99.702	6.47	2018-08-19T10:04:57.016130222Z	5.69	3.59	15.97	kafka-001	89.55
25	15.97	108.873	79.648	5.43	2018-08-19T10:05:04.039882929Z	6.47	4.66	15.97	kafka-001	89.55
28	15.97	123.466	136.455	8.09	2018-08-19T10:05:11.049734004Z	5.43	5.18	15.97	kafka-001	89.55
31	15.97	133.053	99.075	8.02	2018-08-19T10:05:18.0612156Z	8.09	5.91	15.97	kafka-001	89.55
33	15.97	145.568	166.396	9.41	2018-08-19T10:05:25.072061666Z	8.02	6.4	15.97	kafka-001	89.55
36	15.97	154.083	117.264	8.86	2018-08-19T10:05:32.084016285Z	9.41	7.18	15.97	kafka-001	89.55
38	15.97	163.677	124.61	11.05	2018-08-19T10:05:39.097937398Z	8.86	7.71	15.97	kafka-001	89.55
41	15.97	172.148	203.891	10.76	2018-08-19T10:05:46.110300551Z	11.05	8.48	15.97	kafka-001	89.55
43	15.97	182.455	141.751	11.24	2018-08-19T10:05:53.121533764Z	10.76	9.36	15.97	kafka-001	89.56
45	15.97	194.15	228.962	11.59	2018-08-19T10:06:00.132857432Z	11.24	9.89	15.97	kafka-001	89.56
48	15.97	202.153	157.002	12.25	2018-08-19T10:06:07.142269917Z	11.59	10.48	15.97	kafka-001	89.56
50	15.97	200.581	157.22	10.02	2018-08-19T10:06:14.155009203Z	12.25	10.96	15.97	kafka-001	89.56
52	15.97	218.776	262.031	12.53	2018-08-19T10:06:21.168647026Z	10.02	11.15	15.97	kafka-001	89.56
54	15.97	222.481	178.487	13.33	2018-08-19T10:06:28.180405618Z	12.53	11.4	15.97	kafka-001	89.56
56	15.97	232.836	282.301	13.86	2018-08-19T10:06:35.192633879Z	13.33	11.83	15.97	kafka-001	89.56
58	15.97	238.543	191.996	14.94	2018-08-19T10:06:42.20689014Z	13.86	12.26	15.97	kafka-001	89.57
60	15.97	246.381	193.292	14.89	2018-08-19T10:06:49.220173851Z	14.94	12.82	15.97	kafka-001	89.57
62	15.97	255.986	303.923	15.5	2018-08-19T10:06:56.232932614Z	14.89	13.26	15.97	kafka-001	89.57
63	15.97	261.177	205.402	15.32	2018-08-19T10:07:03.254143004Z	15.5	14.17	15.97	kafka-001	89.57
65	15.97	271.862	324.242	15.54	2018-08-19T10:07:10.266984347Z	15.32	14.64	15.97	kafka-001	89.57
67	15.97	269.95	216.396	15.93	2018-08-19T10:07:17.279638502Z	15.54	15.01	15.97	kafka-001	89.58
69	15.97	285.16	227.23	17.13	2018-08-19T10:07:24.291185815Z	15.93	15.35	15.97	kafka-001	89.58
71	15.97	298.634	356.112	17.94	2018-08-19T10:07:31.302743667Z	17.13	15.72	15.97	kafka-001	89.58
72	15.97	300.029	237.6	18.19	2018-08-19T10:07:38.314011524Z	17.94	16.23	15.97	kafka-001	89.58
74	15.97	311.538	370.134	18.86	2018-08-19T10:07:45.327420361Z	18.19	16.67	15.97	kafka-001	89.58
75	15.97	319.095	248.188	19.05	2018-08-19T10:07:52.338942917Z	18.86	17.26	15.97	kafka-001	89.59
77	15.97	321.243	252.396	18.79	2018-08-19T10:07:59.351824994Z	19.05	17.85	15.97	kafka-001	89.59
79	15.97	321.82	392.62	19.14	2018-08-19T10:08:06.366251598Z	18.79	18.33	15.97	kafka-001	89.59
80	15.97	329.741	263.862	20.46	2018-08-19T10:08:13.37712636Z	19.14	18.66	15.97	kafka-001	89.59
82	15.97	344.79	410.724	16.59	2018-08-19T10:08:20.388382081Z	20.46	19.08	15.97	kafka-001	89.32
83	15.97	346.409	275.652	20.68	2018-08-19T10:08:27.40153418Z	16.59	18.81	15.97	kafka-001	89.32
85	15.97	354.515	281.492	21.01	2018-08-19T10:08:34.413897876Z	20.68	19.12	15.97	kafka-001	89.32
86	15.97	354.517	429.358	21.17	2018-08-19T10:08:41.425292205Z	21.01	19.44	15.97	kafka-001	89.32
88	15.97	349.682	286.246	21.06	2018-08-19T10:08:48.436279093Z	21.17	19.84	15.97	kafka-001	89.33
89	15.97	371.334	448.662	22.66	2018-08-19T10:08:55.446330369Z	21.06	20.16	15.97	kafka-001	89.33
90	15.97	372.151	295.808	18.58	2018-08-19T10:09:02.455085623Z	22.66	20.53	15.97	kafka-001	89.33
92	15.97	376.027	304.79	21.34	2018-08-19T10:09:09.465914267Z	18.58	20.86	15.97	kafka-001	89.33
93	15.97	384.008	472.528	21.36	2018-08-19T10:09:16.480209234Z	21.34	20.97	15.97	kafka-001	89.34
95	15.97	385.677	306.378	23.61	2018-08-19T10:09:23.491375448Z	21.36	21.03	15.97	kafka-001	89.34
96	15.97	381.662	473.389	22.27	2018-08-19T10:09:30.499921052Z	23.61	21.43	15.97	kafka-001	89.34
