----------------------------------------------------------------
host_cpu	net_receive	net_send	memory%	memory_active_anon%	host_moving_avg_cpu	timestamp	memory_rss%	sensor_count	name	container_cpu%
0	350.709	6754.042	93.08	37.12	nan	2018-08-08T18:00:31.986664089Z	37.12	1	cassandra-001	52.88
52.88	0.0	0.0	93.02	37.12	nan	2018-08-08T18:00:38.994625677Z	37.12	5	cassandra-001	47.54
47.54	0.0	0.0	93.1	37.12	nan	2018-08-08T18:00:46.00254827Z	37.12	9	cassandra-001	68.33
68.33	2.833	59.497	93.0	37.12	nan	2018-08-08T18:00:53.01056394Z	37.12	12	cassandra-001	26.05
26.05	0.0	0.0	92.81	37.13	nan	2018-08-08T18:01:00.01814405Z	37.13	16	cassandra-001	72.26
72.26	0.0	0.0	93.15	37.19	44.51	2018-08-08T18:01:07.026479076Z	37.19	19	cassandra-001	93.28
93.28	0.0	0.0	93.11	37.13	60.06	2018-08-08T18:01:14.032922202Z	37.13	22	cassandra-001	69.52
69.52	0.282	0.342	93.06	37.12	62.83	2018-08-08T18:01:21.041318059Z	37.12	25	cassandra-001	91.93
91.93	2.965	59.893	93.14	37.12	70.23	2018-08-08T18:01:28.052091317Z	37.12	28	cassandra-001	76.87
76.87	0.0	0.0	92.99	37.13	71.65	2018-08-08T18:01:35.058669628Z	37.13	31	cassandra-001	105.68
105.68	0.0	0.0	92.87	37.31	84.92	2018-08-08T18:01:42.06496201Z	37.31	33	cassandra-001	82.93
82.93	0.0	0.0	93.06	37.27	86.7	2018-08-08T18:01:49.071759146Z	37.27	36	cassandra-001	92.93
92.93	2.833	59.629	92.87	37.13	86.64	2018-08-08T18:01:56.079673283Z	37.13	38	cassandra-001	108.1
108.1	0.0	0.0	92.91	37.16	93.07	2018-08-08T18:02:03.088071363Z	37.16	41	cassandra-001	82.0
82.0	0.0	0.0	93.14	37.16	91.42	2018-08-08T18:02:10.098812625Z	37.16	43	cassandra-001	46.42
46.42	0.0	0.0	92.84	37.16	86.34	2018-08-08T18:02:17.104288097Z	37.16	46	cassandra-001	92.23
92.23	0.0	0.0	92.84	37.16	84.1	2018-08-08T18:02:24.113145235Z	37.16	48	cassandra-001	84.8
84.8	3.115	59.971	92.83	37.16	84.41	2018-08-08T18:02:31.119431194Z	37.16	50	cassandra-001	103.9
103.9	0.0	0.0	93.09	37.16	86.24	2018-08-08T18:02:38.126520718Z	37.16	52	cassandra-001	89.22
89.22	0.0	0.0	92.93	37.16	83.1	2018-08-08T18:02:45.133798024Z	37.16	54	cassandra-001	50.19
50.19	3.097	59.761	92.77	37.16	77.79	2018-08-08T18:02:52.142132062Z	37.16	56	cassandra-001	101.24
101.24	0.0	0.0	93.0	37.16	86.93	2018-08-08T18:02:59.149250443Z	37.16	58	cassandra-001	102.03
102.03	0.0	0.0	92.02	37.17	88.56	2018-08-08T18:03:06.155525582Z	37.17	61	cassandra-001	100.84
100.84	0.0	0.0	93.05	37.17	91.24	2018-08-08T18:03:13.165339643Z	37.17	62	cassandra-001	111.65
111.65	2.965	59.431	92.94	37.16	92.53	2018-08-08T18:03:20.172554171Z	37.16	65	cassandra-001	70.35
70.35	0.0	0.0	92.91	37.26	89.38	2018-08-08T18:03:27.179226271Z	37.26	67	cassandra-001	127.8
127.8	0.0	0.0	93.04	37.06	102.32	2018-08-08T18:03:34.186175146Z	37.06	69	cassandra-001	112.78
112.78	0.0	0.0	92.84	37.06	104.24	2018-08-08T18:03:41.195878605Z	37.06	71	cassandra-001	108.62
108.62	0.282	0.342	91.41	37.06	105.34	2018-08-08T18:03:48.202372799Z	37.06	72	cassandra-001	86.29
86.29	0.0	0.0	93.03	37.06	102.92	2018-08-08T18:03:55.208123637Z	37.06	74	cassandra-001	87.34
87.34	0.0	0.0	92.9	37.06	98.86	2018-08-08T18:04:02.21471648Z	37.06	76	cassandra-001	114.57
114.57	2.899	59.563	92.94	37.06	106.23	2018-08-08T18:04:09.226353161Z	37.06	78	cassandra-001	127.15
127.15	0.0	0.0	93.09	37.06	106.13	2018-08-08T18:04:16.232570849Z	37.06	79	cassandra-001	122.05
122.05	3.229	59.563	93.13	37.06	107.67	2018-08-08T18:04:23.239081454Z	37.06	80	cassandra-001	70.08
70.08	0.0	0.0	92.9	37.07	101.25	2018-08-08T18:04:30.246391372Z	37.07	80	cassandra-001	77.29
77.29	0.0	0.0	92.91	37.08	99.75	2018-08-08T18:04:37.255137242Z	37.08	80	cassandra-001	111.55
111.55	0.0	0.0	93.1	37.08	103.78	2018-08-08T18:04:44.261797891Z	37.08	80	cassandra-001	121.16
121.16	3.097	59.761	92.92	37.08	104.88	2018-08-08T18:04:51.271927324Z	37.08	80	cassandra-001	116.1
116.1	0.0	0.0	92.86	37.09	103.04	2018-08-08T18:04:58.278947256Z	37.09	80	cassandra-001	91.04
91.04	0.0	0.0	92.97	37.09	97.87	2018-08-08T18:05:05.286185544Z	37.09	80	cassandra-001	68.23
68.23	0.0	0.0	92.78	37.09	97.56	2018-08-08T18:05:12.292832059Z	37.09	80	cassandra-001	104.51
104.51	3.229	59.695	93.08	37.09	102.1	2018-08-08T18:05:19.300073438Z	37.09	80	cassandra-001	118.56
118.56	0.0	0.0	88.22	37.08	103.27	2018-08-08T18:05:26.307868063Z	37.09	82	cassandra-001	122.36
122.36	2.965	59.629	90.67	37.1	103.47	2018-08-08T18:05:33.318511681Z	37.1	83	cassandra-001	91.93
