host_cpu	sensor_count
0	3
3.2	9
4.21	14
6.02	18
7.64	22
6.23	26
8.34	29
8.76	32
10.53	35
10.18	38
10.97	40
19.25	43
11.9	46
13.29	48
12.69	50
13.97	53
12.68	55
14.45	57
12.67	59
15.26	61
15.76	63
14.92	65
15.3	67
18.05	69
17.21	71
19.2	73
17.62	75
19.64	76
20.9	78
19.67	80
19.41	81
20.3	83
20.99	85
21.75	86
21.8	88
20.66	90
20.98	91
21.84	93
24.37	94
23.08	96
25.17	97
24.47	98
22.59	100
23.19	101
24.42	103
24.84	104
25.38	105
26.17	107
25.9	108
25.81	109
28.21	111
27.53	112
26.52	113
26.05	115
29.29	116
26.8	117
28.98	118
28.43	120
29.02	121
28.47	122
31.54	123
30.26	124
31.22	126
31.18	127
30.04	128
31.55	129
33.49	130
28.8	131
31.64	133
30.95	134
33.12	135
33.92	136
33.57	137
34.48	138
25.75	139
36.19	140
34.7	141
35.04	142
35.96	143
35.01	145
36.39	146
38.09	147
36.07	148
35.28	149
36.61	150
35.57	151
37	152
43.31	153
36.74	154
36.66	155
37.63	156
38.26	157
38.24	158
38.84	159
38.34	159
35.71	160
40.83	161
39.28	162
39.65	163
40.26	164
41.99	165
39.03	166
40.51	167
38.83	168
41.35	169
41.13	170
42.2	171
39.98	172
42.15	173
37.41	173
35.83	174
40.69	175
39.72	176
39.74	177
40.92	178
41.28	179
41.97	180
36.44	180
46.1	181
44.4	182
45.35	183
42.13	184
45.92	185
45.55	186
44.08	186
53.13	187
45.42	188
41.48	189
45.98	190
43.59	191
51.02	191
46.15	192
44.35	193
42.65	194
46.26	195
45.23	195
46.5	196
44.5	197
47.02	198
45.37	199
47.51	199
49.04	200
48.38	201
50.43	202
47.53	202
46.83	203
48.88	204
43.95	205
49.78	206
48.85	206
48.78	207
48.94	208
47.46	208
48.81	209
47.06	210
51.44	211
50.85	211
56.56	212
50.31	213
49.28	214
49.04	214
52.5	215
52.82	216
51.63	216
48.48	217
51.59	218
48.85	219
50.87	219
49.89	220
50.43	221
50.04	221
51.45	222
53.34	223
53.94	224
53.32	224
53.92	225
52.16	226
54.12	226
50.66	227
53.96	228
48.92	228
52.51	229
50.88	230
53.57	230
47.38	231
52.92	232
50.21	232
55.04	233
55.99	234
53.65	234
54.05	235
53.4	236
53.63	236
55.48	237
61.46	238
54.77	238
54.43	239
58.34	239
49.46	240
56.09	241
57.31	241
57.89	242
36.78	243
56.52	243
54.5	244
58.55	245
54.41	245
58.58	246
58.43	246
57.85	247
55.62	248
56.7	248
54.55	249
62.76	250
51.93	250
59.01	251
55.68	251
63.15	252
58.75	253
61.33	253
60.87	254
59.35	254
52.15	255
58.37	256
56.9	256
58.95	257
59	258
60.48	258
51.31	259
61.48	259
55.47	260
65.12	261
60.51	261
61.49	262
57.86	262
61.13	263
53.92	264
59.61	264
61.24	265
62.16	265
62.25	265
61.31	265
64.54	265
65.18	265
61.68	265
48.37	265
57.18	265
