host_cpu	sensor_count
0	3
3.27	9
5.08	13
6.67	18
6.22	22
6.4	25
7.62	29
9.48	32
10.75	35
8.36	38
10.82	40
11.47	43
12.74	45
12.93	48
12.45	50
13.56	52
14.06	54
14.88	57
15.91	59
14.31	61
15.5	63
16.41	65
18.17	67
19.54	69
17.73	71
16.03	72
18.49	74
20.17	76
21.69	78
19.47	79
20.21	81
20.37	83
21.94	84
21.74	86
21.06	88
19.87	89
22.96	91
20.69	92
25.3	94
24.11	95
22.94	97
24.21	98
23.74	99
22.65	101
24.49	102
25.25	104
22.45	105
26.81	106
28.13	108
25.57	109
26.45	110
26.98	112
28.51	113
28.68	114
27.84	115
28.49	117
29.83	118
28.23	119
26.76	120
27.81	122
29.71	123
30.28	124
28.23	125
32.39	126
30.81	127
31.84	128
31.61	130
33.74	131
32.35	132
31.47	133
32.12	134
32.93	135
32.57	136
34.06	137
32.22	139
35.82	140
31.07	141
33.19	142
32.67	143
35.66	144
35.92	145
35.92	146
35.74	147
35.53	148
35.83	149
38.9	150
34.85	151
36.02	152
35.9	153
36.44	154
37.1	155
36.89	156
38.45	157
39.19	158
39.21	159
39.7	160
37.16	161
39.3	162
36.33	163
39.49	164
42.11	165
40.06	166
41.04	167
40.75	168
37.81	168
43.34	169
40.12	170
41.57	171
42.78	172
43.18	173
41.3	174
41.45	175
41.36	176
42.68	177
42.8	178
44.26	178
42.92	179
43.42	180
41.22	181
43.88	182
42.61	183
43.83	184
43.78	184
45.37	185
42.38	186
46.89	187
45.64	188
44.88	189
45.31	189
46.84	190
42.87	191
45.05	192
46.57	193
45.18	193
44.29	194
49.57	195
46.04	196
48.26	197
46.88	197
46.89	198
47.37	199
47.36	200
46	201
48.22	201
47.34	202
50.01	203
48.65	204
49.09	204
47.68	205
47.62	206
46.85	207
49.71	207
50.87	208
48.6	209
48.86	210
49.86	210
49.4	211
50.58	212
49.93	213
49.18	213
51.52	214
39.46	215
51.35	215
51.49	216
49.63	217
50.85	218
52.53	218
52.48	219
52.63	220
49.23	220
48.78	221
50.3	222
54.38	223
50.89	223
51.73	224
52.07	225
53.48	225
48.61	226
62.47	227
52.96	227
54.71	228
55.28	229
57.14	229
50.54	230
53.44	231
53.24	231
57.1	232
54.66	233
54.43	233
55.46	234
56.57	235
55.29	235
56.49	236
53.35	237
55.57	237
49.93	238
57.81	239
53.84	239
58.19	240
56.32	240
52.84	241
58.4	242
55.64	242
50.47	243
51.87	244
55.46	244
58.15	245
53.54	246
57.85	246
61.36	247
66.1	247
63.63	248
59.85	249
53.58	249
61.08	250
58.69	250
59.23	250
54.33	250
56.59	250
58.63	250
57.92	251
59.21	252
57.72	252
56.39	253
58.75	253
57.03	254
60.93	255
58.3	255
58.4	256
56.01	256
60.21	257
55.3	258
61.84	258
59.16	259
61.95	260
61.46	260
63.01	260
61.16	260
62.4	260
60.87	260
61.73	260
63.77	260
61.62	260
