net_receive	container_cpu%	memory%	host_moving_avg_cpu	sensor_count	net_send	memory_active_anon%	host_cpu	memory_rss%	name	timestamp
404295.789	2.66	74.55	nan	2	308082.396	38.11	0	38.11	cassandra-001	2018-08-16T23:49:30.27271847Z
6.172	1.15	74.55	nan	7	0.816	38.11	2.66	38.11	cassandra-001	2018-08-16T23:49:37.28029322Z
9.878	3.36	74.55	nan	11	1.092	38.11	1.15	38.11	cassandra-001	2018-08-16T23:49:44.289952473Z
31.821	1.2	74.55	nan	15	4.437	38.11	3.36	38.11	cassandra-001	2018-08-16T23:49:51.29930678Z
22.278	0.91	74.55	nan	19	2.976	38.11	1.2	38.11	cassandra-001	2018-08-16T23:49:58.306293319Z
50.782	5.32	74.56	1.55	22	5.316	38.11	0.91	38.11	cassandra-001	2018-08-16T23:50:05.312889274Z
28.469	1.25	74.55	2.43	25	2.96	38.11	5.32	38.11	cassandra-001	2018-08-16T23:50:12.319413551Z
34.305	2.06	74.56	2.2	28	4.437	38.11	1.25	38.11	cassandra-001	2018-08-16T23:50:19.330475675Z
73.362	1.2	74.56	2.35	31	7.434	38.11	2.06	38.11	cassandra-001	2018-08-16T23:50:26.338733295Z
40.188	1.22	74.56	1.99	34	3.366	38.11	1.2	38.11	cassandra-001	2018-08-16T23:50:33.348869898Z
88.587	6.51	74.55	1.99	37	9.462	38.11	1.22	38.11	cassandra-001	2018-08-16T23:50:40.356561649Z
46.039	1.17	74.56	2.93	39	4.05	38.11	6.51	38.11	cassandra-001	2018-08-16T23:50:47.363521072Z
49.65	1.19	74.55	2.23	41	5.171	38.11	1.17	38.11	cassandra-001	2018-08-16T23:50:54.371788098Z
105.87	1.11	74.56	2.22	44	10.618	38.11	1.19	38.11	cassandra-001	2018-08-16T23:51:01.378323919Z
55.428	1.23	74.56	2.07	46	4.47	38.11	1.11	38.11	cassandra-001	2018-08-16T23:51:08.385057915Z
112.453	10.01	74.56	2.07	48	10.06	38.11	1.23	38.11	cassandra-001	2018-08-16T23:51:15.393325841Z
60.196	1.34	74.56	3.54	50	4.639	38.11	10.01	38.11	cassandra-001	2018-08-16T23:51:22.402236769Z
63.207	1.06	74.56	2.67	52	5.946	38.11	1.34	38.11	cassandra-001	2018-08-16T23:51:29.412494677Z
134.419	1.08	74.56	2.66	54	14.068	38.11	1.06	38.11	cassandra-001	2018-08-16T23:51:36.423793623Z
68.178	1.17	74.56	2.64	56	7.528	38.11	1.08	38.11	cassandra-001	2018-08-16T23:51:43.431671304Z
144.046	8.09	74.56	2.65	58	15.107	38.11	1.17	38.11	cassandra-001	2018-08-16T23:51:50.439485911Z
72.764	1.07	74.56	3.79	60	7.566	38.11	8.09	38.11	cassandra-001	2018-08-16T23:51:57.449120888Z
78.295	1.14	74.56	2.3	62	10.298	38.11	1.07	38.11	cassandra-001	2018-08-16T23:52:04.456524339Z
154.284	1.16	74.56	2.27	64	16.106	38.11	1.14	38.11	cassandra-001	2018-08-16T23:52:11.465047198Z
80.723	1.13	74.56	2.28	66	7.168	38.11	1.16	38.11	cassandra-001	2018-08-16T23:52:18.472778054Z
165.979	12.38	74.56	2.29	67	16.261	38.11	1.13	38.11	cassandra-001	2018-08-16T23:52:25.483497484Z
86.67	1.42	74.56	4.16	69	10.77	38.11	12.38	38.11	cassandra-001	2018-08-16T23:52:32.492928828Z
86.062	1.24	74.56	3.05	71	7.1	38.11	1.42	38.11	cassandra-001	2018-08-16T23:52:39.502539025Z
177.764	1.12	74.56	3.08	72	16.456	38.11	1.24	38.11	cassandra-001	2018-08-16T23:52:46.51061745Z
92.537	1.05	74.56	3.08	74	9.421	38.11	1.12	38.11	cassandra-001	2018-08-16T23:52:53.518687907Z
187.23	10.89	74.57	3.06	75	20.492	38.11	1.05	38.11	cassandra-001	2018-08-16T23:53:00.52612131Z
92.606	1.06	74.57	4.68	77	8.998	38.11	10.89	38.11	cassandra-001	2018-08-16T23:53:07.532665066Z
98.571	2.84	74.56	2.8	78	11.598	38.11	1.06	38.11	cassandra-001	2018-08-16T23:53:14.539225958Z
195.076	1.13	74.57	3.03	80	19.617	38.11	2.84	38.11	cassandra-001	2018-08-16T23:53:21.547392006Z
97.613	1.11	74.57	3.02	81	7.386	38.11	1.13	38.11	cassandra-001	2018-08-16T23:53:28.556895033Z
205.561	10.97	74.57	3.01	83	18.48	38.11	1.11	38.11	cassandra-001	2018-08-16T23:53:35.566346599Z
105.507	1.04	74.57	4.67	84	11.094	38.11	10.97	38.11	cassandra-001	2018-08-16T23:53:42.574268333Z
105.235	1.92	74.57	3.03	86	8.387	38.11	1.04	38.11	cassandra-001	2018-08-16T23:53:49.581905975Z
215.153	1.18	74.57	3.17	87	17.764	38.11	1.92	38.11	cassandra-001	2018-08-16T23:53:56.588746391Z
