net_receive	container_cpu%	memory%	host_moving_avg_cpu	sensor_count	net_send	memory_active_anon%	host_cpu	memory_rss%	name	timestamp
987134.292	1.14	75.3	nan	0	365985.734	38.05	0	38.05	cassandra-001	2018-08-17T03:17:41.377516348Z
0.0	1.14	75.3	nan	0	0.0	38.05	1.14	38.05	cassandra-001	2018-08-17T03:17:48.386721667Z
0.141	1.1	75.3	nan	0	0.171	38.05	1.14	38.05	cassandra-001	2018-08-17T03:17:55.397826256Z
0.141	1.04	75.3	nan	0	0.171	38.05	1.1	38.05	cassandra-001	2018-08-17T03:18:02.408327548Z
0.0	1.13	75.3	nan	0	0.0	38.05	1.04	38.05	cassandra-001	2018-08-17T03:18:09.41618819Z
0.0	1.13	75.3	0.92	0	0.0	38.05	1.13	38.05	cassandra-001	2018-08-17T03:18:16.427524401Z
0.141	1.13	75.3	1.11	0	0.171	38.05	1.13	38.05	cassandra-001	2018-08-17T03:18:23.435611158Z
0.141	1.18	75.3	1.11	0	0.171	38.05	1.13	38.05	cassandra-001	2018-08-17T03:18:30.44260876Z
0.0	1.38	75.3	1.12	0	0.0	38.05	1.18	38.05	cassandra-001	2018-08-17T03:18:37.452647475Z
0.0	3.04	75.3	1.16	0	0.0	38.05	1.38	38.05	cassandra-001	2018-08-17T03:18:44.461040205Z
0.141	1.22	75.3	1.5	0	0.171	38.05	3.04	38.05	cassandra-001	2018-08-17T03:18:51.468530046Z
0.141	1.11	75.3	1.51	0	0.171	38.05	1.22	38.05	cassandra-001	2018-08-17T03:18:58.478756171Z
