net_receive	container_cpu%	memory%	host_moving_avg_cpu	sensor_count	net_send	memory_active_anon%	host_cpu	memory_rss%	name	timestamp
8768621.078	2.47	39.66	nan	0	9536943.856	15.93	0	15.93	kafka-001	2018-08-17T02:07:29.224540337Z
16.626	2.42	39.66	nan	0	23.94	15.93	2.47	15.93	kafka-001	2018-08-17T02:07:36.236018228Z
17.107	2.96	39.66	nan	0	25.522	15.93	2.42	15.93	kafka-001	2018-08-17T02:07:43.25156976Z
17.19	2.58	39.66	nan	0	24.198	15.93	2.96	15.93	kafka-001	2018-08-17T02:07:50.263078069Z
16.613	2.34	39.66	nan	0	25.386	15.93	2.58	15.93	kafka-001	2018-08-17T02:07:57.275686637Z
15.847	2.18	39.66	2.13	0	23.856	15.93	2.34	15.93	kafka-001	2018-08-17T02:08:04.286342245Z
19.1	2.24	39.66	2.49	0	26.486	15.93	2.18	15.93	kafka-001	2018-08-17T02:08:11.297032044Z
16.489	3.35	39.66	2.45	0	24.382	15.93	2.24	15.93	kafka-001	2018-08-17T02:08:18.308248314Z
17.0	2.17	39.66	2.61	0	24.228	15.93	3.35	15.93	kafka-001	2018-08-17T02:08:25.319135702Z
17.275	2.45	39.66	2.48	0	25.566	15.93	2.17	15.93	kafka-001	2018-08-17T02:08:32.330010923Z
15.973	2.37	39.66	2.45	0	24.006	15.93	2.45	15.93	kafka-001	2018-08-17T02:08:39.341144235Z
17.402	2.51	39.66	2.46	0	25.894	15.93	2.37	15.93	kafka-001	2018-08-17T02:08:46.353148355Z
