net_receive	host_cpu	sensor_count	timestamp	memory%	net_send	memory_active_anon%	container_cpu%	host_moving_avg_cpu	name	memory_rss%
17186175.844	0	0	2018-08-17T21:40:06.026915459Z	89.05	17743895.485	15.93	1.42	nan	kafka-001	15.93
2.065	1.42	0	2018-08-17T21:40:13.036466303Z	89.05	1.232	15.93	1.52	nan	kafka-001	15.93
2.634	1.52	0	2018-08-17T21:40:20.048165042Z	89.05	1.51	15.93	1.93	nan	kafka-001	15.93
2.297	1.93	0	2018-08-17T21:40:27.05923174Z	89.05	1.31	15.93	1.67	nan	kafka-001	15.93
2.065	1.67	0	2018-08-17T21:40:34.073258252Z	89.05	1.232	15.93	2.3	nan	kafka-001	15.93
2.49	2.3	0	2018-08-17T21:40:41.082699204Z	89.05	1.424	15.93	1.71	1.47	kafka-001	15.93
2.759	1.71	0	2018-08-17T21:40:48.09596277Z	89.05	1.772	15.93	1.84	1.76	kafka-001	15.93
3.204	1.84	0	2018-08-17T21:40:55.107106157Z	89.05	2.08	15.93	1.82	1.83	kafka-001	15.93
2.131	1.82	0	2018-08-17T21:41:02.119374657Z	89.05	1.298	15.93	1.61	1.88	kafka-001	15.93
2.009	1.61	0	2018-08-17T21:41:09.131810359Z	88.61	1.138	15.93	2.13	1.83	kafka-001	15.93
2.922	2.13	0	2018-08-17T21:41:16.144971849Z	88.61	1.682	15.93	1.64	1.9	kafka-001	15.93
2.241	1.64	0	2018-08-17T21:41:23.155201096Z	88.61	1.389	15.93	1.92	1.79	kafka-001	15.93
