sensor_count	memory_rss%	net_receive	net_send	container_cpu%	timestamp	host_cpu	host_moving_avg_cpu	memory_active_anon%	name	memory%
2	37.23	237797.372	29313.155	1.13	2018-08-19T09:08:11.388864441Z	0	nan	37.23	cassandra-001	69.15
7	37.23	4.879	0.79	1.26	2018-08-19T09:08:18.395705103Z	1.13	nan	37.23	cassandra-001	69.15
11	37.23	22.299	3.464	4.21	2018-08-19T09:08:25.40540903Z	1.26	nan	37.23	cassandra-001	69.15
15	37.23	17.198	2.41	1.34	2018-08-19T09:08:32.412291721Z	4.21	nan	37.23	cassandra-001	69.15
19	37.23	19.583	2.527	1.23	2018-08-19T09:08:39.420393174Z	1.34	nan	37.23	cassandra-001	69.16
22	37.23	48.592	5.026	1.33	2018-08-19T09:08:46.428122089Z	1.23	1.53	37.23	cassandra-001	69.16
25	37.23	28.566	2.406	1.29	2018-08-19T09:08:53.435175558Z	1.33	1.75	37.23	cassandra-001	69.15
29	37.23	66.724	6.34	8.26	2018-08-19T09:09:00.442204314Z	1.29	1.78	37.23	cassandra-001	69.15
31	37.23	37.485	3.881	2.42	2018-08-19T09:09:07.449666097Z	8.26	2.94	37.23	cassandra-001	69.16
34	37.23	40.328	4.488	1.4	2018-08-19T09:09:14.457381349Z	2.42	2.64	37.23	cassandra-001	69.16
37	37.23	86.919	8.248	1.25	2018-08-19T09:09:21.466110577Z	1.4	2.65	37.23	cassandra-001	69.16
39	37.23	47.106	4.05	1.31	2018-08-19T09:09:28.474863089Z	1.25	2.66	37.23	cassandra-001	69.16
42	37.23	103.306	10.817	8.52	2018-08-19T09:09:35.482166542Z	1.31	2.65	37.23	cassandra-001	69.16
44	37.23	54.968	6.952	1.32	2018-08-19T09:09:42.490070707Z	8.52	3.86	37.23	cassandra-001	69.16
46	37.23	56.09	5.328	1.19	2018-08-19T09:09:49.498077484Z	1.32	2.7	37.23	cassandra-001	69.16
48	37.28	118.679	11.974	1.17	2018-08-19T09:09:56.505350407Z	1.19	2.5	37.28	cassandra-001	69.21
50	37.24	61.971	6.778	1.26	2018-08-19T09:10:03.514483148Z	1.17	2.46	37.24	cassandra-001	69.17
53	37.24	128.008	14.029	8.36	2018-08-19T09:10:10.520991414Z	1.26	2.46	37.24	cassandra-001	69.17
55	37.24	68.37	7.608	1.31	2018-08-19T09:10:17.529061574Z	8.36	3.64	37.24	cassandra-001	69.17
57	37.24	68.479	6.604	1.33	2018-08-19T09:10:24.536780542Z	1.31	2.44	37.24	cassandra-001	69.17
58	37.24	144.725	16.322	1.33	2018-08-19T09:10:31.546061574Z	1.33	2.44	37.24	cassandra-001	69.17
60	37.24	73.194	7.143	1.32	2018-08-19T09:10:38.554237747Z	1.33	2.46	37.24	cassandra-001	69.17
62	37.24	153.603	15.276	9.43	2018-08-19T09:10:45.561664017Z	1.32	2.48	37.24	cassandra-001	69.17
64	37.24	79.576	8.0	1.2	2018-08-19T09:10:52.568780522Z	9.43	3.85	37.24	cassandra-001	69.17
66	37.24	75.914	8.422	1.3	2018-08-19T09:10:59.577602187Z	1.2	2.65	37.24	cassandra-001	69.17
67	37.28	167.03	17.819	1.16	2018-08-19T09:11:06.584548226Z	1.3	2.65	37.28	cassandra-001	69.21
69	37.25	85.961	8.46	1.24	2018-08-19T09:11:13.592993587Z	1.16	2.62	37.25	cassandra-001	69.19
71	37.25	175.329	18.252	9.98	2018-08-19T09:11:20.59889292Z	1.24	2.61	37.25	cassandra-001	69.19
72	37.25	90.079	8.868	1.23	2018-08-19T09:11:27.604470539Z	9.98	4.05	37.25	cassandra-001	69.19
74	37.25	91.703	9.95	1.2	2018-08-19T09:11:34.611539979Z	1.23	2.68	37.25	cassandra-001	69.19
76	37.25	178.42	19.515	1.32	2018-08-19T09:11:41.621427565Z	1.2	2.68	37.25	cassandra-001	69.19
77	37.25	95.537	10.318	1.24	2018-08-19T09:11:48.630646884Z	1.32	2.69	37.25	cassandra-001	69.19
79	37.25	197.376	20.582	9.76	2018-08-19T09:11:55.637547013Z	1.24	2.7	37.25	cassandra-001	69.19
80	37.25	100.284	9.934	1.22	2018-08-19T09:12:02.645715421Z	9.76	4.12	37.25	cassandra-001	69.19
82	37.25	102.293	11.319	1.16	2018-08-19T09:12:09.653330775Z	1.22	2.66	37.25	cassandra-001	69.19
83	37.25	207.762	21.978	1.41	2018-08-19T09:12:16.664545375Z	1.16	2.65	37.25	cassandra-001	69.19
85	37.25	104.28	10.5	1.18	2018-08-19T09:12:23.671950876Z	1.41	2.68	37.25	cassandra-001	69.19
86	37.25	213.599	19.876	11.98	2018-08-19T09:12:30.678564339Z	1.18	2.66	37.25	cassandra-001	69.19
88	37.25	109.881	11.567	3.19	2018-08-19T09:12:37.686487508Z	11.98	4.45	37.25	cassandra-001	69.19
89	37.25	110.291	9.838	1.4	2018-08-19T09:12:44.694085944Z	3.19	3.36	37.25	cassandra-001	69.19
91	37.25	218.836	20.48	1.17	2018-08-19T09:12:51.702954155Z	1.4	3.39	37.25	cassandra-001	69.2
92	37.25	111.979	12.226	1.34	2018-08-19T09:12:58.711254052Z	1.17	3.39	37.25	cassandra-001	69.2
93	37.25	234.377	25.031	13.13	2018-08-19T09:13:05.718000045Z	1.34	3.38	37.25	cassandra-001	69.2
95	37.25	118.292	11.644	1.2	2018-08-19T09:13:12.723804352Z	13.13	5.37	37.25	cassandra-001	69.2
96	37.25	118.818	11.802	1.13	2018-08-19T09:13:19.732180123Z	1.2	3.57	37.25	cassandra-001	69.2
98	37.25	243.615	25.266	1.11	2018-08-19T09:13:26.741012391Z	1.13	3.23	37.25	cassandra-001	69.2
99	37.25	118.251	12.408	1.23	2018-08-19T09:13:33.748462812Z	1.11	3.18	37.25	cassandra-001	69.2
100	37.24	242.783	26.095	11.68	2018-08-19T09:13:40.75737831Z	1.23	3.19	37.24	cassandra-001	69.19
101	37.24	128.827	15.298	1.13	2018-08-19T09:13:47.76528756Z	11.68	4.91	37.24	cassandra-001	69.19
103	37.24	130.088	15.06	1.39	2018-08-19T09:13:54.772314834Z	1.13	2.91	37.24	cassandra-001	69.19
