sensor_count	memory_rss%	net_receive	net_send	container_cpu%	timestamp	host_cpu	host_moving_avg_cpu	memory_active_anon%	name	memory%
2	36.86	81255.851	10095.423	1.36	2018-08-19T07:17:44.796789809Z	0	nan	36.86	cassandra-001	84.28
7	36.86	7.181	1.066	1.33	2018-08-19T07:17:51.804075752Z	1.36	nan	36.86	cassandra-001	84.28
10	36.86	8.945	1.026	1.95	2018-08-19T07:17:58.813969194Z	1.33	nan	36.86	cassandra-001	84.28
14	36.86	29.644	2.96	6.94	2018-08-19T07:18:05.820535641Z	1.95	nan	36.86	cassandra-001	84.28
18	36.86	20.285	2.197	1.42	2018-08-19T07:18:12.826870503Z	6.94	nan	36.86	cassandra-001	84.28
22	36.87	23.425	2.342	1.13	2018-08-19T07:18:19.838126076Z	1.42	2.17	36.87	cassandra-001	84.28
25	36.87	57.241	6.964	1.3	2018-08-19T07:18:26.845182736Z	1.13	2.36	36.87	cassandra-001	84.29
28	36.87	32.396	3.342	1.21	2018-08-19T07:18:33.851607166Z	1.3	2.35	36.87	cassandra-001	84.29
31	36.87	72.747	8.661	6.9	2018-08-19T07:18:40.860028752Z	1.21	2.33	36.87	cassandra-001	84.29
33	36.87	40.674	5.214	1.45	2018-08-19T07:18:47.866939825Z	6.9	3.15	36.87	cassandra-001	84.29
36	36.87	43.901	5.134	1.37	2018-08-19T07:18:54.873522034Z	1.45	2.24	36.87	cassandra-001	84.29
39	36.85	92.909	10.9	1.28	2018-08-19T07:19:01.882758411Z	1.37	2.23	36.85	cassandra-001	84.27
41	36.85	50.563	5.66	1.21	2018-08-19T07:19:08.890512036Z	1.28	2.25	36.85	cassandra-001	84.27
43	36.85	106.777	12.545	8.33	2018-08-19T07:19:15.89907214Z	1.21	2.24	36.85	cassandra-001	84.28
45	36.85	56.682	6.384	1.36	2018-08-19T07:19:22.909913671Z	8.33	3.42	36.85	cassandra-001	84.28
48	36.86	59.473	7.69	1.27	2018-08-19T07:19:29.917047185Z	1.36	2.5	36.86	cassandra-001	84.28
50	36.86	123.059	13.768	1.28	2018-08-19T07:19:36.924110153Z	1.27	2.47	36.86	cassandra-001	84.28
52	36.86	64.22	7.107	1.4	2018-08-19T07:19:43.933410551Z	1.28	2.46	36.86	cassandra-001	84.28
54	36.86	132.14	13.5	8.17	2018-08-19T07:19:50.941097158Z	1.4	2.48	36.86	cassandra-001	84.28
56	36.86	64.133	4.954	1.3	2018-08-19T07:19:57.947825195Z	8.17	3.64	36.86	cassandra-001	84.28
58	36.86	70.104	6.168	1.27	2018-08-19T07:20:04.954134384Z	1.3	2.46	36.86	cassandra-001	84.28
60	36.86	148.349	13.891	1.48	2018-08-19T07:20:11.962160211Z	1.27	2.45	36.86	cassandra-001	84.28
62	36.86	75.41	7.288	1.25	2018-08-19T07:20:18.969691894Z	1.48	2.48	36.86	cassandra-001	84.28
