sensor_count	memory_rss%	net_receive	net_send	container_cpu%	timestamp	host_cpu	host_moving_avg_cpu	memory_active_anon%	name	memory%
0	15.97	19521406.463	19979965.373	1.66	2018-08-19T09:02:52.932560791Z	0	nan	15.97	kafka-001	89.33
0	15.97	2.607	1.44	1.58	2018-08-19T09:02:59.944176008Z	1.66	nan	15.97	kafka-001	89.33
0	15.97	3.918	2.106	1.62	2018-08-19T09:03:06.956469941Z	1.58	nan	15.97	kafka-001	89.33
0	15.97	2.195	1.266	2.45	2018-08-19T09:03:13.96787736Z	1.62	nan	15.97	kafka-001	89.33
0	15.97	3.918	2.25	2.4	2018-08-19T09:03:20.981112476Z	2.45	nan	15.97	kafka-001	89.33
0	15.97	2.463	1.354	1.59	2018-08-19T09:03:27.993048173Z	2.4	1.62	15.97	kafka-001	89.33
0	15.97	3.926	2.352	1.92	2018-08-19T09:03:35.00617935Z	1.59	1.88	15.97	kafka-001	89.33
0	15.97	3.423	2.284	1.74	2018-08-19T09:03:42.018669776Z	1.92	1.93	15.97	kafka-001	89.33
0	15.97	2.715	1.77	2.38	2018-08-19T09:03:49.029269623Z	1.74	1.95	15.97	kafka-001	89.33
0	15.97	3.176	1.862	1.68	2018-08-19T09:03:56.040578393Z	2.38	2.08	15.97	kafka-001	89.33
0	15.97	2.297	1.31	1.71	2018-08-19T09:04:03.051988832Z	1.68	1.95	15.97	kafka-001	89.33
0	15.97	3.774	2.02	2.28	2018-08-19T09:04:10.062737503Z	1.71	1.84	15.97	kafka-001	89.33
