sensor_count	memory_rss%	net_receive	net_send	container_cpu%	timestamp	host_cpu	host_moving_avg_cpu	memory_active_anon%	name	memory%
2	28.39	8.947	178.598	1.73	2018-08-19T06:20:13.355152399Z	0	nan	28.39	cassandra-001	29.28
6	28.43	12.347	60.903	21.94	2018-08-19T06:20:20.362751261Z	1.73	nan	28.43	cassandra-001	29.32
10	28.4	10.365	1.29	1.61	2018-08-19T06:20:27.369768584Z	21.94	nan	28.4	cassandra-001	29.29
13	28.4	13.766	1.87	1.62	2018-08-19T06:20:34.377798874Z	1.61	nan	28.4	cassandra-001	29.29
17	28.42	37.645	4.568	1.53	2018-08-19T06:20:41.38468734Z	1.62	nan	28.42	cassandra-001	29.31
20	28.42	23.79	3.239	2.6	2018-08-19T06:20:48.39165288Z	1.53	4.74	28.42	cassandra-001	29.31
24	28.43	56.667	7.44	19.53	2018-08-19T06:20:55.398518015Z	2.6	5.17	28.43	cassandra-001	29.32
27	28.48	32.888	3.976	1.61	2018-08-19T06:21:02.40657209Z	19.53	8.14	28.48	cassandra-001	29.37
30	28.42	35.99	4.318	1.55	2018-08-19T06:21:09.415988978Z	1.61	4.75	28.42	cassandra-001	29.31
33	28.5	79.093	10.851	1.61	2018-08-19T06:21:16.422995367Z	1.55	4.74	28.5	cassandra-001	29.39
35	28.43	43.3	4.58	1.64	2018-08-19T06:21:23.432917302Z	1.61	4.74	28.43	cassandra-001	29.33
38	28.5	94.259	9.58	42.13	2018-08-19T06:21:30.440827436Z	1.64	4.76	28.5	cassandra-001	29.39
40	28.51	50.152	5.858	3.33	2018-08-19T06:21:37.447666054Z	42.13	11.34	28.51	cassandra-001	29.41
42	28.44	52.949	6.016	1.59	2018-08-19T06:21:44.455572836Z	3.33	8.65	28.44	cassandra-001	29.33
45	28.49	111.421	14.075	1.57	2018-08-19T06:21:51.462651971Z	1.59	8.64	28.49	cassandra-001	29.38
47	28.45	57.038	5.486	1.91	2018-08-19T06:21:58.469050592Z	1.57	8.65	28.45	cassandra-001	29.34
49	28.52	120.409	13.478	34.41	2018-08-19T06:22:05.477374879Z	1.91	8.7	28.52	cassandra-001	29.42
51	28.51	61.682	5.946	1.53	2018-08-19T06:22:12.484617383Z	34.41	14.16	28.51	cassandra-001	29.4
53	28.51	65.807	8.267	15.12	2018-08-19T06:22:19.492369798Z	1.53	7.39	28.51	cassandra-001	29.41
55	28.5	136.286	14.66	1.61	2018-08-19T06:22:26.500499695Z	15.12	9.36	28.5	cassandra-001	29.39
57	28.45	72.171	8.082	1.68	2018-08-19T06:22:33.507433366Z	1.61	9.36	28.45	cassandra-001	29.35
59	28.59	150.996	16.928	44.21	2018-08-19T06:22:40.515093878Z	1.68	9.38	28.59	cassandra-001	29.48
61	28.48	76.299	10.667	1.63	2018-08-19T06:22:47.527193488Z	44.21	16.43	28.48	cassandra-001	29.38
63	28.46	81.678	10.482	1.62	2018-08-19T06:22:54.533851595Z	1.63	10.96	28.46	cassandra-001	29.35
65	28.49	164.814	19.59	1.74	2018-08-19T06:23:01.543749813Z	1.62	10.98	28.49	cassandra-001	29.39
67	28.46	82.138	10.19	1.74	2018-08-19T06:23:08.551610937Z	1.74	8.75	28.46	cassandra-001	29.36
69	28.47	170.789	17.329	17.79	2018-08-19T06:23:15.559893669Z	1.74	8.77	28.47	cassandra-001	29.37
70	28.55	88.189	8.816	1.49	2018-08-19T06:23:22.571791469Z	17.79	11.45	28.55	cassandra-001	29.45
72	28.46	86.833	7.324	1.4	2018-08-19T06:23:29.580468925Z	1.49	4.33	28.46	cassandra-001	29.36
74	28.57	186.25	19.068	34.96	2018-08-19T06:23:36.587517625Z	1.4	4.3	28.57	cassandra-001	29.48
75	28.47	92.79	11.652	1.77	2018-08-19T06:23:43.593497112Z	34.96	9.85	28.47	cassandra-001	29.37
77	28.51	190.774	20.385	22.44	2018-08-19T06:23:50.600918763Z	1.77	9.86	28.51	cassandra-001	29.42
78	28.47	99.328	10.74	1.71	2018-08-19T06:23:57.608604935Z	22.44	13.31	28.46	cassandra-001	29.37
80	28.47	98.454	9.736	1.33	2018-08-19T06:24:04.614996402Z	1.71	10.63	28.47	cassandra-001	29.38
82	28.48	204.145	20.342	1.48	2018-08-19T06:24:11.622847763Z	1.33	10.6	28.48	cassandra-001	29.38
83	28.46	109.136	13.747	1.54	2018-08-19T06:24:18.629083599Z	1.48	10.61	28.46	cassandra-001	29.37
85	28.5	217.027	23.006	20.18	2018-08-19T06:24:25.636117672Z	1.54	5.04	28.5	cassandra-001	29.41
86	28.5	106.553	10.024	1.37	2018-08-19T06:24:32.644618605Z	20.18	8.11	28.5	cassandra-001	29.4
88	28.47	108.686	10.116	1.62	2018-08-19T06:24:39.65134406Z	1.37	4.6	28.47	cassandra-001	29.37
89	28.47	221.643	20.679	1.62	2018-08-19T06:24:46.660323162Z	1.62	4.59	28.47	cassandra-001	29.38
90	28.63	109.243	11.316	21.8	2018-08-19T06:24:53.668522813Z	1.62	4.63	28.63	cassandra-001	29.54
92	28.5	229.472	23.304	26.81	2018-08-19T06:25:00.675818891Z	21.8	8.02	28.5	cassandra-001	29.41
93	28.62	116.746	12.582	1.59	2018-08-19T06:25:07.683734112Z	26.81	12.23	28.62	cassandra-001	29.54
94	28.47	115.762	13.928	1.34	2018-08-19T06:25:14.692628365Z	1.59	9.13	28.47	cassandra-001	29.39
96	28.47	236.28	23.947	1.53	2018-08-19T06:25:21.701953479Z	1.34	9.13	28.47	cassandra-001	29.38
97	28.47	116.153	9.65	1.49	2018-08-19T06:25:28.709385442Z	1.53	9.11	28.47	cassandra-001	29.38
98	28.66	240.2	21.556	59.73	2018-08-19T06:25:35.719002835Z	1.49	9.09	28.66	cassandra-001	29.57
99	28.52	125.669	13.094	1.43	2018-08-19T06:25:42.731259917Z	59.73	15.42	28.52	cassandra-001	29.44
100	28.47	124.267	12.869	1.64	2018-08-19T06:25:49.740437198Z	1.43	11.18	28.47	cassandra-001	29.38
102	28.66	253.995	25.474	1.34	2018-08-19T06:25:56.748495906Z	1.64	11.19	28.66	cassandra-001	29.58
103	28.48	126.191	11.918	1.69	2018-08-19T06:26:03.756845853Z	1.34	11.19	28.48	cassandra-001	29.39
104	28.47	257.343	22.0	14.2	2018-08-19T06:26:10.765521544Z	1.69	11.22	28.47	cassandra-001	29.39
105	28.47	125.786	14.715	1.36	2018-08-19T06:26:17.774156204Z	14.2	13.34	28.47	cassandra-001	29.39
107	28.48	131.643	16.286	1.42	2018-08-19T06:26:24.78303269Z	1.36	3.61	28.48	cassandra-001	29.39
108	28.5	266.325	24.862	1.68	2018-08-19T06:26:31.796025904Z	1.42	3.61	28.5	cassandra-001	29.42
109	28.51	137.307	12.602	1.4	2018-08-19T06:26:38.80329731Z	1.68	3.62	28.51	cassandra-001	29.43
111	28.48	277.7	26.839	17.04	2018-08-19T06:26:45.813192436Z	1.4	3.63	28.48	cassandra-001	29.4
112	28.51	139.856	12.416	1.33	2018-08-19T06:26:52.820573336Z	17.04	6.18	28.51	cassandra-001	29.43
