memory%	memory_active_anon%	host_moving_avg_cpu	memory_rss%	sensor_count	timestamp	net_send	host_cpu	net_receive	container_cpu%	name
71.56	37.7	nan	37.7	0	2018-08-08T20:29:06.17158867Z	22061.618	0	1155.577	1.41	cassandra-001
71.56	37.7	nan	37.7	4	2018-08-08T20:29:13.180240673Z	0.0	1.41	0.0	1.19	cassandra-001
71.56	37.7	nan	37.7	7	2018-08-08T20:29:20.192525508Z	0.0	1.19	0.0	1.35	cassandra-001
71.58	37.7	nan	37.7	11	2018-08-08T20:29:27.20236735Z	0.342	1.35	0.282	20.09	cassandra-001
71.66	37.7	nan	37.7	15	2018-08-08T20:29:34.209651601Z	0.0	20.09	0.0	23.81	cassandra-001
71.73	37.7	7.97	37.7	19	2018-08-08T20:29:41.218006665Z	59.629	23.81	2.833	21.02	cassandra-001
71.84	37.7	11.48	37.7	22	2018-08-08T20:29:48.228331772Z	0.0	21.02	0.0	31.1	cassandra-001
71.97	37.7	16.43	37.7	25	2018-08-08T20:29:55.236496032Z	0.0	31.1	0.0	28.57	cassandra-001
72.1	37.7	20.99	37.7	28	2018-08-08T20:30:02.246304869Z	0.0	28.57	0.0	38.16	cassandra-001
72.75	37.71	27.12	37.71	31	2018-08-08T20:30:09.254059316Z	0.342	38.16	0.282	10.96	cassandra-001
72.92	37.71	25.6	37.71	34	2018-08-08T20:30:16.264971348Z	0.0	10.96	0.0	38.35	cassandra-001
73.1	37.71	28.03	37.71	37	2018-08-08T20:30:23.272955083Z	0.0	38.35	0.0	37.34	cassandra-001
73.3	37.71	30.75	37.71	39	2018-08-08T20:30:30.282499529Z	0.0	37.34	0.0	48.86	cassandra-001
73.52	37.71	33.71	37.71	42	2018-08-08T20:30:37.28959468Z	0.342	48.86	0.282	52.97	cassandra-001
73.74	37.72	37.77	37.72	44	2018-08-08T20:30:44.302631429Z	0.0	52.97	0.0	43.26	cassandra-001
73.97	37.71	38.62	37.71	47	2018-08-08T20:30:51.315209606Z	0.0	43.26	0.0	54.92	cassandra-001
74.22	37.71	45.95	37.71	49	2018-08-08T20:30:58.324422456Z	0.0	54.92	0.0	59.92	cassandra-001
74.47	37.71	49.54	37.71	51	2018-08-08T20:31:05.333970697Z	0.342	59.92	0.282	57.25	cassandra-001
76.06	37.71	52.86	37.71	54	2018-08-08T20:31:12.340894838Z	0.0	57.25	0.0	71.74	cassandra-001
74.73	37.7	56.68	37.7	56	2018-08-08T20:31:19.34738218Z	0.0	71.74	0.0	51.24	cassandra-001
75.0	37.7	56.39	37.7	58	2018-08-08T20:31:26.356040262Z	0.0	51.24	0.0	49.96	cassandra-001
75.31	37.7	57.5	37.7	60	2018-08-08T20:31:33.366074147Z	0.0	49.96	0.0	63.06	cassandra-001
75.63	37.71	58.86	37.71	62	2018-08-08T20:31:40.375061841Z	0.342	63.06	0.282	66.49	cassandra-001
