memory%	memory_active_anon%	host_moving_avg_cpu	memory_rss%	sensor_count	timestamp	net_send	host_cpu	net_receive	container_cpu%	name
84.39	37.68	nan	37.68	0	2018-08-08T19:34:47.942752468Z	17094.495	0	890.504	1.19	cassandra-001
84.39	37.68	nan	37.68	3	2018-08-08T19:34:54.949632444Z	0.0	1.19	0.0	3.04	cassandra-001
84.39	37.68	nan	37.68	7	2018-08-08T19:35:01.958532353Z	0.0	3.04	0.0	1.17	cassandra-001
84.42	37.68	nan	37.68	10	2018-08-08T19:35:08.966324631Z	59.695	1.17	3.097	15.35	cassandra-001
84.47	37.67	nan	37.67	14	2018-08-08T19:35:15.977075948Z	0.0	15.35	0.0	15.1	cassandra-001
84.55	37.67	5.98	37.67	18	2018-08-08T19:35:22.983823783Z	0.0	15.1	0.0	25.13	cassandra-001
85.15	37.68	10.16	37.68	22	2018-08-08T19:35:29.991066426Z	59.629	25.13	3.031	22.9	cassandra-001
85.27	37.68	13.78	37.68	25	2018-08-08T19:35:37.040261551Z	0.0	22.9	0.0	27.63	cassandra-001
85.41	37.68	17.88	37.68	28	2018-08-08T19:35:44.047891239Z	0.0	27.63	0.0	32.78	cassandra-001
85.57	37.68	23.15	37.68	31	2018-08-08T19:35:51.055272742Z	59.497	32.78	2.899	41.93	cassandra-001
85.75	37.68	27.58	37.68	35	2018-08-08T19:35:58.062281863Z	0.0	41.93	0.0	42.43	cassandra-001
85.93	37.68	32.13	37.68	37	2018-08-08T19:36:05.070118923Z	0.0	42.43	0.0	39.13	cassandra-001
86.12	37.68	34.47	37.68	40	2018-08-08T19:36:12.076476367Z	0.0	39.13	0.0	44.8	cassandra-001
86.34	37.68	38.12	37.68	43	2018-08-08T19:36:19.083309809Z	0.0	44.8	0.0	50.4	cassandra-001
86.57	37.68	41.91	37.68	45	2018-08-08T19:36:26.092382633Z	0.342	50.4	0.282	60.82	cassandra-001
86.81	37.68	46.58	37.68	48	2018-08-08T19:36:33.097770712Z	0.0	60.82	0.0	55.89	cassandra-001
87.08	37.7	48.91	37.7	51	2018-08-08T19:36:40.105923303Z	0.0	55.89	0.0	65.89	cassandra-001
87.06	37.69	52.82	37.69	53	2018-08-08T19:36:47.115331436Z	0.0	65.89	0.0	55.19	cassandra-001
87.32	37.68	55.5	37.68	55	2018-08-08T19:36:54.12439832Z	59.629	55.19	2.767	57.1	cassandra-001
87.62	37.68	57.55	37.68	58	2018-08-08T19:37:01.132036532Z	0.0	57.1	0.0	67.64	cassandra-001
87.91	37.68	60.42	37.68	60	2018-08-08T19:37:08.139249557Z	0.0	67.64	0.0	58.93	cassandra-001
88.22	37.68	60.11	37.68	62	2018-08-08T19:37:15.147991352Z	0.0	58.93	0.0	61.45	cassandra-001
88.55	37.68	61.03	37.68	64	2018-08-08T19:37:22.154587082Z	0.342	61.45	0.282	61.38	cassandra-001
90.18	37.68	60.28	37.68	66	2018-08-08T19:37:29.160542583Z	0.0	61.38	0.0	135.45	cassandra-001
90.69	37.71	73.66	37.71	68	2018-08-08T19:37:36.167330412Z	0.0	135.45	0.0	103.52	cassandra-001
92.44	37.71	81.4	37.71	70	2018-08-08T19:37:43.174498845Z	0.0	103.52	0.0	112.97	cassandra-001
92.44	37.7	88.95	37.7	72	2018-08-08T19:37:50.182850552Z	59.563	112.97	3.031	111.81	cassandra-001
92.46	37.7	97.76	37.7	74	2018-08-08T19:37:57.190545011Z	0.0	111.81	0.0	74.18	cassandra-001
88.5	37.71	99.88	37.71	76	2018-08-08T19:38:04.197575837Z	0.0	74.18	0.0	109.63	cassandra-001
90.97	37.71	107.93	37.71	78	2018-08-08T19:38:11.204675642Z	0.0	109.63	0.0	98.4	cassandra-001
92.25	37.72	101.75	37.72	80	2018-08-08T19:38:18.212747283Z	0.0	98.4	0.0	107.73	cassandra-001
92.59	37.72	102.45	37.72	81	2018-08-08T19:38:25.221985263Z	0.342	107.73	0.282	111.77	cassandra-001
92.56	37.7	102.25	37.7	83	2018-08-08T19:38:32.231743079Z	0.0	111.77	0.0	74.96	cassandra-001
92.59	37.71	96.11	37.71	85	2018-08-08T19:38:39.241148692Z	0.0	74.96	0.0	113.18	cassandra-001
92.42	37.71	102.61	37.71	87	2018-08-08T19:38:46.250503382Z	0.0	113.18	0.0	121.85	cassandra-001
92.56	37.66	104.65	37.66	89	2018-08-08T19:38:53.257227774Z	59.761	121.85	3.229	129.88	cassandra-001
92.74	37.66	109.9	37.66	90	2018-08-08T19:39:00.264331832Z	0.0	129.88	0.0	116.64	cassandra-001
92.7	37.66	111.38	37.66	90	2018-08-08T19:39:07.271169102Z	0.0	116.64	0.0	85.4	cassandra-001
92.53	37.65	106.99	37.65	90	2018-08-08T19:39:14.278234259Z	0.0	85.4	0.0	194.46	cassandra-001
92.52	37.66	126.9	37.66	90	2018-08-08T19:39:21.284514368Z	59.497	194.46	3.031	124.15	cassandra-001
92.59	37.66	128.73	37.66	90	2018-08-08T19:39:28.2913037Z	0.0	124.15	0.0	122.84	cassandra-001
92.53	37.66	128.9	37.66	90	2018-08-08T19:39:35.297654986Z	59.563	122.84	2.767	122.68	cassandra-001
92.65	37.66	127.7	37.66	90	2018-08-08T19:39:42.305125866Z	0.0	122.68	0.0	106.28	cassandra-001
92.29	37.66	125.97	37.66	90	2018-08-08T19:39:49.312302006Z	0.0	106.28	0.0	73.4	cassandra-001
92.75	37.67	123.97	37.67	90	2018-08-08T19:39:56.318651065Z	0.0	73.4	0.0	107.77	cassandra-001
92.63	37.67	109.52	37.67	91	2018-08-08T19:40:03.324566925Z	0.342	107.77	0.282	119.96	cassandra-001
92.59	37.67	108.82	37.67	93	2018-08-08T19:40:10.331588606Z	59.893	119.96	2.899	118.45	cassandra-001
92.58	37.66	108.09	37.66	94	2018-08-08T19:40:17.338321679Z	0.0	118.45	0.0	97.36	cassandra-001
92.59	37.66	103.87	37.66	96	2018-08-08T19:40:24.345057279Z	0.0	97.36	0.0	107.79	cassandra-001
79.31	37.65	104.12	37.65	98	2018-08-08T19:40:31.355320982Z	59.629	107.79	3.031	117.16	cassandra-001
66.93	37.65	111.42	37.65	100	2018-08-08T19:40:38.363376944Z	0.0	117.16	0.0	87.74	cassandra-001
68.79	37.69	108.08	37.69	101	2018-08-08T19:40:45.372231256Z	0.0	87.74	0.0	112.58	cassandra-001
67.98	37.57	106.85	37.57	103	2018-08-08T19:40:52.380613984Z	0.0	112.58	0.0	95.49	cassandra-001
68.5	37.57	103.02	37.57	104	2018-08-08T19:40:59.38694978Z	59.761	95.49	3.295	99.24	cassandra-001
69.04	37.57	103.33	37.57	106	2018-08-08T19:41:06.394183963Z	0.0	99.24	0.0	87.54	cassandra-001
69.29	37.57	99.96	37.57	108	2018-08-08T19:41:13.402285652Z	0.0	87.54	0.0	110.22	cassandra-001
69.81	37.57	98.8	37.57	109	2018-08-08T19:41:20.411897415Z	59.497	110.22	2.965	121.5	cassandra-001
70.39	37.57	104.43	37.57	110	2018-08-08T19:41:27.42045103Z	0.0	121.5	0.0	84.75	cassandra-001
70.92	37.57	99.79	37.57	110	2018-08-08T19:41:34.428373198Z	0.0	84.75	0.0	90.39	cassandra-001
71.79	37.57	98.94	37.57	110	2018-08-08T19:41:41.436436982Z	0.0	90.39	0.0	133.62	cassandra-001
73.76	37.57	104.67	37.57	110	2018-08-08T19:41:48.443338826Z	59.497	133.62	3.097	123.89	cassandra-001
75.73	37.57	110.73	37.57	110	2018-08-08T19:41:55.456385862Z	0.0	123.89	0.0	128.24	cassandra-001
78.97	37.56	113.73	37.56	110	2018-08-08T19:42:02.464194571Z	0.0	128.24	0.0	177.94	cassandra-001
78.16	37.56	123.14	37.56	110	2018-08-08T19:42:09.471599977Z	0.0	177.94	0.0	107.99	cassandra-001
73.51	37.56	127.01	37.56	110	2018-08-08T19:42:16.479940485Z	59.563	107.99	2.899	78.11	cassandra-001
74.04	37.57	124.97	37.57	110	2018-08-08T19:42:23.487251018Z	0.0	78.11	0.0	119.76	cassandra-001
