host_moving_avg_cpu	memory_rss%	timestamp	name	sensor_count	host_cpu	net_receive	container_cpu%	net_send	memory_active_anon%	memory%
nan	15.97	2018-08-20T00:58:00.565469701Z	kafka-001	0	0	20873956.184	2.1	21271206.175	15.97	89.8
nan	15.97	2018-08-20T00:58:07.577170602Z	kafka-001	0	2.1	1.865	1.56	1.052	15.97	89.8
nan	15.97	2018-08-20T00:58:14.587798225Z	kafka-001	0	1.56	2.251	1.52	1.36	15.97	89.8
nan	15.97	2018-08-20T00:58:21.598990509Z	kafka-001	0	1.52	2.922	1.72	1.682	15.97	89.8
nan	15.97	2018-08-20T00:58:28.615578183Z	kafka-001	0	1.72	1.865	2.63	1.052	15.97	89.8
1.59	15.97	2018-08-20T00:58:35.627913079Z	kafka-001	0	2.63	2.49	1.91	1.424	15.97	89.8
1.91	15.97	2018-08-20T00:58:42.641025226Z	kafka-001	0	1.91	3.067	1.43	2.06	15.97	89.8
1.8	15.97	2018-08-20T00:58:49.654150376Z	kafka-001	0	1.43	2.615	1.55	1.686	15.97	89.8
1.79	15.97	2018-08-20T00:58:56.666878689Z	kafka-001	0	1.55	2.412	1.58	1.404	15.97	89.8
1.8	15.97	2018-08-20T00:59:03.679848676Z	kafka-001	0	1.58	2.353	2.43	1.404	15.97	89.8
1.92	15.97	2018-08-20T00:59:10.691063091Z	kafka-001	0	2.43	2.964	2.11	1.724	15.97	89.8
1.83	15.97	2018-08-20T00:59:17.702402604Z	kafka-001	0	2.11	1.721	1.58	0.966	15.97	89.8
