host_moving_avg_cpu	memory_rss%	timestamp	name	sensor_count	host_cpu	net_receive	container_cpu%	net_send	memory_active_anon%	memory%
nan	38.11	2018-08-20T01:03:18.97218296Z	cassandra-001	3	0	803219.78	39.75	161763.937	38.11	91.5
nan	38.11	2018-08-20T01:03:25.978838622Z	cassandra-001	8	39.75	10.928	36.35	1.144	38.11	91.74
nan	38.12	2018-08-20T01:03:32.98512931Z	cassandra-001	13	36.35	11.944	44.78	1.012	38.12	91.71
nan	38.12	2018-08-20T01:03:39.992472004Z	cassandra-001	16	44.78	16.01	35.89	1.684	38.12	91.43
nan	38.11	2018-08-20T01:03:47.000007605Z	cassandra-001	20	35.89	41.996	31.68	5.265	38.11	91.41
31.41	38.11	2018-08-20T01:03:54.007139484Z	cassandra-001	23	31.68	26.295	30.5	2.856	38.11	91.61
36.49	38.14	2018-08-20T01:04:01.014535889Z	cassandra-001	26	30.5	60.725	34.56	7.174	38.14	91.41
35.63	38.14	2018-08-20T01:04:08.021832933Z	cassandra-001	29	34.56	35.362	41.39	4.16	38.14	91.5
36.47	38.14	2018-08-20T01:04:15.029545921Z	cassandra-001	32	41.39	38.166	38.49	4.938	38.14	91.62
35.42	38.14	2018-08-20T01:04:22.036297079Z	cassandra-001	34	38.49	82.602	37.75	8.949	38.14	91.64
35.73	38.14	2018-08-20T01:04:29.04369924Z	cassandra-001	37	37.75	44.862	33.62	4.698	38.14	91.72
36.05	38.14	2018-08-20T01:04:36.050694049Z	cassandra-001	40	33.62	94.922	30.09	8.562	38.14	91.53
35.98	38.14	2018-08-20T01:04:43.059226706Z	cassandra-001	42	30.09	50.761	4.4	6.214	38.14	91.59
30.96	38.14	2018-08-20T01:04:50.066283504Z	cassandra-001	44	4.4	108.706	35.44	11.435	38.14	91.48
29.96	38.14	2018-08-20T01:04:57.072462773Z	cassandra-001	47	35.44	56.731	31.2	4.76	38.14	91.61
28.75	38.14	2018-08-20T01:05:04.079554633Z	cassandra-001	49	31.2	59.931	33.42	5.802	38.14	91.7
28.03	38.14	2018-08-20T01:05:11.086316455Z	cassandra-001	51	33.42	122.289	31.72	12.764	38.14	91.42
27.71	38.13	2018-08-20T01:05:18.092470895Z	cassandra-001	53	31.72	62.636	3.39	5.747	38.13	91.72
23.26	38.13	2018-08-20T01:05:25.097858183Z	cassandra-001	55	3.39	136.18	38.86	14.516	38.13	91.45
29.0	38.14	2018-08-20T01:05:32.104079757Z	cassandra-001	57	38.86	71.631	30.11	7.95	38.14	91.42
28.12	38.14	2018-08-20T01:05:39.110077206Z	cassandra-001	59	30.11	72.51	37.63	6.656	38.14	91.47
29.19	38.13	2018-08-20T01:05:46.115578734Z	cassandra-001	61	37.63	149.129	41.93	15.857	38.13	91.62
30.61	38.13	2018-08-20T01:05:53.121765113Z	cassandra-001	63	41.93	76.286	3.77	6.786	38.13	91.6
25.95	38.13	2018-08-20T01:06:00.127516703Z	cassandra-001	65	3.77	156.735	47.66	15.564	38.13	91.48
33.33	38.13	2018-08-20T01:06:07.134408503Z	cassandra-001	67	47.66	81.651	37.36	6.89	38.13	91.49
33.08	38.13	2018-08-20T01:06:14.140810521Z	cassandra-001	68	37.36	85.079	32.15	9.424	38.13	91.69
33.42	38.13	2018-08-20T01:06:21.147212736Z	cassandra-001	70	32.15	175.203	32.73	18.173	38.13	91.69
32.6	38.16	2018-08-20T01:06:28.153480096Z	cassandra-001	72	32.73	90.474	30.99	10.518	38.16	91.46
30.78	38.16	2018-08-20T01:06:35.160185633Z	cassandra-001	74	30.99	183.068	65.52	18.078	38.16	91.52
41.07	38.16	2018-08-20T01:06:42.1669211Z	cassandra-001	75	65.52	91.96	38.77	10.728	38.16	91.49
39.59	38.16	2018-08-20T01:06:49.174281649Z	cassandra-001	77	38.77	89.826	34.46	8.747	38.16	91.43
39.1	38.16	2018-08-20T01:06:56.181657487Z	cassandra-001	78	34.46	193.512	35.43	18.048	38.16	91.59
39.65	38.16	2018-08-20T01:07:03.187547459Z	cassandra-001	80	35.43	97.993	26.54	9.274	38.16	91.52
38.62	38.16	2018-08-20T01:07:10.195687549Z	cassandra-001	82	26.54	201.02	49.18	20.672	38.16	91.67
41.65	38.16	2018-08-20T01:07:17.201911927Z	cassandra-001	83	49.18	102.494	37.05	12.229	38.16	91.47
36.9	38.16	2018-08-20T01:07:24.209977993Z	cassandra-001	84	37.05	106.867	39.4	12.876	38.16	91.56
37.01	38.16	2018-08-20T01:07:31.216962997Z	cassandra-001	86	39.4	211.612	32.92	21.606	38.16	91.62
36.75	38.16	2018-08-20T01:07:38.224973852Z	cassandra-001	87	32.92	108.652	37.24	10.05	38.16	91.72
37.05	38.16	2018-08-20T01:07:45.241096009Z	cassandra-001	89	37.24	215.091	8.54	19.887	38.16	91.55
34.05	38.16	2018-08-20T01:07:52.868377004Z	cassandra-001	90	8.54	112.203	33.11	9.204	38.16	91.37
31.38	38.16	2018-08-20T01:07:59.876260093Z	cassandra-001	92	33.11	114.496	36.0	10.682	38.16	91.49
31.2	38.16	2018-08-20T01:08:06.883745336Z	cassandra-001	93	36.0	225.485	42.8	20.386	38.16	91.52
31.77	38.16	2018-08-20T01:08:13.889842473Z	cassandra-001	94	42.8	117.412	38.52	12.344	38.16	91.31
