host_moving_avg_cpu	memory_rss%	timestamp	name	sensor_count	host_cpu	net_receive	container_cpu%	net_send	memory_active_anon%	memory%
nan	15.97	2018-08-20T02:03:09.86683842Z	kafka-001	0	0	21118556.214	1.46	21504720.477	15.97	89.81
nan	15.97	2018-08-20T02:03:16.879081832Z	kafka-001	0	1.46	2.49	1.7	1.424	15.97	89.81
nan	15.97	2018-08-20T02:03:23.891574412Z	kafka-001	0	1.7	1.907	2.43	1.094	15.97	89.81
nan	15.97	2018-08-20T02:03:30.904387699Z	kafka-001	0	2.43	2.922	1.9	1.682	15.97	89.81
nan	15.97	2018-08-20T02:03:37.917586234Z	kafka-001	0	1.9	2.209	1.53	1.318	15.97	89.81
1.5	15.97	2018-08-20T02:03:44.929219656Z	kafka-001	0	1.53	1.931	1.56	1.118	15.97	89.81
1.76	15.97	2018-08-20T02:03:51.946171146Z	kafka-001	0	1.56	3.282	1.58	2.1	15.97	89.81
1.78	15.97	2018-08-20T02:03:58.95511363Z	kafka-001	0	1.58	2.815	2.39	1.944	15.97	89.81
1.9	15.97	2018-08-20T02:04:05.966240375Z	kafka-001	0	2.39	2.556	2.09	1.49	15.97	89.81
1.84	15.97	2018-08-20T02:04:12.977241562Z	kafka-001	0	2.09	2.009	1.53	1.138	15.97	89.81
1.78	15.97	2018-08-20T02:04:19.987922651Z	kafka-001	0	1.53	2.497	1.37	1.49	15.97	89.81
1.75	15.97	2018-08-20T02:04:27.000884024Z	kafka-001	0	1.37	2.532	1.68	1.466	15.97	89.81
