host_moving_avg_cpu	memory_rss%	timestamp	name	sensor_count	host_cpu	net_receive	container_cpu%	net_send	memory_active_anon%	memory%
nan	37.86	2018-08-19T20:43:51.158103566Z	cassandra-001	3	0	399054.42	4.51	114840.755	37.86	72.65
nan	37.86	2018-08-19T20:43:58.166625824Z	cassandra-001	7	4.51	5.168	1.4	0.724	37.86	72.65
nan	37.86	2018-08-19T20:44:05.175299301Z	cassandra-001	11	1.4	23.305	4.75	3.028	37.86	72.65
nan	37.86	2018-08-19T20:44:12.186179532Z	cassandra-001	15	4.75	17.582	1.26	2.344	37.86	72.65
nan	37.86	2018-08-19T20:44:19.193319621Z	cassandra-001	18	1.26	20.077	1.35	2.686	37.86	72.65
2.21	37.86	2018-08-19T20:44:26.201396796Z	cassandra-001	21	1.35	50.12	1.09	6.293	37.86	72.65
2.39	37.86	2018-08-19T20:44:33.208936366Z	cassandra-001	25	1.09	29.782	1.36	4.056	37.86	72.65
1.87	37.88	2018-08-19T20:44:40.216989553Z	cassandra-001	28	1.36	68.196	5.33	8.466	37.87	72.66
2.52	37.88	2018-08-19T20:44:47.225400439Z	cassandra-001	30	5.33	37.677	1.34	4.146	37.88	72.66
1.96	37.88	2018-08-19T20:44:54.233468444Z	cassandra-001	33	1.34	38.581	1.02	4.013	37.88	72.66
1.92	37.88	2018-08-19T20:45:01.241481762Z	cassandra-001	35	1.02	82.574	1.28	8.104	37.88	72.66
1.9	37.87	2018-08-19T20:45:08.251134978Z	cassandra-001	37	1.28	45.478	1.22	4.988	37.87	72.66
1.92	37.88	2018-08-19T20:45:15.257907712Z	cassandra-001	40	1.22	97.25	5.79	10.568	37.87	72.66
2.66	37.86	2018-08-19T20:45:22.264487613Z	cassandra-001	42	5.79	50.88	1.45	3.837	37.86	72.65
2.02	37.86	2018-08-19T20:45:29.27273125Z	cassandra-001	44	1.45	51.828	1.15	4.484	37.86	72.65
