host_cpu	sensor_count
0	3
2.04	9
3.95	14
5.02	18
7.29	22
9.01	26
7.94	29
8.89	32
9.14	35
10.68	38
11.22	41
11.43	43
10.93	46
11.98	48
13.88	50
14.74	53
14.36	55
14.95	57
15.6	59
16.8	61
16.17	63
14.42	65
16.88	67
16.44	69
18.6	71
18.18	73
19.8	74
19.06	76
18.6	78
18.03	80
20.98	81
21.13	83
22.72	85
21.61	86
22.56	88
22.14	89
22.67	91
24.72	92
22.48	94
24.42	95
24.19	97
23.42	98
44.8	99
25.85	101
25.17	102
26.4	104
26.48	105
25.93	106
26.48	108
26.72	109
25.08	110
28.29	112
32.56	113
27.21	114
27.76	115
27.85	117
30.61	118
30.59	119
27.13	120
29.1	122
29.89	123
29.7	124
31.92	125
30.92	126
31.98	128
31.7	129
33.32	130
43.58	131
30.57	132
32.14	133
31.06	134
34.25	136
37.18	137
33.79	138
31.5	139
34.41	140
36.24	141
36.09	142
32.02	143
34.44	144
31.42	145
36.87	146
33.48	147
36.08	148
35.5	149
23.62	150
34.92	151
37.54	152
36.96	153
36.69	154
35.48	155
38.52	156
39.91	157
38.12	158
37.17	159
39.12	160
34.42	161
39.87	162
38.75	163
39.05	164
40	165
40.15	166
38.69	167
41.11	168
38.88	169
39.3	170
40.57	170
42.64	171
39.76	172
41.41	173
39.01	174
44.17	175
47.63	176
42.48	177
40.31	178
43.83	178
47.29	179
44.79	180
44.32	181
45.88	182
41.47	183
45.25	183
42.55	184
45.09	185
40.9	186
45.39	187
40.75	188
46.24	188
42.31	189
45.94	190
37.86	191
43.66	192
44.95	193
46.88	193
41.22	194
44.52	195
43.21	196
47.19	197
49.49	197
50.58	198
44.01	199
50.92	200
44.72	201
48.94	201
46.97	202
47.03	203
47.18	204
48.76	204
48.53	205
50.04	206
46.54	206
49.17	207
49.2	208
50.76	209
49.53	209
43.8	210
45.61	211
49.26	212
49.5	212
49.38	213
48.96	214
51.56	214
49.09	215
50.37	216
51.18	216
50.31	217
57.13	218
50.24	219
52.3	219
52.67	220
51.47	221
52.1	221
46.25	222
51.81	223
54.51	223
51.11	224
53.05	225
51.35	226
47.22	226
51.47	227
53.92	228
47.7	228
52.4	229
52.51	230
55.46	230
51.29	231
53.61	232
55.06	232
56.22	233
54.71	234
56.05	234
52.15	235
53.71	235
50.53	236
56.71	237
54.72	237
56.57	238
54.88	239
54.03	239
50.31	240
54.82	241
50.47	241
57.4	242
58.49	243
57.48	243
54.79	244
59.93	244
54.18	245
56.94	246
57.4	246
58.32	247
66.3	248
60.48	248
58.53	249
58.06	249
38.96	250
59.62	251
59.72	251
59.19	252
59.02	253
56.21	253
57.95	254
60.49	254
58.8	255
59.82	256
61.05	256
57.99	257
59.64	257
60.09	258
57.03	259
62.17	259
62.49	260
59.05	260
61.05	260
60.5	260
61.2	260
58.84	260
58.24	260
61.32	260
53.45	260
