host_cpu	sensor_count
0.00	2
7.31	8
12.99	13
14.96	17
10.13	21
65.36	24
19.74	28
12.93	31
12.14	34
15.74	37
15.79	40
14.18	42
15.49	45
16.96	47
72.34	49
14.95	51
19.09	53
15.32	55
18.56	57
31.57	60
25.28	62
23.76	63
20.00	65
11.94	67
21.78	69
20.97	70
22.61	72
49.82	74
20.18	76
19.44	77
21.9	79
29.13	81
21.46	82
17.64	84
22.12	85
23.53	87
24.65	88
23.41	90
24.71	91
24.21	93
24.48	94
24.65	96
25.08	97
23.66	99
26.71	100
32.42	101
29.33	103
25.96	104
27.26	105
26.36	107
27.54	108
27.61	109
25.32	111
28.82	112
28.7	113
30.29	115
29.71	116
30.55	117
27.11	118
30.6	120
30.75	121
33.86	122
31.76	123
30.94	124
29.51	125
32.83	127
24.06	128
31.51	129
32.09	130
33.85	131
35.2	132
35.13	133
34.42	135
34.07	136
30.94	137
37.87	138
34.55	139
35.31	140
32.03	141
34.93	142
30.64	143
38.3	144
33.45	145
36.15	146
32.49	147
36.1	148
37.63	149
37.19	150
37.73	151
37.26	152
36.03	153
36.5	154
35.07	155
37.78	156
35.26	157
39.53	158
36.79	159
38.55	160
37.11	161
39.4	162
38.12	163
38.06	164
39.01	165
41.67	166
45.94	167
39.29	168
36.85	169
40.55	170
41.32	170
40.05	171
42.22	172
41.03	173
39.62	174
42.97	175
38.28	176
45.8	177
39.07	178
41.72	179
42.21	179
43.2	180
43.6	181
42.71	182
41.79	183
45.84	184
37.19	184
44.91	185
44.66	186
45.67	187
42.11	188
44.93	189
42.21	189
44.95	190
41.54	191
51.85	192
43.72	193
46.65	194
46.98	194
48.14	195
47.19	196
46.30	197
48.60	198
46.99	198
48.72	199
48.01	200
43.66	201
47.56	201
47.31	202
51.18	203
48.37	204
47.40	205
61.40	205
44.21	205
46.72	205
49.79	205
43.65	205
48.33	206
44.75	207
50.60	207
48.03	208
49.82	209
46.94	209
49.94	210
50.70	211
57.98	212
46.35	212
50.52	213
51.46	214
51.32	215
51.34	215
51.47	216
46.35	217
50.62	217
52.57	218
55.38	219
50.31	219
51.62	220
50.06	221
51.12	222
55.06	222
50.26	223
54.54	224
53.5	224
54.49	225
58.47	226
52.92	226
56.60	227
51.21	228
52.02	228
55.45	229
54.17	230
54.57	230
54.99	231
56.35	232
55.88	232
33.36	233
58.02	234
51.49	234
55.08	235
54.69	236
58.35	236
56.81	237
53.27	238
56.69	238
49.66	239
56.89	240
58.99	240
56.64	241
56.93	241
58.05	242
55.61	243
56.59	243
53.38	244
57.54	245
57.83	245
50.30	246
62.02	246
57.19	247
52.65	248
58.19	248
57.56	249
66.63	250
57.37	250
58.00	251
59.35	251
58.35	252
58.04	253
58.48	253
58.75	254
57.17	254
59.59	255
60.85	256
53.84	256
59.85	257
60.29	257
61.22	258
61.68	259
60.57	259
55.95	260
61.27	261
61.25	261
61.92	262
58.32	262
58.93	263
57.72	264
63.50	264
62.29	265
61.57	265
61.54	265
58.75	265
61.56	265
62.66	265
50.90	265
61.42	265
60.28	265
