host_cpu	sensor_count
0	3
3.38	9
5.88	14
5.25	18
6.75	22
7.82	25
8.63	29
9.83	32
9.77	35
9.55	38
10.86	40
10.57	43
13.75	46
10.63	48
12.95	50
12.5	52
13.77	55
14.7	57
14.9	59
13.61	61
15.52	63
17.82	65
17.97	67
15.79	69
16.99	71
16.91	72
19.31	74
19.17	76
19.54	78
17.75	79
19.41	81
20	83
21.36	84
21.08	86
18	87
19.3	89
23.48	90
24.33	92
22.84	93
23	95
23.48	96
24.7	98
25.56	99
22.36	101
23.28	102
24.81	103
24.77	105
26.38	106
24.85	107
27.01	109
23.85	110
28.83	111
29.67	113
27.53	114
26.09	115
27.81	116
28.2	118
30.78	119
28.59	120
28.46	121
29.57	122
28.43	124
28.94	125
29.49	126
31.19	127
31.5	128
31.47	129
32.08	130
31.04	132
31.59	133
33.27	134
33.02	135
32.02	136
33.37	137
31.22	138
33.78	139
31.88	140
35.2	141
35.28	142
36.43	143
34.77	144
37.05	146
34.41	147
35.52	148
33.1	149
33.59	150
31.33	151
37.29	152
36.86	153
35.8	154
35.7	155
38.04	156
36.71	157
37.87	158
34.77	159
38.72	160
37.3	161
38.71	162
38.93	162
40.44	163
33.9	164
39.61	165
38.69	166
42.13	167
38.18	168
39.56	169
40.14	170
39.89	171
41.36	172
41.29	173
41.3	174
41.21	174
41.4	175
43.43	176
43.8	177
41.71	178
38.77	179
42.88	180
40.98	181
52.39	182
39.59	182
44.95	183
42.4	184
44.84	185
48.46	186
44.3	187
41.08	187
44.51	188
41.97	189
44.04	190
36.51	191
43.65	192
38.17	192
46.06	193
41.69	194
42.65	195
41.29	196
48.79	196
47.86	197
47.98	198
43.84	199
47.38	200
43.6	200
49.01	201
45.32	202
46.55	203
49.26	203
49.62	204
50.35	205
49.49	206
48.21	206
51.13	207
48.05	208
50.96	209
43.66	209
47.76	210
50.2	211
49.53	211
51.56	212
50.88	213
45.88	214
50.43	214
51.79	215
51.11	216
50.34	217
50.86	217
52.69	218
52.27	219
53.08	219
51.23	220
49.48	221
51.07	222
52.1	222
52.9	223
51.35	224
52.14	224
52.41	225
50.03	226
46.17	226
54.06	227
59.79	228
54.14	228
52.74	229
53.98	230
53.46	230
53.61	231
53.91	232
53.61	233
53.03	233
49.51	234
55.84	235
55.91	235
55.63	236
49.33	236
55.9	237
55.92	238
57.26	238
52.84	239
56.82	240
56.3	240
57.5	241
51.74	242
53.89	242
58.65	243
58.62	244
57.65	244
57.43	245
55.55	245
56.88	246
54.21	247
60.78	247
60.17	248
64.4	249
61.24	249
60.36	250
60.44	250
63.32	250
50.91	250
56.94	250
53.51	250
59.52	251
43.41	251
59.37	252
56.18	253
59.09	253
57.14	254
59.97	255
56.71	255
60.2	256
56.05	256
59.12	257
60.38	258
59.97	258
61.38	259
57.82	259
59.5	260
59.11	261
59.62	261
61.28	262
56.67	262
60.45	263
61.99	264
60.8	264
54.63	265
61.79	265
61.77	266
63.22	267
63.26	267
65.67	268
61.89	268
63.29	269
61.27	270
66.47	270
63.42	270
63.72	270
63.23	270
63.36	270
63	270
65.01	270
56.51	270
