host_cpu	sensor_count
0	3
3.1	8
4.39	13
5.1	18
7.33	22
7.21	25
8.44	29
8.11	32
9.43	35
10.67	38
11.15	40
10.55	43
11.7	46
13.21	48
13.59	50
15.56	53
13.74	55
14.33	57
17.53	59
14.83	61
17.59	63
15.72	65
16.52	67
15.61	69
18.6	71
18.94	73
19.27	75
19.82	76
19.73	78
17.67	80
20.36	82
20.79	83
20.31	85
20	87
23.49	88
21	90
22.03	91
23.69	93
29.52	94
25.6	96
24.87	97
24.4	99
25.88	100
25.58	101
26.84	103
25.62	104
26.39	105
24.88	107
25.07	108
28.27	110
27.25	111
27.98	112
28.7	113
26.36	115
29.09	116
29.66	117
28.91	118
28.01	120
28.74	121
27.95	122
29.66	123
28.87	125
31.38	126
38.67	127
30.54	128
30.76	129
32.04	130
32.59	131
32.86	133
34.19	134
31.11	135
33.32	136
33.83	137
32.64	138
33.52	139
34.59	140
34.89	141
36.83	142
35.03	144
35.05	145
33.82	146
37	147
34.54	148
36.58	149
33.66	150
36.97	151
35.37	152
36.91	153
34.32	154
36.82	155
36.71	156
38.52	157
38.11	158
37.08	159
36.23	160
38.44	161
39	162
38.9	163
40.05	164
39.56	164
38.4	165
40.5	166
39.58	167
40.3	168
41	169
39.88	170
41.36	171
41.57	172
40.5	173
41.24	174
43.02	175
42.59	176
42.85	176
42.78	177
38.18	178
42.97	179
42.1	180
45.35	181
44.91	182
42.75	183
44.29	183
44.77	184
43.42	185
44.35	186
44.91	187
46.04	188
38.14	188
45.67	189
42.34	190
45.23	191
45.38	192
47.27	193
43.66	193
46.03	194
47.24	195
46.02	196
44.69	197
47.68	197
45.65	198
50.4	199
48.19	200
47.31	201
44.8	201
42.43	202
47.72	203
47.51	204
36.31	204
49.26	205
46.08	206
49.43	207
46.91	207
50.32	208
46.4	209
50.58	210
50.41	210
49.3	211
47.66	212
48.87	213
52.54	213
51.32	214
51.63	215
50.47	215
49.55	216
51.77	217
47.54	217
51.68	218
50.01	219
53.96	220
50.92	220
56.75	221
50.37	222
52.15	222
45.98	223
50.34	224
54.7	224
53.77	225
51.63	226
52.6	227
55.05	227
56.83	228
52.13	229
53.8	229
49.85	230
49.78	231
52.15	231
52.21	232
50.78	233
52.7	233
54.99	234
41.35	235
54.85	235
51.04	236
55.17	237
56.08	237
57.25	238
55.12	239
52.99	239
54.91	240
54.14	240
55.31	241
54.51	242
53.91	242
54.64	243
55.28	244
57.26	244
53.04	245
56.47	246
56.61	246
56.28	247
58.36	247
58.05	248
55.19	249
58.93	249
58.57	250
58.88	251
50.32	251
59.76	252
60.11	252
60.35	253
57.09	254
58.78	254
60.43	255
59.14	255
58.86	255
58.02	255
54.5	255
61.2	255
51.12	255
58.57	255
56.81	255
59.81	255
61.22	256
57.33	256
55.11	257
58.1	258
58.08	258
60.53	259
52.91	259
61.54	260
56.67	260
60.84	260
60.23	260
56.62	260
60.06	260
60.27	261
60.2	262
64.4	262
60.73	263
61.37	263
61.25	264
61.88	265
60.21	265
62.42	265
59.63	265
62.38	265
62.39	265
64.84	265
58.2	265
63.07	265
