host_cpu	sensor_count
0	3
3.56	9
5.15	14
5.16	18
6.19	22
7.64	25
8.59	29
9.36	32
9.04	35
10.5	38
10.66	41
11.75	43
12.41	46
12.91	48
12.24	50
14.29	53
20.46	55
14.99	57
14.92	59
16.78	61
17.03	63
16.69	65
17.23	67
18.17	69
18.92	71
17.96	73
17.42	75
19.62	76
18.15	78
20.6	80
19.61	82
20.09	83
20.13	85
21.87	86
22.74	88
23.09	90
20.82	91
23.06	93
24.73	94
23.73	95
23.98	97
24.08	98
25.22	100
24.92	101
25.57	102
27.65	104
26.1	105
25.83	107
25.45	108
27.15	109
26.31	110
27.19	112
29.39	113
28.13	114
29.1	116
28.33	117
28.23	118
27.23	119
22.77	121
31.02	122
31.78	123
28.29	124
34.3	125
29.75	126
30.55	128
32.05	129
30.97	130
30.72	131
32.21	132
33.85	133
30.85	134
33	136
34.25	137
34.47	138
34.4	139
35.42	140
34.54	141
27.54	142
33.14	143
35.66	144
35.09	145
36.58	146
35.79	147
36.52	148
36.71	149
42.52	150
37.77	152
38.48	152
37.11	153
39.15	154
37.81	155
33.59	156
39.83	157
34.46	158
38.76	159
34.76	160
38.85	161
36.54	162
39.58	163
40.11	164
39.09	165
41.39	166
40.42	167
39.15	168
40.79	169
40.11	170
41.96	171
42.57	171
39.06	172
35.37	173
41.76	174
38.84	175
41.97	176
41.7	177
42.89	178
38.25	179
42.9	179
44.52	180
42.45	181
44.4	182
42.76	183
44.25	184
44.64	185
41.9	185
44.95	186
41.81	187
46.02	188
45.96	189
52.97	190
45.6	190
46.68	191
46.73	192
48.73	193
43.45	194
46.19	194
43.59	195
47.34	196
48.92	197
47.46	198
44.93	198
47.88	199
46.11	200
46.89	201
29.32	202
48.97	202
49.49	203
49.06	204
47.92	205
49.94	205
46.06	206
48.19	207
50.67	208
49.13	208
42.73	209
49.46	210
50.1	211
48.86	211
47.52	212
50.76	213
50.07	213
50.73	214
46.84	215
51.94	216
48.2	216
53.36	217
48.5	218
50.18	219
48.6	219
49.06	220
53.82	221
51.36	221
47.88	222
53.23	223
53.9	223
52.2	224
51.19	225
53.27	226
53.33	226
51	227
53.79	228
46.58	228
54.09	229
55.78	230
55.39	230
55.86	231
52.83	232
48.2	232
54.42	233
52.39	234
56.15	234
56.72	235
54	236
52.49	236
57.21	237
54.36	237
55.64	238
54.5	239
58.54	239
59.02	240
57.03	241
54.59	241
56.77	242
48.92	243
55.45	243
58.55	244
57.79	245
52.32	245
58.53	246
58.13	246
58.82	247
54.33	248
58.46	248
60.35	249
60.77	250
57.14	250
60.56	251
55.36	251
59.44	252
55.97	253
60.84	253
56.36	254
56.68	254
56.33	255
61.77	256
56.25	256
59.88	257
52.07	257
59.36	258
56.23	259
61.26	259
56.17	260
62.04	260
61.68	261
61.68	262
67.52	262
62.36	263
58.86	263
59.2	264
59.72	265
64.64	265
57.41	265
62.42	265
60.9	265
63.12	265
58.29	265
63.15	265
56.89	265
