host_cpu	sensor_count
0	3
3.12	8
4.05	13
5.98	17
5.53	21
6.65	25
7.37	28
8.06	32
10.87	34
9.95	37
10.31	40
10.12	42
11.9	45
13.4	47
13.45	50
13.12	52
12.94	54
14.97	57
15.41	59
15.94	61
16.14	63
15.69	65
16.43	67
17.96	69
13.95	71
18.55	72
17.01	74
18.51	76
21.22	78
21.38	79
20.8	81
19.22	83
21.88	84
22.17	86
21.42	88
22.14	89
21.56	91
24.03	92
20.78	94
24.08	95
23.31	97
24.65	98
22.61	100
25.51	101
26.22	102
25.09	104
24.17	105
25.33	106
22.52	108
26.47	109
25.72	110
26.62	111
24.73	113
27.63	114
29.33	115
29.22	116
27.61	118
28.8	119
29.51	120
30.22	121
29.9	122
29.82	124
28.45	125
31.83	126
27.07	127
31.98	128
29.73	129
32.18	131
30.05	132
32.64	133
32.22	134
34.3	135
29.14	136
33.83	137
33.56	138
35.24	139
30.29	141
35.08	142
35.72	143
35.22	144
35.89	145
35.93	146
33.74	147
34.97	148
36.72	149
37.47	150
35.54	151
36.99	152
34.95	153
36.66	154
35.44	155
39.53	156
33.64	157
38.86	158
38.82	159
39.56	160
36.98	161
38.95	162
39.77	163
38.57	164
40.18	165
40.33	166
43.79	166
40.58	167
38.75	168
40.99	169
38.84	170
40.49	171
40.09	172
40.51	173
40.94	174
42.55	175
39.93	176
42.76	176
39.92	177
42.54	178
40.68	179
43.01	180
41.31	181
39.39	182
43.44	182
44.36	183
36.72	184
43.65	185
39.97	186
43.41	187
40.5	188
43.12	188
46.54	189
46.37	190
50.81	191
46.83	192
44.71	192
45.65	193
46.46	194
47.7	195
40.88	196
45.19	197
46.02	197
47.28	198
41.08	199
47.43	200
46.79	200
46.83	201
48.35	202
49.15	203
48.91	203
48.69	204
48.65	205
47.9	206
45.76	206
45.81	207
47.55	208
46.59	209
45.16	209
49.26	210
49.08	211
45.6	212
51.2	212
48.78	213
50.98	214
46.36	215
50.24	215
52.71	216
48.79	217
49.28	217
50.63	218
48.23	219
52.32	220
49.15	220
52.1	221
52.63	222
53.94	222
53.02	223
52.48	224
52.8	224
51.18	225
57.06	226
54.93	227
52.65	227
53.37	228
52.95	229
55.94	229
51.89	230
53.42	231
51.06	231
54.94	232
55.05	233
54.75	233
52.55	234
54.14	235
55.35	235
56.54	236
51.44	237
56.11	237
36.31	238
56.11	238
48.88	239
56.89	240
56.43	240
55.12	241
51.6	242
56.32	242
55.5	243
55.82	244
56.84	244
56.19	245
53.77	245
60.77	246
58.54	247
57.88	247
57.42	248
57.65	249
55.98	249
61.05	250
57.3	250
58.44	250
54.89	250
59.28	250
52.45	250
59.81	251
53.66	252
59.96	252
55.84	253
59.27	253
61.03	254
60.3	255
56.77	255
60.03	256
61.43	256
61.35	257
59.31	258
61.14	258
58.89	259
62.08	260
60.11	260
60.75	260
61.94	260
50.33	260
61.13	260
62.21	260
61.2	260
58.08	260
59.36	260
59.25	260
57.91	260
59.72	260
