host_moving_avg_cpu	memory_rss%	timestamp	name	sensor_count	host_cpu	net_receive	container_cpu%	net_send	memory_active_anon%	memory%
nan	15.97	2018-08-19T21:48:31.997042408Z	kafka-001	2	0	20148036.977	2.11	20576624.616	15.97	89.48
nan	15.97	2018-08-19T21:48:39.011461791Z	kafka-001	7	2.11	25.656	4.03	15.503	15.97	89.48
nan	15.97	2018-08-19T21:48:46.023445234Z	kafka-001	11	4.03	46.016	3.97	44.748	15.97	89.48
nan	15.97	2018-08-19T21:48:53.034706305Z	kafka-001	15	3.97	61.733	4.7	43.756	15.97	89.48
nan	15.97	2018-08-19T21:49:00.045942902Z	kafka-001	19	4.7	80.694	5.79	87.024	15.97	89.48
3.43	15.97	2018-08-19T21:49:07.057278617Z	kafka-001	23	5.79	96.533	6.51	73.273	15.97	89.48
4.52	15.97	2018-08-19T21:49:14.071104797Z	kafka-001	26	6.51	108.897	7.52	81.467	15.97	89.48
5.42	15.97	2018-08-19T21:49:21.082303568Z	kafka-001	28	7.52	123.964	7.75	139.798	15.97	89.48
6.04	15.97	2018-08-19T21:49:28.093257752Z	kafka-001	31	7.75	132.187	7.89	100.478	15.97	89.48
6.69	15.97	2018-08-19T21:49:35.104071969Z	kafka-001	34	7.89	143.894	9.46	165.689	15.97	89.48
7.49	15.97	2018-08-19T21:49:42.116087878Z	kafka-001	36	9.46	149.283	8.92	117.264	15.97	89.48
8.01	15.97	2018-08-19T21:49:49.131408722Z	kafka-001	39	8.92	162.619	10.45	126.613	15.97	89.48
8.67	15.97	2018-08-19T21:49:56.142951001Z	kafka-001	41	10.45	174.604	10.61	206.118	15.97	89.48
9.18	15.97	2018-08-19T21:50:03.154197076Z	kafka-001	43	10.61	180.525	8.62	143.348	15.97	89.49
9.32	15.97	2018-08-19T21:50:10.166242136Z	kafka-001	46	8.62	190.938	16.86	230.759	15.97	89.49
10.82	15.97	2018-08-19T21:50:17.177769438Z	kafka-001	48	16.86	196.539	11.48	158.897	15.97	89.49
11.16	15.97	2018-08-19T21:50:24.194398332Z	kafka-001	50	11.48	205.117	10.88	165.363	15.97	89.49
11.48	15.97	2018-08-19T21:50:31.207534719Z	kafka-001	52	10.88	201.568	12.21	246.531	15.97	89.49
11.78	15.97	2018-08-19T21:50:38.218855245Z	kafka-001	54	12.21	210.875	14.25	176.259	15.97	89.49
12.38	15.97	2018-08-19T21:50:45.231767184Z	kafka-001	56	14.25	232.3	15.09	285.322	15.97	89.5
13.46	15.97	2018-08-19T21:50:52.243908Z	kafka-001	58	15.09	238.377	15.12	193.448	15.97	89.5
13.17	15.97	2018-08-19T21:50:59.255650756Z	kafka-001	60	15.12	246.677	15.67	199.616	15.97	89.5
13.87	15.97	2018-08-19T21:51:06.266784516Z	kafka-001	62	15.67	256.454	15.12	313.209	15.97	89.5
14.58	15.97	2018-08-19T21:51:13.279280888Z	kafka-001	64	15.12	258.923	16.51	209.16	15.97	89.5
15.29	15.97	2018-08-19T21:51:20.291060154Z	kafka-001	66	16.51	273.82	16.69	323.362	15.97	89.5
15.7	15.97	2018-08-19T21:51:27.307216676Z	kafka-001	68	16.69	271.41	15.17	218.714	15.97	89.51
