host_moving_avg_cpu	memory_rss%	timestamp	name	sensor_count	host_cpu	net_receive	container_cpu%	net_send	memory_active_anon%	memory%
nan	38.18	2018-08-19T22:47:51.260445249Z	cassandra-001	0	0	600951.489	1.25	138182.074	38.18	73.26
nan	38.18	2018-08-19T22:47:58.269925473Z	cassandra-001	0	1.25	3.361	1.18	59.679	38.18	73.26
nan	38.18	2018-08-19T22:48:05.278805018Z	cassandra-001	0	1.18	0.0	1.1	0.0	38.18	73.26
nan	38.18	2018-08-19T22:48:12.287368351Z	cassandra-001	0	1.1	0.0	1.16	0.0	38.18	73.26
nan	38.18	2018-08-19T22:48:19.29598349Z	cassandra-001	0	1.16	3.031	1.17	59.481	38.18	73.26
0.98	38.18	2018-08-19T22:48:26.303435346Z	cassandra-001	0	1.17	0.0	1.28	0.0	38.18	73.26
1.19	38.18	2018-08-19T22:48:33.313221859Z	cassandra-001	0	1.28	0.0	1.29	0.0	38.18	73.26
1.2	38.18	2018-08-19T22:48:40.322705202Z	cassandra-001	0	1.29	0.0	1.37	0.0	38.18	73.26
1.23	38.18	2018-08-19T22:48:47.331979623Z	cassandra-001	0	1.37	0.282	7.47	0.342	38.18	73.27
2.29	38.18	2018-08-19T22:48:54.34195921Z	cassandra-001	0	7.47	2.833	1.46	59.679	38.18	73.27
2.34	38.18	2018-08-19T22:49:01.349197156Z	cassandra-001	0	1.46	2.833	1.15	59.415	38.18	73.26
2.34	38.18	2018-08-19T22:49:08.356986774Z	cassandra-001	0	1.15	0.0	1.2	0.0	38.18	73.26
