host_moving_avg_cpu	memory_rss%	timestamp	name	sensor_count	host_cpu	net_receive	container_cpu%	net_send	memory_active_anon%	memory%
nan	38.15	2018-08-19T22:53:08.438185946Z	cassandra-001	2	0	600987.933	1.27	138897.676	38.15	73.23
nan	38.15	2018-08-19T22:53:15.446124741Z	cassandra-001	6	1.27	8.565	4.01	1.026	38.15	73.23
nan	38.15	2018-08-19T22:53:22.454220409Z	cassandra-001	11	4.01	10.397	1.42	1.118	38.15	73.24
nan	38.15	2018-08-19T22:53:29.460775978Z	cassandra-001	15	1.42	14.746	1.22	1.658	38.15	73.23
nan	38.15	2018-08-19T22:53:36.468830999Z	cassandra-001	18	1.22	38.903	1.28	3.735	38.15	73.24
1.53	38.15	2018-08-19T22:53:43.517729058Z	cassandra-001	22	1.28	24.992	1.25	3.094	38.15	73.24
1.74	38.15	2018-08-19T22:53:50.52561344Z	cassandra-001	25	1.25	59.982	5.68	7.518	38.15	73.24
2.48	38.15	2018-08-19T22:53:57.533037821Z	cassandra-001	28	5.68	32.937	1.32	3.078	38.15	73.24
2.03	38.15	2018-08-19T22:54:04.541460595Z	cassandra-001	30	1.32	34.178	1.23	4.186	38.15	73.24
2.0	38.15	2018-08-19T22:54:11.549100252Z	cassandra-001	33	1.23	78.358	1.43	7.445	38.15	73.24
2.03	38.15	2018-08-19T22:54:18.55725773Z	cassandra-001	36	1.43	42.608	1.28	3.814	38.15	73.24
2.03	38.15	2018-08-19T22:54:25.565109554Z	cassandra-001	38	1.28	92.841	7.33	8.088	38.15	73.24
3.04	38.15	2018-08-19T22:54:32.573233405Z	cassandra-001	41	7.33	49.848	1.32	6.188	38.15	73.24
2.32	38.15	2018-08-19T22:54:39.581219524Z	cassandra-001	43	1.32	50.702	1.33	5.487	38.15	73.24
2.32	38.15	2018-08-19T22:54:46.589959948Z	cassandra-001	45	1.33	111.611	1.34	13.402	38.15	73.24
2.34	38.15	2018-08-19T22:54:53.596037761Z	cassandra-001	48	1.34	58.627	1.32	6.502	38.15	73.24
2.32	38.15	2018-08-19T22:55:00.603072525Z	cassandra-001	50	1.32	118.625	5.89	14.098	38.15	73.24
3.09	38.15	2018-08-19T22:55:07.610863941Z	cassandra-001	52	5.89	65.692	1.31	8.255	38.15	73.24
2.08	38.15	2018-08-19T22:55:14.617620046Z	cassandra-001	54	1.31	66.617	1.36	7.582	38.15	73.24
2.09	38.15	2018-08-19T22:55:21.624864911Z	cassandra-001	56	1.36	138.612	1.29	16.218	38.15	73.24
2.08	38.15	2018-08-19T22:55:28.631333141Z	cassandra-001	58	1.29	69.157	1.31	8.94	38.15	73.24
2.08	38.15	2018-08-19T22:55:35.637824625Z	cassandra-001	60	1.31	149.418	8.04	18.709	38.15	73.24
3.2	38.15	2018-08-19T22:55:42.646554988Z	cassandra-001	62	8.04	76.75	1.2	8.78	38.15	73.24
2.42	38.15	2018-08-19T22:55:49.654698282Z	cassandra-001	64	1.2	79.886	1.34	10.02	38.15	73.24
2.42	38.15	2018-08-19T22:55:56.66164328Z	cassandra-001	65	1.34	160.142	1.33	18.93	38.15	73.24
2.42	38.15	2018-08-19T22:56:03.668644458Z	cassandra-001	67	1.33	83.485	1.28	9.464	38.15	73.24
2.42	38.15	2018-08-19T22:56:10.677807417Z	cassandra-001	69	1.28	170.6	13.65	19.045	38.15	73.25
4.47	38.14	2018-08-19T22:56:17.685719224Z	cassandra-001	71	13.65	87.199	1.38	7.628	38.14	73.24
3.36	38.14	2018-08-19T22:56:24.695487927Z	cassandra-001	72	1.38	88.734	1.3	7.284	38.14	73.24
3.38	38.14	2018-08-19T22:56:31.703301079Z	cassandra-001	74	1.3	181.522	1.38	16.89	38.14	73.24
3.39	38.14	2018-08-19T22:56:38.711907114Z	cassandra-001	75	1.38	92.547	2.38	7.797	38.14	73.24
3.56	38.14	2018-08-19T22:56:45.719204678Z	cassandra-001	77	2.38	188.858	10.74	18.432	38.14	73.24
5.14	38.14	2018-08-19T22:56:52.728567464Z	cassandra-001	79	10.74	96.657	1.35	10.212	38.14	73.24
3.09	38.14	2018-08-19T22:56:59.738942233Z	cassandra-001	80	1.35	100.204	1.2	10.792	38.14	73.24
3.06	38.14	2018-08-19T22:57:06.749483104Z	cassandra-001	82	1.2	200.609	1.72	22.031	38.14	73.24
3.13	38.14	2018-08-19T22:57:13.759246255Z	cassandra-001	83	1.72	104.199	1.18	13.048	38.14	73.24
3.09	38.14	2018-08-19T22:57:20.766368656Z	cassandra-001	85	1.18	213.161	8.89	24.392	38.14	73.24
4.18	38.14	2018-08-19T22:57:27.774883051Z	cassandra-001	86	8.89	108.721	1.28	12.862	38.14	73.24
2.6	38.14	2018-08-19T22:57:34.783240146Z	cassandra-001	88	1.28	110.616	1.14	13.086	38.14	73.24
2.57	38.1	2018-08-19T22:57:41.790515575Z	cassandra-001	89	1.14	223.97	1.26	28.005	38.1	73.21
2.58	38.1	2018-08-19T22:57:48.797931122Z	cassandra-001	91	1.26	114.552	1.18	12.966	38.1	73.21
2.49	38.1	2018-08-19T22:57:55.808028893Z	cassandra-001	92	1.18	225.284	13.16	23.172	38.1	73.21
4.48	38.1	2018-08-19T22:58:02.815244512Z	cassandra-001	93	13.16	115.543	1.26	11.988	38.1	73.21
3.21	38.1	2018-08-19T22:58:09.821907316Z	cassandra-001	94	1.26	117.189	1.12	13.043	38.1	73.21
3.19	38.1	2018-08-19T22:58:16.829429954Z	cassandra-001	96	1.12	237.555	1.27	22.654	38.1	73.21
3.21	38.1	2018-08-19T22:58:23.837844164Z	cassandra-001	97	1.27	122.773	1.18	15.062	38.1	73.21
3.19	38.1	2018-08-19T22:58:30.844515964Z	cassandra-001	98	1.18	239.431	11.43	22.876	38.1	73.21
4.9	38.1	2018-08-19T22:58:37.856269571Z	cassandra-001	100	11.43	126.285	1.22	14.123	38.1	73.21
2.91	38.1	2018-08-19T22:58:44.862709253Z	cassandra-001	101	1.22	123.757	1.2	11.536	38.1	73.21
2.9	38.1	2018-08-19T22:58:51.869585719Z	cassandra-001	102	1.2	257.281	1.21	26.648	38.1	73.22
2.92	38.1	2018-08-19T22:58:58.878318461Z	cassandra-001	104	1.21	130.88	1.32	13.726	38.1	73.22
2.93	38.1	2018-08-19T22:59:05.887160995Z	cassandra-001	105	1.32	257.626	13.47	25.589	38.1	73.22
4.97	38.1	2018-08-19T22:59:12.898511832Z	cassandra-001	106	13.47	132.776	1.1	14.504	38.1	73.22
3.25	38.1	2018-08-19T22:59:19.905649816Z	cassandra-001	108	1.1	133.731	1.3	14.926	38.1	73.22
3.27	38.1	2018-08-19T22:59:26.91547956Z	cassandra-001	109	1.3	268.976	1.16	27.422	38.1	73.22
3.26	38.1	2018-08-19T22:59:33.922327773Z	cassandra-001	110	1.16	137.829	1.18	14.674	38.1	73.22
3.25	38.1	2018-08-19T22:59:40.930616801Z	cassandra-001	111	1.18	280.936	14.96	30.785	38.1	73.22
