host_moving_avg_cpu	memory_rss%	timestamp	name	sensor_count	host_cpu	net_receive	container_cpu%	net_send	memory_active_anon%	memory%
nan	38.01	2018-08-19T21:43:15.234615184Z	cassandra-001	0	0	500136.845	1.39	126183.158	38.01	62.6
nan	38.01	2018-08-19T21:43:22.243744478Z	cassandra-001	0	1.39	0.0	1.35	0.0	38.01	62.6
nan	38.01	2018-08-19T21:43:29.252292236Z	cassandra-001	0	1.35	2.833	1.27	59.415	38.01	62.6
nan	38.01	2018-08-19T21:43:36.259990075Z	cassandra-001	0	1.27	0.0	1.29	0.0	38.01	62.61
nan	38.01	2018-08-19T21:43:43.268551788Z	cassandra-001	0	1.29	2.899	1.32	59.613	38.01	62.62
1.1	38.01	2018-08-19T21:43:50.276633025Z	cassandra-001	0	1.32	3.295	7.03	59.745	38.01	62.61
2.28	38.01	2018-08-19T21:43:57.28520472Z	cassandra-001	0	7.03	0.0	1.29	0.0	38.01	62.61
2.26	38.01	2018-08-19T21:44:04.292306394Z	cassandra-001	0	1.29	0.0	1.13	0.0	38.01	62.61
2.22	38.01	2018-08-19T21:44:11.2986929Z	cassandra-001	0	1.13	2.767	1.09	59.481	38.01	62.61
2.19	38.01	2018-08-19T21:44:18.305744659Z	cassandra-001	0	1.09	0.0	1.23	0.0	38.01	62.61
2.18	38.01	2018-08-19T21:44:25.31298497Z	cassandra-001	0	1.23	0.0	1.3	0.0	38.01	62.61
2.18	38.01	2018-08-19T21:44:32.319054851Z	cassandra-001	0	1.3	0.0	1.45	0.0	38.01	62.61
