host_cpu	memory_rss%	container_cpu%	name	host_moving_avg_cpu	memory_active_anon%	timestamp	net_send	memory%	sensor_count	net_receive
0	15.93	1.63	kafka-001	nan	15.93	2018-08-18T02:30:32.297658146Z	18679938.547	89.11	1	18156052.974
1.63	15.93	1.58	kafka-001	nan	15.93	2018-08-18T02:30:39.309946147Z	1.44	89.1	4	2.607
1.58	15.93	1.82	kafka-001	nan	15.93	2018-08-18T02:30:46.322685349Z	1.76	89.1	7	3.218
1.82	15.93	2.51	kafka-001	nan	15.93	2018-08-18T02:30:53.340261715Z	1.842	89.1	11	3.039
2.51	15.93	1.77	kafka-001	nan	15.93	2018-08-18T02:31:00.349209217Z	1.632	89.1	15	3.032
1.77	15.93	1.55	kafka-001	1.55	15.93	2018-08-18T02:31:07.362981791Z	1.232	89.1	19	2.065
1.55	15.93	1.53	kafka-001	1.81	15.93	2018-08-18T02:31:14.374602114Z	1.88	89.1	22	2.867
1.53	15.93	1.63	kafka-001	1.79	15.93	2018-08-18T02:31:21.386513785Z	1.972	89.11	26	3.096
1.63	15.93	2.63	kafka-001	1.8	15.93	2018-08-18T02:31:28.397049381Z	1.298	89.11	28	2.131
2.63	15.93	1.6	kafka-001	1.94	15.93	2018-08-18T02:31:35.409184712Z	1.51	89.1	31	2.634
1.6	15.93	1.58	kafka-001	1.78	15.93	2018-08-18T02:31:42.422364736Z	1.31	89.1	34	2.297
1.58	15.93	1.42	kafka-001	1.75	15.93	2018-08-18T02:31:49.434965567Z	1.274	89.11	36	2.107
1.42	15.93	1.64	kafka-001	1.73	15.93	2018-08-18T02:31:56.445274441Z	1.51	89.1	39	2.634
1.64	15.93	2.29	kafka-001	1.75	15.93	2018-08-18T02:32:03.45885855Z	1.31	89.1	41	2.297
2.29	15.93	1.93	kafka-001	1.86	15.93	2018-08-18T02:32:10.467497546Z	1.424	89.1	43	2.49
1.93	15.93	1.3	kafka-001	1.74	15.93	2018-08-18T02:32:17.477775609Z	1.274	89.1	45	2.107
1.3	15.93	1.48	kafka-001	1.69	15.93	2018-08-18T02:32:24.48855742Z	1.442	89.1	47	2.429
1.48	15.93	1.4	kafka-001	1.68	15.93	2018-08-18T02:32:31.499357261Z	1.972	89.1	49	3.096
1.4	15.93	2.54	kafka-001	1.67	15.93	2018-08-18T02:32:38.51550233Z	1.694	89.1	52	2.527
2.54	15.93	1.88	kafka-001	1.82	15.93	2018-08-18T02:32:45.528588882Z	1.718	89.1	53	3.176
1.88	15.93	1.6	kafka-001	1.76	15.93	2018-08-18T02:32:52.544320496Z	1.352	89.1	55	2.339
1.6	15.93	1.34	kafka-001	1.7	15.93	2018-08-18T02:32:59.555858528Z	1.232	89.1	57	2.065
1.34	15.93	1.67	kafka-001	1.71	15.93	2018-08-18T02:33:06.571114291Z	1.51	89.1	59	2.634
1.67	15.93	2.46	kafka-001	1.74	15.93	2018-08-18T02:33:13.584928212Z	1.31	89.1	61	2.297
2.46	15.93	1.91	kafka-001	1.92	15.93	2018-08-18T02:33:20.596421446Z	1.466	89.1	63	2.532
1.91	15.93	1.35	kafka-001	1.81	15.93	2018-08-18T02:33:27.60793557Z	1.232	89.11	64	2.065
1.35	15.93	1.59	kafka-001	1.72	15.93	2018-08-18T02:33:34.619634352Z	1.533	89.1	66	2.473
1.59	15.93	1.65	kafka-001	1.72	15.93	2018-08-18T02:33:41.63335713Z	1.774	89.11	68	2.898
1.65	15.93	2.72	kafka-001	1.77	15.93	2018-08-18T02:33:48.650900185Z	1.736	89.1	69	2.569
2.72	15.93	1.91	kafka-001	1.95	15.93	2018-08-18T02:33:55.663824898Z	1.84	89.1	71	2.964
1.91	15.93	1.75	kafka-001	1.86	15.93	2018-08-18T02:34:02.676553636Z	1.396	89.1	72	2.441
1.75	15.93	1.35	kafka-001	1.83	15.93	2018-08-18T02:34:09.68987766Z	1.146	89.1	74	1.921
1.35	15.93	1.68	kafka-001	1.83	15.93	2018-08-18T02:34:16.702255774Z	1.51	89.1	76	2.634
1.68	15.93	2.19	kafka-001	1.84	15.93	2018-08-18T02:34:23.716047846Z	1.352	89.1	77	2.339
2.19	15.93	2.05	kafka-001	1.93	15.93	2018-08-18T02:34:30.729559476Z	1.51	89.11	79	2.634
2.05	15.93	1.38	kafka-001	1.82	15.93	2018-08-18T02:34:37.741049196Z	1.146	89.1	80	1.921
1.38	15.93	1.48	kafka-001	1.73	15.93	2018-08-18T02:34:44.752447777Z	1.31	89.1	81	2.297
1.48	15.93	1.62	kafka-001	1.69	15.93	2018-08-18T02:34:51.765238299Z	1.638	89.1	83	2.82
1.62	15.93	2.56	kafka-001	1.73	15.93	2018-08-18T02:34:58.776998544Z	1.542	89.1	84	2.317
2.56	15.93	1.5	kafka-001	1.88	15.93	2018-08-18T02:35:05.790216322Z	2.116	89.1	85	3.24
1.5	15.93	1.83	kafka-001	1.77	15.93	2018-08-18T02:35:12.801505252Z	1.528	89.1	87	2.495
1.83	15.93	1.54	kafka-001	1.73	15.93	2018-08-18T02:35:19.813906537Z	1.146	89.1	88	1.921
1.54	15.93	1.87	kafka-001	1.76	15.93	2018-08-18T02:35:26.825388791Z	1.51	89.1	90	2.634
1.87	15.93	2.32	kafka-001	1.82	15.93	2018-08-18T02:35:33.836841674Z	1.532	89.1	91	2.539
2.32	15.93	2.2	kafka-001	1.94	15.93	2018-08-18T02:35:40.849723924Z	1.69	89.1	92	2.834
2.2	15.93	1.58	kafka-001	1.88	15.93	2018-08-18T02:35:47.860799754Z	1.146	89.1	94	1.921
1.58	15.93	1.62	kafka-001	1.89	15.93	2018-08-18T02:35:54.872733002Z	1.49	89.1	95	2.497
1.62	15.93	1.61	kafka-001	1.86	15.93	2018-08-18T02:36:01.884183269Z	1.776	89.1	96	2.978
1.61	15.93	2.58	kafka-001	1.87	15.93	2018-08-18T02:36:08.895531061Z	1.254	89.1	97	2.029
2.58	15.93	1.97	kafka-001	1.99	15.93	2018-08-18T02:36:15.910526693Z	2.238	89.1	99	3.44
