host_cpu	memory_rss%	container_cpu%	name	host_moving_avg_cpu	memory_active_anon%	timestamp	net_send	memory%	sensor_count	net_receive
0	38.52	46.09	cassandra-001	nan	38.52	2018-08-18T04:22:18.093763383Z	737631.174	91.41	0	4699137.478
46.09	38.52	33.36	cassandra-001	nan	38.52	2018-08-18T04:22:25.103583813Z	0.0	91.56	0	0.0
33.36	38.52	5.84	cassandra-001	nan	38.52	2018-08-18T04:22:32.110990312Z	0.0	91.48	0	0.0
5.84	38.52	32.19	cassandra-001	nan	38.52	2018-08-18T04:22:39.120481368Z	0.0	91.31	0	0.0
32.19	38.52	33.53	cassandra-001	nan	38.52	2018-08-18T04:22:46.127429246Z	0.342	91.47	0	0.282
33.53	38.52	33.57	cassandra-001	25.17	38.52	2018-08-18T04:22:53.13430257Z	0.0	91.44	0	0.0
33.57	38.52	37.79	cassandra-001	30.76	38.52	2018-08-18T04:23:00.140949098Z	0.0	91.27	0	0.0
37.79	38.52	2.78	cassandra-001	29.38	38.52	2018-08-18T04:23:07.147782908Z	0.0	91.45	0	0.0
2.78	38.52	35.62	cassandra-001	24.28	38.52	2018-08-18T04:23:14.154425112Z	0.342	91.38	0	0.282
35.62	38.52	40.78	cassandra-001	29.25	38.52	2018-08-18T04:23:21.161560197Z	0.0	91.26	0	0.0
40.78	38.53	31.61	cassandra-001	30.68	38.53	2018-08-18T04:23:28.169190147Z	0.0	91.32	0	0.0
31.61	38.53	46.93	cassandra-001	30.36	38.53	2018-08-18T04:23:35.175942567Z	0.0	91.32	0	0.0
