host_cpu	memory_rss%	container_cpu%	name	host_moving_avg_cpu	memory_active_anon%	timestamp	net_send	memory%	sensor_count	net_receive
0	38.44	1.19	cassandra-001	nan	38.44	2018-08-18T03:25:07.089949465Z	737472.672	72.36	0	4699099.616
1.19	38.44	1.19	cassandra-001	nan	38.44	2018-08-18T03:25:14.096433709Z	0.0	72.36	0	0.0
1.19	38.44	1.16	cassandra-001	nan	38.44	2018-08-18T03:25:21.104082273Z	0.342	72.36	0	0.282
1.16	38.44	1.03	cassandra-001	nan	38.44	2018-08-18T03:25:28.110871239Z	0.0	72.36	0	0.0
1.03	38.44	1.27	cassandra-001	nan	38.44	2018-08-18T03:25:35.122011871Z	0.0	72.36	0	0.0
1.27	38.44	1.19	cassandra-001	0.97	38.44	2018-08-18T03:25:42.129046155Z	0.0	72.36	0	0.0
1.19	38.44	1.19	cassandra-001	1.17	38.44	2018-08-18T03:25:49.135084149Z	0.342	72.36	0	0.282
1.19	38.44	1.2	cassandra-001	1.17	38.44	2018-08-18T03:25:56.143023477Z	0.0	72.36	0	0.0
1.2	38.44	1.08	cassandra-001	1.17	38.44	2018-08-18T03:26:03.15073303Z	0.0	72.36	0	0.0
1.08	38.44	1.08	cassandra-001	1.16	38.44	2018-08-18T03:26:10.157124849Z	0.0	72.36	0	0.0
1.08	38.44	4.34	cassandra-001	1.17	38.44	2018-08-18T03:26:17.164286077Z	0.342	72.36	0	0.282
4.34	38.44	1.08	cassandra-001	1.68	38.44	2018-08-18T03:26:24.170458205Z	0.0	72.36	0	0.0
