host_cpu	memory_rss%	container_cpu%	name	host_moving_avg_cpu	memory_active_anon%	timestamp	net_send	memory%	sensor_count	net_receive
0	38.53	33.34	cassandra-001	nan	38.53	2018-08-18T03:54:12.464793095Z	737552.205	91.99	0	4699118.739
33.34	38.53	54.63	cassandra-001	nan	38.53	2018-08-18T03:54:19.473021497Z	0.0	92.18	0	0.0
54.63	38.53	38.55	cassandra-001	nan	38.53	2018-08-18T03:54:26.482771036Z	0.0	92.03	0	0.0
38.55	38.53	46.12	cassandra-001	nan	38.53	2018-08-18T03:54:33.504602355Z	0.0	92.15	0	0.0
46.12	38.53	32.79	cassandra-001	nan	38.53	2018-08-18T03:54:40.512004724Z	0.0	92.24	0	0.0
32.79	38.53	49.15	cassandra-001	34.24	38.53	2018-08-18T03:54:47.51798705Z	0.342	92.26	0	0.282
49.15	38.5	27.96	cassandra-001	42.43	38.5	2018-08-18T03:54:54.524457347Z	0.0	92.28	0	0.0
27.96	38.5	4.4	cassandra-001	41.53	38.5	2018-08-18T03:55:01.532436141Z	0.0	92.15	0	0.0
4.4	38.49	35.06	cassandra-001	33.16	38.49	2018-08-18T03:55:08.539470914Z	0.0	92.07	0	0.0
35.06	38.5	50.55	cassandra-001	32.58	38.5	2018-08-18T03:55:15.547152145Z	0.342	92.13	0	0.282
50.55	38.5	33.18	cassandra-001	33.32	38.5	2018-08-18T03:55:22.554172768Z	0.0	92.05	0	0.0
33.18	38.5	54.18	cassandra-001	33.38	38.5	2018-08-18T03:55:29.560675952Z	0.0	92.03	0	0.0
