net_receive	container_cpu%	memory%	host_moving_avg_cpu	sensor_count	net_send	memory_active_anon%	host_cpu	memory_rss%	name	timestamp
209381.011	1.25	74.39	nan	1	288622.679	38.06	0	38.06	cassandra-001	2018-08-16T22:38:42.84352487Z
5.167	1.18	74.37	nan	6	60.303	38.04	1.25	38.04	cassandra-001	2018-08-16T22:38:49.853833947Z
17.964	1.21	74.38	nan	11	2.66	38.06	1.18	38.06	cassandra-001	2018-08-16T22:38:56.860615948Z
15.181	1.22	74.37	nan	15	2.054	38.05	1.21	38.05	cassandra-001	2018-08-16T22:39:03.867457777Z
40.435	4.3	74.37	nan	18	5.504	38.05	1.22	38.05	cassandra-001	2018-08-16T22:39:10.879161835Z
25.015	1.21	74.37	1.53	21	3.397	38.05	4.3	38.05	cassandra-001	2018-08-16T22:39:17.885627411Z
28.331	1.13	74.35	1.73	25	3.436	38.02	1.21	38.02	cassandra-001	2018-08-16T22:39:24.892277726Z
65.353	1.23	74.35	1.71	28	7.886	38.03	1.13	38.03	cassandra-001	2018-08-16T22:39:31.901189843Z
36.137	1.22	74.36	1.72	31	4.133	38.03	1.23	38.03	cassandra-001	2018-08-16T22:39:38.910007283Z
82.057	9.05	74.36	1.72	33	9.689	38.03	1.22	38.03	cassandra-001	2018-08-16T22:39:45.919112667Z
44.405	1.17	74.35	3.02	36	4.804	38.03	9.05	38.03	cassandra-001	2018-08-16T22:39:52.928211755Z
47.05	1.18	74.35	2.5	39	5.846	38.03	1.17	38.03	cassandra-001	2018-08-16T22:39:59.935597648Z
97.46	1.13	74.36	2.5	41	11.465	38.02	1.18	38.02	cassandra-001	2018-08-16T22:40:06.944028183Z
52.684	4.18	74.36	2.5	43	6.834	38.02	1.13	38.02	cassandra-001	2018-08-16T22:40:13.95333375Z
112.994	13.57	74.35	2.99	45	12.055	38.01	4.18	38.01	cassandra-001	2018-08-16T22:40:20.96237067Z
59.498	1.26	74.35	5.05	48	5.987	38.01	13.57	38.01	cassandra-001	2018-08-16T22:40:27.968985913Z
60.493	1.22	74.34	3.75	50	6.422	38.01	1.26	38.01	cassandra-001	2018-08-16T22:40:34.982840209Z
128.02	1.26	74.35	3.76	52	14.202	38.01	1.22	38.01	cassandra-001	2018-08-16T22:40:41.989455086Z
66.749	1.16	74.35	3.77	54	7.753	38.01	1.26	38.01	cassandra-001	2018-08-16T22:40:48.996367958Z
136.155	10.09	74.35	3.78	56	16.231	38.01	1.16	38.01	cassandra-001	2018-08-16T22:40:56.002722112Z
71.156	1.08	74.35	4.76	58	8.544	38.01	10.09	38.01	cassandra-001	2018-08-16T22:41:03.011628077Z
73.207	1.25	74.35	2.68	60	7.276	38.01	1.08	38.01	cassandra-001	2018-08-16T22:41:10.019650108Z
149.708	1.12	74.35	2.68	61	16.055	38.01	1.25	38.01	cassandra-001	2018-08-16T22:41:17.030929114Z
77.617	1.13	74.35	2.66	63	8.502	38.01	1.12	38.01	cassandra-001	2018-08-16T22:41:24.037819568Z
161.934	13.5	74.35	2.64	65	17.478	38.01	1.13	38.01	cassandra-001	2018-08-16T22:41:31.044328036Z
83.859	1.12	74.35	4.69	66	9.504	38.01	13.5	38.01	cassandra-001	2018-08-16T22:41:38.051302807Z
86.458	1.2	74.35	3.2	68	8.012	38.01	1.12	38.01	cassandra-001	2018-08-16T22:41:45.058512878Z
177.54	1.22	74.35	3.22	70	18.543	38.01	1.2	38.01	cassandra-001	2018-08-16T22:41:52.065109494Z
89.291	1.2	74.35	3.22	71	9.436	38.01	1.22	38.01	cassandra-001	2018-08-16T22:41:59.072484923Z
185.16	5.47	74.36	3.23	73	21.854	38.01	1.2	38.01	cassandra-001	2018-08-16T22:42:06.080047685Z
92.437	1.2	74.35	3.95	75	9.316	38.01	5.47	38.01	cassandra-001	2018-08-16T22:42:13.087105807Z
122.511	4.17	74.36	1.9	76	12.686	38.01	1.2	38.01	cassandra-001	2018-08-16T22:42:20.09658764Z
169.208	1.27	74.36	2.41	78	19.773	38.01	4.17	38.01	cassandra-001	2018-08-16T22:42:27.104918316Z
100.399	1.22	74.36	2.42	79	12.152	38.01	1.27	38.01	cassandra-001	2018-08-16T22:42:34.111395827Z
207.154	6.86	74.36	2.42	81	27.022	38.01	1.22	38.01	cassandra-001	2018-08-16T22:42:41.121252421Z
100.038	1.21	74.36	3.36	82	12.533	38.01	6.86	38.01	cassandra-001	2018-08-16T22:42:48.130246936Z
213.631	10.73	74.36	2.66	84	26.584	38.01	1.21	38.01	cassandra-001	2018-08-16T22:42:55.137486306Z
109.144	1.19	74.36	4.24	85	12.44	38.01	10.73	38.01	cassandra-001	2018-08-16T22:43:02.144564688Z
109.356	1.15	74.36	3.75	86	10.618	38.01	1.19	38.01	cassandra-001	2018-08-16T22:43:09.150269542Z
219.916	2.29	74.36	3.73	88	21.221	38.01	1.15	38.01	cassandra-001	2018-08-16T22:43:16.157178544Z
111.977	1.18	73.97	3.91	89	10.102	38.02	2.29	38.02	cassandra-001	2018-08-16T22:43:23.164995675Z
225.791	10.08	73.96	2.96	90	23.186	38.01	1.18	38.01	cassandra-001	2018-08-16T22:43:30.172351404Z
116.378	1.17	73.96	4.44	92	14.734	38.01	10.08	38.01	cassandra-001	2018-08-16T22:43:37.179221557Z
110.035	3.7	73.96	2.84	93	8.82	38.01	1.17	38.01	cassandra-001	2018-08-16T22:43:44.185718978Z
237.931	1.17	73.96	3.26	95	26.139	38.01	3.7	38.01	cassandra-001	2018-08-16T22:43:51.193193828Z
123.003	1.12	73.96	3.27	96	13.518	38.01	1.17	38.01	cassandra-001	2018-08-16T22:43:58.200912359Z
246.148	13.46	73.97	3.07	97	27.695	38.01	1.12	38.01	cassandra-001	2018-08-16T22:44:05.20893573Z
122.868	1.17	73.96	5.12	98	12.844	38.01	13.46	38.01	cassandra-001	2018-08-16T22:44:12.218363257Z
124.923	1.18	73.97	3.63	100	15.285	38.01	1.17	38.01	cassandra-001	2018-08-16T22:44:19.225626939Z
249.106	1.23	73.96	3.63	101	25.422	38.01	1.18	38.01	cassandra-001	2018-08-16T22:44:26.234835763Z
125.34	1.13	73.96	3.22	102	13.278	38.01	1.23	38.01	cassandra-001	2018-08-16T22:44:33.243370941Z
260.705	12.37	73.96	3.22	103	26.7	38.01	1.13	38.01	cassandra-001	2018-08-16T22:44:40.252093992Z
129.361	1.01	73.96	5.09	105	11.019	38.01	12.37	38.01	cassandra-001	2018-08-16T22:44:47.262953532Z
130.881	1.16	73.96	3.02	106	13.778	38.01	1.01	38.01	cassandra-001	2018-08-16T22:44:54.271024677Z
266.626	4.71	73.97	3.01	107	29.562	38.01	1.16	38.01	cassandra-001	2018-08-16T22:45:01.279145218Z
134.369	1.12	73.97	3.6	108	12.048	38.01	4.71	38.01	cassandra-001	2018-08-16T22:45:08.287882186Z
273.996	13.98	73.97	3.58	109	29.388	38.01	1.12	38.01	cassandra-001	2018-08-16T22:45:15.295622559Z
130.338	1.18	73.97	5.72	111	13.683	38.01	13.98	38.01	cassandra-001	2018-08-16T22:45:22.302946437Z
138.589	1.17	73.97	3.86	112	14.66	38.01	1.18	38.01	cassandra-001	2018-08-16T22:45:29.312575535Z
283.359	1.17	73.97	3.89	113	28.448	38.01	1.17	38.01	cassandra-001	2018-08-16T22:45:36.319948394Z
142.185	1.15	73.97	3.89	114	12.336	38.01	1.17	38.01	cassandra-001	2018-08-16T22:45:43.327058337Z
284.291	14.91	73.97	3.3	115	28.353	38.01	1.15	38.01	cassandra-001	2018-08-16T22:45:50.333920048Z
143.843	1.17	73.97	5.59	117	14.592	38.01	14.91	38.01	cassandra-001	2018-08-16T22:45:57.340390065Z
146.241	1.13	73.97	3.46	118	15.014	38.01	1.17	38.01	cassandra-001	2018-08-16T22:46:04.347178587Z
293.529	1.25	73.97	3.45	119	29.328	38.01	1.13	38.01	cassandra-001	2018-08-16T22:46:11.356301768Z
151.891	1.17	73.97	3.46	120	16.293	38.01	1.25	38.01	cassandra-001	2018-08-16T22:46:18.363050239Z
299.133	13.97	73.97	3.46	121	32.454	38.0	1.17	38.0	cassandra-001	2018-08-16T22:46:25.372892033Z
152.305	1.05	73.97	5.6	122	14.722	38.0	13.97	38.0	cassandra-001	2018-08-16T22:46:32.380026998Z
154.557	1.15	73.97	3.29	123	14.88	38.0	1.05	38.0	cassandra-001	2018-08-16T22:46:39.387543879Z
307.104	2.47	73.96	3.29	124	29.217	37.99	1.15	37.99	cassandra-001	2018-08-16T22:46:46.394970092Z
157.897	1.41	73.96	3.51	125	16.318	37.99	2.47	37.99	cassandra-001	2018-08-16T22:46:53.405095334Z
311.981	13.25	73.96	3.54	127	28.424	37.99	1.41	37.99	cassandra-001	2018-08-16T22:47:00.414300548Z
158.419	1.17	73.97	5.55	128	16.132	37.99	13.25	37.99	cassandra-001	2018-08-16T22:47:07.42342165Z
157.907	2.92	73.96	3.42	129	17.412	37.99	1.17	37.99	cassandra-001	2018-08-16T22:47:14.433138973Z
