net_receive	container_cpu%	memory%	host_moving_avg_cpu	sensor_count	net_send	memory_active_anon%	host_cpu	memory_rss%	name	timestamp
599484.465	1.09	74.67	nan	0	327519.429	38.11	0	38.11	cassandra-001	2018-08-17T00:57:00.567994147Z
0.0	1.28	74.67	nan	0	0.0	38.11	1.09	38.11	cassandra-001	2018-08-17T00:57:07.575485525Z
0.141	2.72	74.67	nan	0	0.171	38.11	1.28	38.11	cassandra-001	2018-08-17T00:57:14.582575625Z
0.141	2.54	74.67	nan	0	0.171	38.11	2.72	38.11	cassandra-001	2018-08-17T00:57:21.59147694Z
0.0	1.1	74.67	nan	0	0.0	38.11	2.54	38.11	cassandra-001	2018-08-17T00:57:28.597199593Z
0.0	1.22	74.67	1.46	0	0.0	38.11	1.1	38.11	cassandra-001	2018-08-17T00:57:35.604494549Z
0.141	1.02	74.67	1.66	0	0.171	38.11	1.22	38.11	cassandra-001	2018-08-17T00:57:42.612252673Z
0.0	1.14	74.67	1.65	0	0.0	38.11	1.02	38.11	cassandra-001	2018-08-17T00:57:49.62055771Z
0.141	1.09	74.67	1.62	0	0.171	38.11	1.14	38.11	cassandra-001	2018-08-17T00:57:56.627237838Z
0.0	1.17	74.67	1.35	0	0.0	38.11	1.09	38.11	cassandra-001	2018-08-17T00:58:03.633789904Z
0.141	2.25	74.67	1.12	0	0.171	38.11	1.17	38.11	cassandra-001	2018-08-17T00:58:10.643428299Z
0.0	1.18	74.67	1.32	0	0.0	38.11	2.25	38.11	cassandra-001	2018-08-17T00:58:17.649988219Z
