net_receive	container_cpu%	memory%	host_moving_avg_cpu	sensor_count	net_send	memory_active_anon%	host_cpu	memory_rss%	name	timestamp
8299274.255	2.73	36.44	nan	2	9077987.801	15.93	0	15.93	kafka-001	2018-08-17T01:00:17.54079925Z
41.445	3.59	36.44	nan	7	39.515	15.93	2.73	15.93	kafka-001	2018-08-17T01:00:24.551955344Z
64.198	4.87	36.44	nan	12	69.19	15.93	3.59	15.93	kafka-001	2018-08-17T01:00:31.562662686Z
81.021	6.79	36.44	nan	15	69.352	15.93	4.87	15.93	kafka-001	2018-08-17T01:00:38.571563198Z
96.474	6.81	36.44	nan	19	112.868	15.93	6.79	15.93	kafka-001	2018-08-17T01:00:45.582375275Z
109.263	7.03	36.44	4.13	22	92.38	15.93	6.81	15.93	kafka-001	2018-08-17T01:00:52.593724268Z
125.561	7.11	36.44	5.3	26	105.149	15.93	7.03	15.93	kafka-001	2018-08-17T01:00:59.603979286Z
138.156	8.63	36.44	6.03	29	161.106	15.93	7.11	15.93	kafka-001	2018-08-17T01:01:06.613355829Z
147.433	10.69	36.44	6.87	31	124.688	15.93	8.63	15.93	kafka-001	2018-08-17T01:01:13.625659585Z
163.571	10.81	36.44	7.84	34	198.699	15.93	10.69	15.93	kafka-001	2018-08-17T01:01:20.63577358Z
173.214	10.07	36.44	8.51	37	147.814	15.93	10.81	15.93	kafka-001	2018-08-17T01:01:27.647743621Z
185.459	11.19	36.44	9.06	39	152.686	15.93	10.07	15.93	kafka-001	2018-08-17T01:01:34.660332821Z
197.506	11.29	36.45	9.75	42	233.762	15.93	11.19	15.93	kafka-001	2018-08-17T01:01:41.671081811Z
202.521	13.02	36.45	10.45	44	173.6	15.93	11.29	15.93	kafka-001	2018-08-17T01:01:48.683870489Z
212.634	14.41	36.45	11.18	46	260.57	15.93	13.02	15.93	kafka-001	2018-08-17T01:01:55.698718108Z
217.345	12.42	36.45	11.8	48	184.934	15.93	14.41	15.93	kafka-001	2018-08-17T01:02:02.711681802Z
