container_cpu%	sensor_count	host_moving_avg_cpu	memory%	memory_active_anon%	host_cpu	memory_rss%	timestamp	net_receive	name	net_send
11.2	3	nan	82.91	37.61	0	37.61	2018-08-07T16:22:58.121560505Z	218344.035	cassandra-001	24026.776
14.44	9	nan	82.92	37.61	11.2	37.61	2018-08-07T16:23:05.131470489Z	10.329	cassandra-001	1.685
7.85	14	nan	82.94	37.61	14.44	37.61	2018-08-07T16:23:12.138437615Z	10.588	cassandra-001	1.092
10.45	19	nan	82.97	37.61	7.85	37.61	2018-08-07T16:23:19.148958525Z	13.748	cassandra-001	1.896
18.83	23	nan	83.0	37.61	10.45	37.61	2018-08-07T16:23:26.161151964Z	35.022	cassandra-001	3.354
19.45	27	10.46	83.11	37.68	18.83	37.68	2018-08-07T16:23:33.170354494Z	21.297	cassandra-001	2.487
24.4	31	13.7	83.16	37.67	19.45	37.67	2018-08-07T16:23:40.17799184Z	49.132	cassandra-001	5.62
22.09	35	15.9	83.25	37.72	24.4	37.72	2018-08-07T16:23:47.187692531Z	27.857	cassandra-001	2.314
20.44	37	17.18	83.32	37.72	22.09	37.72	2018-08-07T16:23:54.196460609Z	29.533	cassandra-001	3.396
21.32	40	19.28	83.39	37.72	20.44	37.72	2018-08-07T16:24:01.204892549Z	63.827	cassandra-001	7.028
19.36	43	21.09	83.45	37.72	21.32	37.72	2018-08-07T16:24:08.215571142Z	35.425	cassandra-001	4.265
25.78	45	21.18	83.53	37.72	19.36	37.72	2018-08-07T16:24:15.224904441Z	72.961	cassandra-001	6.946
25.38	48	22.23	83.62	37.72	25.78	37.72	2018-08-07T16:24:22.231607504Z	40.826	cassandra-001	4.726
24.03	50	22.4	81.64	37.65	25.38	37.65	2018-08-07T16:24:29.24229971Z	40.584	cassandra-001	3.696
25.08	53	22.72	82.18	37.65	24.03	37.65	2018-08-07T16:24:36.251266096Z	87.154	cassandra-001	9.515
30.48	55	23.49	82.28	37.66	25.08	37.66	2018-08-07T16:24:43.261093729Z	46.996	cassandra-001	5.714
28.57	58	25.02	82.38	37.67	30.48	37.67	2018-08-07T16:24:50.271087197Z	95.513	cassandra-001	9.856
26.62	60	26.55	82.49	37.67	28.57	37.67	2018-08-07T16:24:57.279013144Z	49.88	cassandra-001	5.462
33.95	63	26.69	82.59	37.67	26.62	37.67	2018-08-07T16:25:04.286997996Z	52.025	cassandra-001	5.091
27.96	65	28.12	82.69	37.66	33.95	37.66	2018-08-07T16:25:11.296069852Z	108.168	cassandra-001	11.872
25.46	67	28.78	82.8	37.66	27.96	37.66	2018-08-07T16:25:18.307180073Z	54.518	cassandra-001	6.16
34.05	69	28.84	82.92	37.66	25.46	37.66	2018-08-07T16:25:25.315454132Z	115.943	cassandra-001	13.678
27.44	71	29.44	83.03	37.65	34.05	37.65	2018-08-07T16:25:32.329415046Z	60.576	cassandra-001	7.254
