container_cpu%	sensor_count	host_moving_avg_cpu	memory%	memory_active_anon%	host_cpu	memory_rss%	timestamp	net_receive	name	net_send
9.39	4	nan	59.92	37.71	0	37.74	2018-08-07T17:02:24.203210172Z	252117.925	cassandra-001	27636.136
7.34	10	nan	59.94	37.74	9.39	37.74	2018-08-07T17:02:31.220872739Z	8.941	cassandra-001	1.448
17.3	15	nan	59.96	37.74	7.34	37.74	2018-08-07T17:02:38.233268454Z	9.639	cassandra-001	0.762
15.52	20	nan	59.99	37.75	17.3	37.75	2018-08-07T17:02:45.242167047Z	29.606	cassandra-001	3.553
15.68	24	nan	60.03	37.75	15.52	37.75	2018-08-07T17:02:52.25004643Z	18.946	cassandra-001	2.528
11.91	28	10.87	60.07	37.75	15.68	37.75	2018-08-07T17:02:59.260747396Z	21.288	cassandra-001	2.118
13.11	32	12.86	60.13	37.75	11.91	37.75	2018-08-07T17:03:06.270314363Z	49.47	cassandra-001	4.788
20.91	36	13.48	60.18	37.75	13.11	37.75	2018-08-07T17:03:13.281746152Z	27.991	cassandra-001	2.776
28.14	39	15.74	60.25	37.75	20.91	37.75	2018-08-07T17:03:20.288750634Z	63.177	cassandra-001	6.447
26.18	42	17.54	60.32	37.75	28.14	37.75	2018-08-07T17:03:27.300846905Z	35.086	cassandra-001	3.764
23.87	45	19.32	60.4	37.75	26.18	37.75	2018-08-07T17:03:34.311117635Z	37.32	cassandra-001	4.41
26.6	48	20.69	60.47	37.75	23.87	37.75	2018-08-07T17:03:41.320340505Z	76.043	cassandra-001	7.182
28.52	51	23.13	60.57	37.76	26.6	37.76	2018-08-07T17:03:48.3302286Z	42.793	cassandra-001	4.619
34.04	54	25.7	60.66	37.76	28.52	37.76	2018-08-07T17:03:55.340603888Z	88.65	cassandra-001	9.832
84.02	57	27.89	62.38	37.76	34.04	37.76	2018-08-07T17:04:02.34797143Z	46.847	cassandra-001	4.816
81.39	60	37.2	64.85	37.77	84.02	37.77	2018-08-07T17:04:09.362354939Z	47.23	cassandra-001	3.918
67.24	62	46.41	67.32	37.77	81.39	37.77	2018-08-07T17:04:16.389647471Z	102.382	cassandra-001	10.817
82.39	65	53.63	65.46	37.76	67.24	37.76	2018-08-07T17:04:23.398364235Z	51.685	cassandra-001	3.758
74.24	67	62.93	67.93	37.77	82.39	37.77	2018-08-07T17:04:30.408741615Z	111.51	cassandra-001	12.346
68.81	70	70.55	70.4	37.77	74.24	37.77	2018-08-07T17:04:37.416787544Z	57.67	cassandra-001	5.75
78.66	72	76.35	72.88	37.77	68.81	37.77	2018-08-07T17:04:44.426624389Z	58.119	cassandra-001	5.868
101.71	74	75.45	75.33	37.77	78.66	37.77	2018-08-07T17:04:51.441991888Z	122.477	cassandra-001	12.817
66.5	75	78.84	77.25	37.77	101.71	37.77	2018-08-07T17:04:58.45003289Z	62.816	cassandra-001	6.25
79.33	75	78.72	79.72	37.76	66.5	37.76	2018-08-07T17:05:05.45995557Z	127.599	cassandra-001	14.084
78.85	75	78.21	82.19	37.76	79.33	37.76	2018-08-07T17:05:12.468718201Z	63.911	cassandra-001	7.504
81.09	75	78.98	84.66	37.75	78.85	37.75	2018-08-07T17:05:19.477855272Z	63.392	cassandra-001	6.817
67.43	76	81.02	87.8	37.76	81.09	37.76	2018-08-07T17:05:26.485943337Z	128.463	cassandra-001	14.782
68.59	78	79.15	89.99	37.76	67.43	37.76	2018-08-07T17:05:33.498022632Z	64.048	cassandra-001	5.444
51.51	80	73.63	76.44	37.75	68.59	37.75	2018-08-07T17:05:40.50769727Z	131.38	cassandra-001	13.21
40.01	83	71.13	76.58	37.75	51.51	37.75	2018-08-07T17:05:47.514485699Z	67.662	cassandra-001	6.551
34.71	85	64.58	76.72	37.75	40.01	37.75	2018-08-07T17:05:54.52227259Z	69.194	cassandra-001	5.284
43.43	87	57.22	76.87	37.75	34.71	37.75	2018-08-07T17:06:01.530840288Z	144.805	cassandra-001	15.398
33.41	89	50.95	77.01	37.75	43.43	37.75	2018-08-07T17:06:08.538780408Z	74.144	cassandra-001	8.398
48.49	91	45.28	77.17	37.75	33.41	37.75	2018-08-07T17:06:15.545721176Z	151.034	cassandra-001	16.055
39.75	93	41.93	77.32	37.75	48.49	37.75	2018-08-07T17:06:22.554206963Z	78.755	cassandra-001	9.202
