----------------------------------------------------------------
container_cpu%	sensor_count	host_moving_avg_cpu	memory%	memory_active_anon%	host_cpu	memory_rss%	timestamp	net_receive	name	net_send
8.84	3	nan	72.09	37.56	0	37.56	2018-08-07T15:55:37.738255513Z	188409.488	cassandra-001	20860.486
13.85	9	nan	72.1	37.56	8.84	37.56	2018-08-07T15:55:44.74695451Z	3.388	cassandra-001	0.5
8.48	14	nan	72.11	37.55	13.85	37.55	2018-08-07T15:55:51.75742268Z	16.901	cassandra-001	2.436
13.48	19	nan	72.13	37.55	8.48	37.55	2018-08-07T15:55:58.765588151Z	13.245	cassandra-001	1.302
15.93	23	nan	72.17	37.55	13.48	37.55	2018-08-07T15:56:05.776911548Z	37.052	cassandra-001	5.439
13.66	28	10.1	72.21	37.55	15.93	37.55	2018-08-07T15:56:12.786004995Z	22.701	cassandra-001	3.108
13.28	31	12.37	72.26	37.55	13.66	37.55	2018-08-07T15:56:19.795216438Z	24.302	cassandra-001	2.962
15.8	35	13.11	72.31	37.54	13.28	37.54	2018-08-07T15:56:26.803086336Z	56.574	cassandra-001	8.034
29.53	39	13.44	72.36	37.53	15.8	37.53	2018-08-07T15:56:33.812979538Z	32.413	cassandra-001	4.781
29.41	42	16.95	72.43	37.53	29.53	37.53	2018-08-07T15:56:40.820030372Z	69.548	cassandra-001	9.06
31.9	45	19.6	72.51	37.53	29.41	37.53	2018-08-07T15:56:47.831460192Z	37.809	cassandra-001	4.806
28.09	48	22.26	72.59	37.53	31.9	37.53	2018-08-07T15:56:54.842067386Z	39.651	cassandra-001	5.294
35.39	51	24.67	72.67	37.53	28.09	37.53	2018-08-07T15:57:01.852473634Z	82.255	cassandra-001	9.345
31.71	54	28.35	72.76	37.53	35.39	37.53	2018-08-07T15:57:08.862620506Z	43.138	cassandra-001	5.134
30.51	56	31.0	72.86	37.53	31.71	37.53	2018-08-07T15:57:15.870479666Z	93.152	cassandra-001	10.768
26.33	59	31.17	72.95	37.53	30.51	37.53	2018-08-07T15:57:22.879585076Z	49.392	cassandra-001	5.766
32.4	61	30.65	73.05	37.53	26.33	37.53	2018-08-07T15:57:29.893319624Z	49.138	cassandra-001	4.208
28.87	64	30.74	73.17	37.53	32.4	37.53	2018-08-07T15:57:36.900372647Z	105.704	cassandra-001	11.885
34.24	66	30.87	73.28	37.53	28.87	37.53	2018-08-07T15:57:43.907758852Z	54.363	cassandra-001	4.642
32.07	69	30.68	73.39	37.54	34.24	37.54	2018-08-07T15:57:50.915677947Z	113.43	cassandra-001	11.936
32.87	71	30.74	73.51	37.54	32.07	37.54	2018-08-07T15:57:57.924741594Z	58.628	cassandra-001	6.172
34.88	73	31.13	73.63	37.53	32.87	37.53	2018-08-07T15:58:04.935589148Z	60.219	cassandra-001	5.709
36.85	75	32.56	73.76	37.54	34.88	37.54	2018-08-07T15:58:11.947123345Z	125.179	cassandra-001	14.348
35.12	78	33.3	73.89	37.54	36.85	37.54	2018-08-07T15:58:18.955909751Z	65.287	cassandra-001	7.952
50.29	80	34.34	74.03	37.54	35.12	37.54	2018-08-07T15:58:25.965839855Z	131.241	cassandra-001	13.712
48.46	82	37.01	75.45	37.54	50.29	37.54	2018-08-07T15:58:32.975295928Z	67.968	cassandra-001	8.175
41.33	84	39.74	75.59	37.54	48.46	37.54	2018-08-07T15:58:39.983939332Z	69.931	cassandra-001	8.65
44.09	86	41.15	75.73	37.54	41.33	37.54	2018-08-07T15:58:46.992616934Z	142.829	cassandra-001	16.494
40.07	88	42.69	75.88	37.54	44.09	37.54	2018-08-07T15:58:54.002056272Z	72.806	cassandra-001	8.9
46.55	90	43.23	76.04	37.54	40.07	37.54	2018-08-07T15:59:01.011216915Z	150.857	cassandra-001	17.31
34.15	92	45.13	76.19	37.54	46.55	37.54	2018-08-07T15:59:08.02167263Z	77.575	cassandra-001	9.043
33.24	94	42.44	76.35	37.54	34.15	37.54	2018-08-07T15:59:15.034149078Z	77.435	cassandra-001	6.892
44.81	96	39.9	76.51	37.54	33.24	37.54	2018-08-07T15:59:22.042758237Z	158.434	cassandra-001	15.116
36.01	98	40.48	76.67	37.54	44.81	37.54	2018-08-07T15:59:29.051111354Z	80.141	cassandra-001	7.168
50.21	100	39.14	76.84	37.54	36.01	37.54	2018-08-07T15:59:36.063290441Z	163.947	cassandra-001	15.443
51.87	101	40.83	77.01	37.53	50.21	37.53	2018-08-07T15:59:43.072729869Z	85.859	cassandra-001	9.82
53.07	103	41.71	77.19	37.54	51.87	37.54	2018-08-07T15:59:50.081560011Z	171.187	cassandra-001	17.818
46.07	105	44.87	78.62	37.54	53.07	37.54	2018-08-07T15:59:57.088539488Z	87.207	cassandra-001	10.466
45.05	106	47.01	78.8	37.54	46.07	37.54	2018-08-07T16:00:04.09858225Z	89.618	cassandra-001	10.003
57.18	108	47.05	78.98	37.54	45.05	37.54	2018-08-07T16:00:11.111023637Z	181.563	cassandra-001	18.66
41.34	110	50.57	79.17	37.54	57.18	37.54	2018-08-07T16:00:18.120654072Z	91.017	cassandra-001	8.168
61.2	111	49.1	79.36	37.54	41.34	37.54	2018-08-07T16:00:25.128809024Z	184.876	cassandra-001	17.8
46.56	113	50.65	79.55	37.54	61.2	37.54	2018-08-07T16:00:32.138644001Z	95.076	cassandra-001	11.585
50.37	115	49.57	79.74	37.54	46.56	37.54	2018-08-07T16:00:39.145831174Z	96.062	cassandra-001	11.348
45.7	116	50.28	79.94	37.54	50.37	37.54	2018-08-07T16:00:46.153789962Z	193.703	cassandra-001	19.144
48.88	118	50.39	80.14	37.54	45.7	37.54	2018-08-07T16:00:53.164277128Z	97.344	cassandra-001	9.816
54.24	119	49.01	80.33	37.54	48.88	37.54	2018-08-07T16:01:00.173079775Z	200.603	cassandra-001	20.594
41.84	121	51.16	81.77	37.55	54.24	37.55	2018-08-07T16:01:07.181354493Z	100.998	cassandra-001	9.009
43.79	122	47.93	81.98	37.55	41.84	37.55	2018-08-07T16:01:14.188514776Z	99.747	cassandra-001	9.128
56.75	124	47.47	82.19	37.54	43.79	37.54	2018-08-07T16:01:21.197324194Z	208.38	cassandra-001	23.562
55.51	125	48.53	82.39	37.54	56.75	37.54	2018-08-07T16:01:28.206101879Z	106.56	cassandra-001	13.14
56.94	127	50.17	82.61	37.54	55.51	37.54	2018-08-07T16:01:35.215526181Z	212.562	cassandra-001	22.253
