----------------------------------------------------------------
container_cpu%	sensor_count	host_moving_avg_cpu	memory%	memory_active_anon%	host_cpu	memory_rss%	timestamp	net_receive	name	net_send
9.83	3	nan	92.39	37.73	0	37.73	2018-08-07T18:13:25.911636245Z	310995.681	cassandra-001	33846.845
12.69	9	nan	92.4	37.73	9.83	37.73	2018-08-07T18:13:32.919283021Z	5.036	cassandra-001	0.592
7.87	14	nan	92.42	37.73	12.69	37.73	2018-08-07T18:13:39.927165114Z	8.164	cassandra-001	0.868
12.82	19	nan	92.45	37.73	7.87	37.73	2018-08-07T18:13:46.933811429Z	26.533	cassandra-001	3.608
21.63	24	nan	92.52	37.77	12.82	37.77	2018-08-07T18:13:53.943675948Z	17.943	cassandra-001	2.475
24.71	28	10.81	92.57	37.77	21.63	37.77	2018-08-07T18:14:00.952231356Z	42.471	cassandra-001	4.566
12.14	32	14.93	92.62	37.77	24.71	37.77	2018-08-07T18:14:07.963623697Z	25.19	cassandra-001	2.896
16.36	35	15.31	92.35	37.77	12.14	37.77	2018-08-07T18:14:14.971301281Z	27.559	cassandra-001	3.212
20.16	39	15.92	92.41	37.77	16.36	37.77	2018-08-07T18:14:21.978839011Z	61.281	cassandra-001	7.279
20.19	42	17.97	92.48	37.76	20.16	37.76	2018-08-07T18:14:28.987181208Z	33.69	cassandra-001	3.87
34.37	45	19.2	92.55	37.76	20.19	37.76	2018-08-07T18:14:35.995445747Z	71.928	cassandra-001	8.2
27.34	48	21.32	92.61	37.77	34.37	37.8	2018-08-07T18:14:43.004372363Z	38.198	cassandra-001	2.878
20.86	51	21.76	92.62	37.8	27.34	37.8	2018-08-07T18:14:50.018253717Z	42.309	cassandra-001	5.649
27.71	54	23.21	92.67	37.81	20.86	37.81	2018-08-07T18:14:57.026161011Z	89.961	cassandra-001	11.588
32.56	57	25.11	92.43	37.81	27.71	37.81	2018-08-07T18:15:04.032070663Z	46.945	cassandra-001	5.384
35.24	59	27.17	92.53	37.81	32.56	37.81	2018-08-07T18:15:11.03884943Z	98.139	cassandra-001	11.07
20.44	62	29.68	92.64	37.81	35.24	37.81	2018-08-07T18:15:18.047514432Z	50.533	cassandra-001	5.752
31.81	64	27.36	92.43	37.81	20.44	37.81	2018-08-07T18:15:25.05417938Z	71.532	cassandra-001	8.347
30.94	67	28.1	92.54	37.81	31.81	37.81	2018-08-07T18:15:32.065209898Z	92.372	cassandra-001	10.608
36.61	69	29.78	92.66	37.81	30.94	37.81	2018-08-07T18:15:39.073050829Z	57.351	cassandra-001	7.334
30.47	72	31.27	92.5	37.86	36.61	37.86	2018-08-07T18:15:46.083051512Z	117.781	cassandra-001	13.03
74.75	74	30.92	92.62	37.86	30.47	37.86	2018-08-07T18:15:53.091741528Z	61.732	cassandra-001	7.055
76.43	76	37.5	92.54	37.86	74.75	37.86	2018-08-07T18:16:00.097724581Z	126.122	cassandra-001	13.674
80.55	78	46.84	90.96	37.86	76.43	37.86	2018-08-07T18:16:07.104437213Z	65.832	cassandra-001	8.15
75.17	81	54.96	92.51	37.86	80.55	37.86	2018-08-07T18:16:14.117777746Z	66.81	cassandra-001	7.014
74.39	83	62.33	92.45	37.86	75.17	37.86	2018-08-07T18:16:21.125742313Z	139.54	cassandra-001	17.089
76.71	85	68.63	92.4	37.86	74.39	37.86	2018-08-07T18:16:28.137263455Z	71.345	cassandra-001	7.99
89.62	87	76.33	92.65	37.89	76.71	37.89	2018-08-07T18:16:35.151770525Z	143.191	cassandra-001	15.886
79.92	89	78.81	92.66	37.89	89.62	37.89	2018-08-07T18:16:42.160403581Z	75.342	cassandra-001	8.424
79.82	91	79.39	92.64	37.89	79.92	37.89	2018-08-07T18:16:49.169354882Z	75.23	cassandra-001	7.935
75.65	93	79.27	92.63	37.9	79.82	37.9	2018-08-07T18:16:56.179059898Z	154.142	cassandra-001	15.83
45.36	95	79.35	81.51	37.87	75.65	37.9	2018-08-07T18:17:03.188851798Z	79.53	cassandra-001	8.04
39.92	97	74.51	81.67	37.9	45.36	37.9	2018-08-07T18:17:10.196557685Z	163.125	cassandra-001	18.138
46.2	99	68.38	81.83	37.89	39.92	37.89	2018-08-07T18:17:17.205017884Z	83.294	cassandra-001	9.57
42.89	100	61.14	75.21	37.9	46.2	37.9	2018-08-07T18:17:24.214118585Z	84.01	cassandra-001	9.239
49.1	102	54.97	75.39	37.9	42.89	37.9	2018-08-07T18:17:31.22317339Z	169.972	cassandra-001	19.31
41.66	104	49.85	75.57	37.9	49.1	37.9	2018-08-07T18:17:38.231526383Z	88.344	cassandra-001	11.06
54.69	106	44.19	75.75	37.9	41.66	37.9	2018-08-07T18:17:45.24032202Z	179.015	cassandra-001	21.156
49.86	107	45.74	75.93	37.9	54.69	37.9	2018-08-07T18:17:52.24892528Z	89.228	cassandra-001	10.227
42.4	109	47.4	76.1	37.89	49.86	37.89	2018-08-07T18:17:59.257233603Z	91.367	cassandra-001	10.254
48.94	111	46.77	77.17	37.9	42.4	37.9	2018-08-07T18:18:06.267056672Z	185.373	cassandra-001	21.206
53.77	113	47.78	77.36	37.9	48.94	37.9	2018-08-07T18:18:13.276866011Z	95.151	cassandra-001	11.454
55.59	114	48.55	77.56	37.9	53.77	37.9	2018-08-07T18:18:20.28680714Z	193.463	cassandra-001	22.629
42.13	116	50.88	77.74	37.89	55.59	37.89	2018-08-07T18:18:27.299966387Z	97.729	cassandra-001	11.07
47.02	117	48.78	77.94	37.9	42.13	37.9	2018-08-07T18:18:34.309839407Z	96.542	cassandra-001	7.638
48.27	119	48.31	78.14	37.89	47.02	37.89	2018-08-07T18:18:41.320252165Z	197.807	cassandra-001	18.126
47.05	121	49.29	78.34	37.89	48.27	37.89	2018-08-07T18:18:48.327418909Z	101.092	cassandra-001	10.567
62.03	122	48.97	78.55	37.89	47.05	37.89	2018-08-07T18:18:55.337648421Z	203.578	cassandra-001	20.606
48.13	124	50.35	78.77	37.89	62.03	37.89	2018-08-07T18:19:02.349142109Z	104.545	cassandra-001	12.52
100.49	125	49.1	79.37	37.89	48.13	37.89	2018-08-07T18:19:09.35617767Z	100.589	cassandra-001	8.718
52.77	126	58.83	80.45	37.89	100.49	37.89	2018-08-07T18:19:16.367490721Z	208.779	cassandra-001	18.822
