----------------------------------------------------------------
container_cpu%	sensor_count	host_moving_avg_cpu	memory%	memory_active_anon%	host_cpu	memory_rss%	timestamp	net_receive	name	net_send
12.35	3	nan	92.66	37.6	0	37.6	2018-08-07T16:42:00.077724514Z	234106.652	cassandra-001	25694.098
9.82	9	nan	92.67	37.6	12.35	37.6	2018-08-07T16:42:07.087759921Z	5.689	cassandra-001	0.895
8.19	14	nan	92.69	37.6	9.82	37.6	2018-08-07T16:42:14.094579627Z	9.493	cassandra-001	1.396
10.51	19	nan	92.72	37.6	8.19	37.6	2018-08-07T16:42:21.103278048Z	26.214	cassandra-001	2.882
10.92	23	nan	92.75	37.6	10.51	37.6	2018-08-07T16:42:28.115173859Z	17.506	cassandra-001	2.278
27.9	27	8.63	92.8	37.6	10.92	37.6	2018-08-07T16:42:35.122706624Z	42.787	cassandra-001	5.199
13.68	31	13.28	92.84	37.59	27.9	37.59	2018-08-07T16:42:42.134180827Z	24.53	cassandra-001	2.104
17.51	35	13.5	92.59	37.59	13.68	37.59	2018-08-07T16:42:49.14414762Z	27.664	cassandra-001	3.014
23.84	38	14.79	92.65	37.6	17.51	37.6	2018-08-07T16:42:56.152831487Z	62.644	cassandra-001	7.504
26.66	42	17.39	92.72	37.6	23.84	37.6	2018-08-07T16:43:03.161604353Z	33.071	cassandra-001	3.606
63.88	45	20.08	92.64	37.6	26.66	37.6	2018-08-07T16:43:10.172576457Z	71.979	cassandra-001	6.919
25.89	48	28.91	91.92	37.6	63.88	37.6	2018-08-07T16:43:17.1795563Z	39.584	cassandra-001	4.264
30.23	50	28.58	92.0	37.6	25.89	37.6	2018-08-07T16:43:24.188288017Z	40.532	cassandra-001	4.158
27.14	53	31.33	92.09	37.6	30.23	37.6	2018-08-07T16:43:31.19674746Z	87.397	cassandra-001	9.014
22.24	56	32.94	92.19	37.6	27.14	37.6	2018-08-07T16:43:38.206376976Z	46.003	cassandra-001	5.621
36.76	59	32.67	92.29	37.6	22.24	37.6	2018-08-07T16:43:45.214482645Z	97.041	cassandra-001	11.664
32.39	61	34.36	92.39	37.6	36.76	37.6	2018-08-07T16:43:52.226588137Z	51.839	cassandra-001	6.016
29.25	64	29.11	92.5	37.6	32.39	37.6	2018-08-07T16:43:59.234826397Z	53.435	cassandra-001	6.636
26.41	66	29.67	92.61	37.6	29.25	37.6	2018-08-07T16:44:06.245396511Z	109.501	cassandra-001	13.455
34.87	69	29.03	92.72	37.6	26.41	37.6	2018-08-07T16:44:13.253808623Z	56.072	cassandra-001	5.09
42.58	71	30.32	92.84	37.6	34.87	37.6	2018-08-07T16:44:20.263412699Z	118.439	cassandra-001	13.162
40.14	73	33.71	92.65	37.6	42.58	37.6	2018-08-07T16:44:27.27413433Z	60.363	cassandra-001	5.498
42.72	75	34.27	92.77	37.59	40.14	37.59	2018-08-07T16:44:34.284252644Z	63.365	cassandra-001	7.081
39.7	78	35.99	92.58	37.58	42.72	37.58	2018-08-07T16:44:41.292068652Z	127.567	cassandra-001	13.436
37.53	80	37.74	92.72	37.58	39.7	37.58	2018-08-07T16:44:48.301034838Z	66.341	cassandra-001	6.526
53.65	82	39.59	92.85	37.58	37.53	37.58	2018-08-07T16:44:55.311340146Z	135.336	cassandra-001	14.186
39.89	84	42.72	92.69	37.59	53.65	37.59	2018-08-07T16:45:02.319620351Z	70.91	cassandra-001	7.858
100.54	86	42.27	92.65	37.59	39.89	37.59	2018-08-07T16:45:09.328230298Z	71.062	cassandra-001	6.273
74.55	87	52.34	92.66	37.6	100.54	37.6	2018-08-07T16:45:16.338347192Z	147.668	cassandra-001	15.688
92.22	87	57.64	92.68	37.6	74.55	37.6	2018-08-07T16:45:23.347788401Z	74.494	cassandra-001	9.032
