memory_rss%	host_moving_avg_cpu	name	sensor_count	host_cpu	container_cpu%	net_receive	memory%	timestamp	net_send	memory_active_anon%
30.36	nan	kafka-001	2	0	3.83	169042175.936	87.93	2019-04-23T10:11:28.93673882Z	1501257.958	30.36
30.36	nan	kafka-001	7	3.83	8.35	48.564	87.93	2019-04-23T10:11:35.948549391Z	56.446	30.36
30.36	nan	kafka-001	10	8.35	4.91	62.667	87.93	2019-04-23T10:11:42.959349786Z	59.627	30.36
30.36	nan	kafka-001	14	4.91	13.65	9777.679	88.17	2019-04-23T10:11:49.971676472Z	99.632	30.36
30.36	nan	kafka-001	17	13.65	12.49	12769.168	87.58	2019-04-23T10:11:56.98273747Z	147.716	30.36
30.36	7.21	kafka-001	20	12.49	14.77	11919.783	87.86	2019-04-23T10:12:03.995555548Z	131.179	30.36
30.36	9.67	kafka-001	23	14.77	32.3	16807.803	88.26	2019-04-23T10:12:11.007464803Z	190.908	30.36
30.36	14.41	kafka-001	26	32.3	21.17	24408.266	87.95	2019-04-23T10:12:18.02239825Z	175.838	30.36
30.36	16.55	kafka-001	29	21.17	24.34	23636.964	87.61	2019-04-23T10:12:25.034122796Z	184.271	30.36
30.36	19.79	kafka-001	31	24.34	21.93	24390.16	88.2	2019-04-23T10:12:32.049705727Z	246.94	30.36
30.36	21.17	kafka-001	33	21.93	24.79	25566.258	87.92	2019-04-23T10:12:39.069624232Z	213.167	30.36
30.36	23.22	kafka-001	36	24.79	29.56	35612.546	87.87	2019-04-23T10:12:46.083294025Z	301.913	30.36
30.36	25.68	kafka-001	38	29.56	26.65	34437.909	87.79	2019-04-23T10:12:53.097874124Z	248.829	30.36
30.36	24.74	kafka-001	40	26.65	33.64	35034.788	87.73	2019-04-23T10:13:00.109112483Z	321.823	30.36
30.36	26.82	kafka-001	42	33.64	31.84	34470.411	87.65	2019-04-23T10:13:07.120206532Z	260.808	30.36
30.36	28.07	kafka-001	44	31.84	36.49	39287.639	87.7	2019-04-23T10:13:14.132004984Z	280.79	30.36
30.36	30.49	kafka-001	47	36.49	33.99	44998.628	87.88	2019-04-23T10:13:21.14534855Z	382.611	30.36
30.36	32.03	kafka-001	49	33.99	46.37	44692.383	88.04	2019-04-23T10:13:28.156293621Z	310.155	30.36
30.36	34.83	kafka-001	51	46.37	37.36	45041.733	88.22	2019-04-23T10:13:35.170208776Z	414.799	30.36
30.36	36.61	kafka-001	52	37.36	39.2	45286.605	87.46	2019-04-23T10:13:42.182420826Z	326.401	30.36
