container_cpu%	sensor_count	host_moving_avg_cpu	memory%	memory_active_anon%	host_cpu	memory_rss%	timestamp	net_receive	name	net_send
6.49	3	nan	89.35	37.85	0	37.85	2018-08-07T17:44:07.357917039Z	289923.591	cassandra-001	31618.913
11.12	9	nan	89.36	37.85	6.49	37.85	2018-08-07T17:44:14.367444427Z	3.768	cassandra-001	0.5
9.14	14	nan	89.38	37.85	11.12	37.85	2018-08-07T17:44:21.378823782Z	17.347	cassandra-001	2.673
30.03	19	nan	90.02	37.86	9.14	37.86	2018-08-07T17:44:28.386136517Z	14.103	cassandra-001	1.896
13.36	23	nan	90.06	37.86	30.03	37.86	2018-08-07T17:44:35.393560031Z	37.518	cassandra-001	5.268
14.11	28	11.69	90.1	37.86	13.36	37.86	2018-08-07T17:44:42.403986832Z	22.596	cassandra-001	3.372
15.37	31	14.04	90.15	37.86	14.11	37.86	2018-08-07T17:44:49.41491349Z	25.0	cassandra-001	3.529
18.47	35	15.52	90.21	37.86	15.37	37.86	2018-08-07T17:44:56.425026057Z	55.044	cassandra-001	5.592
17.15	38	16.75	90.27	37.86	18.47	37.86	2018-08-07T17:45:03.434662954Z	31.255	cassandra-001	3.752
51.86	41	18.08	90.34	37.86	17.15	37.86	2018-08-07T17:45:10.443518139Z	67.104	cassandra-001	7.146
29.59	45	21.72	90.35	37.8	51.86	37.8	2018-08-07T17:45:17.452032373Z	36.207	cassandra-001	3.393
29.98	47	24.42	90.43	37.8	29.59	37.8	2018-08-07T17:45:24.461401741Z	39.1	cassandra-001	4.964
20.4	50	27.07	90.51	37.79	29.98	37.79	2018-08-07T17:45:31.46899639Z	81.842	cassandra-001	9.108
29.71	53	27.91	90.6	37.79	20.4	37.79	2018-08-07T17:45:38.478810815Z	43.322	cassandra-001	5.002
41.02	56	29.78	90.69	37.79	29.71	37.79	2018-08-07T17:45:45.493096879Z	92.266	cassandra-001	10.834
42.92	58	33.76	90.78	37.78	41.02	37.78	2018-08-07T17:45:52.505988338Z	48.423	cassandra-001	6.069
32.61	61	32.27	90.87	37.77	42.92	37.77	2018-08-07T17:45:59.516742283Z	49.375	cassandra-001	4.472
