memory_rss%	host_moving_avg_cpu	container_cpu%	net_send	net_receive	memory_active_anon%	sensor_count	timestamp	host_cpu	name	memory%
38.08	nan	3.22	414794.015	1477174.566	38.08	2	2018-08-17T07:29:50.940717864Z	0	cassandra-001	75.72
38.08	nan	1.2	0.724	5.416	38.08	7	2018-08-17T07:29:57.949427421Z	3.22	cassandra-001	75.72
38.08	nan	1.19	0.736	8.924	38.08	11	2018-08-17T07:30:04.956427005Z	1.2	cassandra-001	75.72
38.08	nan	1.06	3.975	30.884	38.08	16	2018-08-17T07:30:11.963768179Z	1.19	cassandra-001	75.72
38.08	nan	1.07	2.712	21.498	38.08	19	2018-08-17T07:30:18.971535616Z	1.06	cassandra-001	75.72
38.08	1.29	4.1	6.53	51.922	38.08	23	2018-08-17T07:30:25.978258586Z	1.07	cassandra-001	75.72
38.08	1.97	1.23	3.884	30.978	38.08	26	2018-08-17T07:30:32.986549459Z	4.1	cassandra-001	75.72
38.08	1.64	1.15	4.239	33.62	38.08	29	2018-08-17T07:30:39.993318038Z	1.23	cassandra-001	75.72
38.08	1.63	1.05	7.17	72.818	38.08	32	2018-08-17T07:30:47.000059404Z	1.15	cassandra-001	75.72
38.08	1.61	1.24	4.224	40.957	38.08	35	2018-08-17T07:30:54.009230518Z	1.05	cassandra-001	75.72
38.08	1.64	6.94	9.33	88.168	38.08	37	2018-08-17T07:31:01.01803749Z	1.24	cassandra-001	75.72
38.08	2.62	1.95	5.541	48.807	38.08	40	2018-08-17T07:31:08.025790077Z	6.94	cassandra-001	75.72
38.08	2.26	3.03	6.016	50.888	38.08	42	2018-08-17T07:31:15.032177947Z	1.95	cassandra-001	75.72
38.08	2.56	1.06	9.786	106.509	38.08	44	2018-08-17T07:31:22.04336916Z	3.03	cassandra-001	75.72
38.08	2.54	1.12	4.43	55.662	38.08	47	2018-08-17T07:31:29.049940598Z	1.06	cassandra-001	75.72
38.08	2.56	7.11	10.02	116.689	38.08	49	2018-08-17T07:31:36.060954513Z	1.12	cassandra-001	75.72
38.08	3.53	1.1	4.507	60.359	38.08	51	2018-08-17T07:31:43.068791021Z	7.11	cassandra-001	75.72
38.08	2.56	7.0	12.696	130.863	38.08	53	2018-08-17T07:31:50.077467771Z	1.1	cassandra-001	75.73
38.08	3.4	1.1	7.7	69.619	38.08	55	2018-08-17T07:31:57.087210592Z	7.0	cassandra-001	75.72
