memory_rss%	host_moving_avg_cpu	container_cpu%	net_send	net_receive	memory_active_anon%	sensor_count	timestamp	host_cpu	name	memory%
38.12	nan	1.17	385784.625	1187428.484	38.12	3	2018-08-17T05:56:06.568038726Z	0	cassandra-001	75.21
38.12	nan	1.14	0.0	0.0	38.12	7	2018-08-17T05:56:13.58273521Z	1.17	cassandra-001	75.21
38.12	nan	1.14	0.0	0.0	38.12	11	2018-08-17T05:56:20.590081405Z	1.14	cassandra-001	75.21
38.12	nan	1.21	59.294	2.717	38.12	15	2018-08-17T05:56:27.597812353Z	1.14	cassandra-001	75.21
38.12	nan	1.05	59.895	3.097	38.12	18	2018-08-17T05:56:34.604557182Z	1.21	cassandra-001	75.21
38.12	0.95	1.18	12.223	108.461	38.12	21	2018-08-17T05:56:41.613474382Z	1.05	cassandra-001	75.21
38.12	1.15	1.1	3.172	27.808	38.12	24	2018-08-17T05:56:48.621116311Z	1.18	cassandra-001	75.21
38.12	1.14	8.22	6.962	64.576	38.12	27	2018-08-17T05:56:55.626936275Z	1.1	cassandra-001	75.21
38.12	2.32	1.31	3.658	35.663	38.12	30	2018-08-17T05:57:02.633553119Z	8.22	cassandra-001	75.21
38.11	2.34	1.19	5.029	39.223	38.11	33	2018-08-17T05:57:09.643906785Z	1.31	cassandra-001	75.2
38.11	2.34	1.16	9.754	85.199	38.11	35	2018-08-17T05:57:16.652881174Z	1.19	cassandra-001	75.2
38.11	2.36	1.17	5.198	46.761	38.11	38	2018-08-17T05:57:23.662396259Z	1.16	cassandra-001	75.2
38.11	2.36	6.73	11.558	96.14	38.11	40	2018-08-17T05:57:30.673646948Z	1.17	cassandra-001	75.19
38.11	3.3	1.12	6.081	53.508	38.11	42	2018-08-17T05:57:37.680524858Z	6.73	cassandra-001	75.2
38.11	2.11	2.82	5.5	53.543	38.11	45	2018-08-17T05:57:44.687289392Z	1.12	cassandra-001	75.2
38.11	2.36	1.04	15.064	117.116	38.11	47	2018-08-17T05:57:51.696037562Z	2.82	cassandra-001	75.2
38.11	2.34	1.03	7.716	61.686	38.11	49	2018-08-17T05:57:58.702410952Z	1.04	cassandra-001	75.2
38.11	2.32	8.9	14.545	120.709	38.11	51	2018-08-17T05:58:05.709006938Z	1.03	cassandra-001	75.2
38.11	3.61	1.13	7.252	66.263	38.11	53	2018-08-17T05:58:12.719712053Z	8.9	cassandra-001	75.2
38.11	2.67	1.18	7.542	68.807	38.11	55	2018-08-17T05:58:19.72591372Z	1.13	cassandra-001	75.2
