memory_rss%	host_moving_avg_cpu	container_cpu%	net_send	net_receive	memory_active_anon%	sensor_count	timestamp	host_cpu	name	memory%
15.93	nan	2.94	12532063.012	11825066.638	15.93	0	2018-08-17T10:31:03.913819916Z	0	kafka-001	60.62
15.93	nan	2.72	23.982	16.14	15.93	0	2018-08-17T10:31:10.925898861Z	2.94	kafka-001	60.62
15.93	nan	2.16	25.48	17.131	15.93	0	2018-08-17T10:31:17.937578302Z	2.72	kafka-001	60.62
15.93	nan	2.44	23.826	15.773	15.93	0	2018-08-17T10:31:24.952580131Z	2.16	kafka-001	60.62
15.93	nan	2.06	24.068	16.614	15.93	0	2018-08-17T10:31:31.967006257Z	2.44	kafka-001	60.62
15.93	2.05	3.34	25.546	17.329	15.93	0	2018-08-17T10:31:38.98230019Z	2.06	kafka-001	60.62
15.93	2.61	2.58	24.574	17.706	15.93	0	2018-08-17T10:31:45.996891428Z	3.34	kafka-001	60.62
15.93	2.55	2.37	25.976	17.261	15.93	0	2018-08-17T10:31:53.010876894Z	2.58	kafka-001	60.62
15.93	2.49	2.34	24.006	16.098	15.93	0	2018-08-17T10:32:00.023644782Z	2.37	kafka-001	60.62
15.93	2.52	2.17	25.566	18.199	15.93	0	2018-08-17T10:32:07.034183689Z	2.34	kafka-001	60.62
15.93	2.48	2.75	23.904	17.495	15.93	0	2018-08-17T10:32:14.044889158Z	2.17	kafka-001	60.62
15.93	2.59	2.41	25.871	16.982	15.93	0	2018-08-17T10:32:21.056360184Z	2.75	kafka-001	60.62
