memory_rss%	host_moving_avg_cpu	container_cpu%	net_send	net_receive	memory_active_anon%	sensor_count	timestamp	host_cpu	name	memory%
38.12	nan	1.13	471608.505	2054558.249	38.12	0	2018-08-17T10:31:03.427180793Z	0	cassandra-001	76.51
38.12	nan	1.05	0.0	0.0	38.12	0	2018-08-17T10:31:10.435797078Z	1.13	cassandra-001	76.51
38.12	nan	1.23	0.342	0.282	38.12	0	2018-08-17T10:31:17.443072627Z	1.05	cassandra-001	76.51
38.12	nan	1.11	0.0	0.0	38.12	0	2018-08-17T10:31:24.451505191Z	1.23	cassandra-001	76.51
38.12	nan	1.27	0.0	0.0	38.12	0	2018-08-17T10:31:31.462065067Z	1.11	cassandra-001	76.51
38.12	0.96	1.25	0.0	0.0	38.12	0	2018-08-17T10:31:38.469957318Z	1.27	cassandra-001	76.51
38.12	1.17	4.46	0.342	0.282	38.12	0	2018-08-17T10:31:45.478639996Z	1.25	cassandra-001	76.51
38.12	1.73	1.07	0.0	0.0	38.12	0	2018-08-17T10:31:52.488630529Z	4.46	cassandra-001	76.51
38.12	1.73	1.12	0.0	0.0	38.12	0	2018-08-17T10:31:59.497435894Z	1.07	cassandra-001	76.51
38.12	1.71	0.98	0.0	0.0	38.12	0	2018-08-17T10:32:06.50400709Z	1.12	cassandra-001	76.51
38.12	1.69	1.03	0.0	0.0	38.12	0	2018-08-17T10:32:13.510469724Z	0.98	cassandra-001	76.51
38.12	1.65	1.04	0.342	0.282	38.12	0	2018-08-17T10:32:20.517455302Z	1.03	cassandra-001	76.51
