memory_rss%	host_moving_avg_cpu	container_cpu%	net_send	net_receive	memory_active_anon%	sensor_count	timestamp	host_cpu	name	memory%
15.93	nan	2.89	11851654.935	11126582.772	15.93	2	2018-08-17T09:02:54.745516534Z	0	kafka-001	55.82
15.93	nan	3.9	44.554	41.028	15.93	7	2018-08-17T09:03:01.756864647Z	2.89	kafka-001	55.82
15.93	nan	5.72	52.641	57.041	15.93	11	2018-08-17T09:03:08.769182781Z	3.9	kafka-001	55.82
15.93	nan	6.22	91.551	78.454	15.93	15	2018-08-17T09:03:15.780888114Z	5.72	kafka-001	55.82
15.93	nan	5.78	79.954	91.165	15.93	18	2018-08-17T09:03:22.792521Z	6.22	kafka-001	55.82
15.93	4.08	6.94	90.064	106.713	15.93	22	2018-08-17T09:03:29.804169154Z	5.78	kafka-001	55.83
15.93	5.24	7.88	139.68	118.57	15.93	25	2018-08-17T09:03:36.815635959Z	6.94	kafka-001	55.83
15.93	6.07	9.23	116.161	133.885	15.93	28	2018-08-17T09:03:43.828773001Z	7.88	kafka-001	55.83
15.93	6.96	10.11	174.37	147.354	15.93	31	2018-08-17T09:03:50.839922476Z	9.23	kafka-001	55.83
15.93	7.69	9.69	131.588	155.841	15.93	33	2018-08-17T09:03:57.852750182Z	10.11	kafka-001	55.83
15.93	8.27	9.54	138.505	167.891	15.93	36	2018-08-17T09:04:04.865111028Z	9.69	kafka-001	55.83
15.93	8.9	10.8	213.417	177.51	15.93	38	2018-08-17T09:04:11.877033153Z	9.54	kafka-001	55.83
15.93	9.54	11.99	157.68	187.355	15.93	41	2018-08-17T09:04:18.888809481Z	10.8	kafka-001	55.83
15.93	10.23	12.06	239.636	198.154	15.93	43	2018-08-17T09:04:25.901390606Z	11.99	kafka-001	55.83
15.93	10.7	12.82	177.368	208.633	15.93	46	2018-08-17T09:04:32.913655578Z	12.06	kafka-001	55.83
15.93	11.15	12.21	181.644	212.222	15.93	48	2018-08-17T09:04:39.924729728Z	12.82	kafka-001	55.84
15.93	11.57	12.53	275.462	217.641	15.93	50	2018-08-17T09:04:46.937057706Z	12.21	kafka-001	55.84
15.93	12.07	15.17	188.526	229.457	15.93	52	2018-08-17T09:04:53.948284947Z	12.53	kafka-001	55.84
15.93	12.8	16.2	300.684	243.61	15.93	54	2018-08-17T09:05:00.958862705Z	15.17	kafka-001	55.84
15.93	13.5	15.4	211.722	248.949	15.93	56	2018-08-17T09:05:07.971100951Z	16.2	kafka-001	55.84
15.93	14.06	12.92	216.384	254.713	15.93	57	2018-08-17T09:05:14.983438233Z	15.4	kafka-001	55.84
15.93	14.07	14.89	322.971	254.092	15.93	59	2018-08-17T09:05:21.994197645Z	12.92	kafka-001	55.85
15.93	14.52	14.34	223.186	268.887	15.93	61	2018-08-17T09:05:29.007632729Z	14.89	kafka-001	55.85
15.93	14.82	16.72	339.75	275.726	15.93	63	2018-08-17T09:05:36.018821465Z	14.34	kafka-001	55.85
15.93	15.08	16.33	242.626	286.967	15.93	65	2018-08-17T09:05:43.031125683Z	16.72	kafka-001	55.85
15.93	15.1	18.64	368.098	299.6	15.93	67	2018-08-17T09:05:50.04277056Z	16.33	kafka-001	55.85
15.93	15.64	16.48	251.951	300.815	15.93	68	2018-08-17T09:05:57.055544346Z	18.64	kafka-001	55.85
15.93	16.23	19.33	256.276	312.521	15.93	70	2018-08-17T09:06:04.067826714Z	16.48	kafka-001	55.86
15.93	16.97	18.4	394.396	321.608	15.93	72	2018-08-17T09:06:11.079631027Z	19.33	kafka-001	55.86
15.93	17.65	19.88	273.547	325.977	15.93	74	2018-08-17T09:06:18.090372492Z	18.4	kafka-001	55.86
15.93	18.18	20.48	396.808	319.05	15.93	75	2018-08-17T09:06:25.100993257Z	19.88	kafka-001	55.86
15.93	18.87	17.58	285.232	339.636	15.93	77	2018-08-17T09:06:32.114128005Z	20.48	kafka-001	55.86
15.93	18.69	20.36	286.512	344.57	15.93	79	2018-08-17T09:06:39.126170181Z	17.58	kafka-001	55.87
15.93	19.34	20.44	438.469	357.909	15.93	80	2018-08-17T09:06:46.136952671Z	20.36	kafka-001	55.87
15.93	19.52	17.98	291.79	355.728	15.93	82	2018-08-17T09:06:53.148357178Z	20.44	kafka-001	55.87
15.93	19.45	22.07	451.898	368.649	15.93	83	2018-08-17T09:07:00.15925831Z	17.98	kafka-001	55.87
15.93	19.82	21.42	315.002	372.208	15.93	85	2018-08-17T09:07:07.169690778Z	22.07	kafka-001	55.88
15.93	19.97	22.93	303.338	372.584	15.93	86	2018-08-17T09:07:14.190015728Z	21.42	kafka-001	55.88
15.93	20.87	22.32	458.719	367.1	15.93	88	2018-08-17T09:07:21.200884932Z	22.93	kafka-001	55.88
15.93	21.19	22.67	316.055	381.402	15.93	89	2018-08-17T09:07:28.212443503Z	22.32	kafka-001	55.88
15.93	21.56	21.37	480.282	390.073	15.93	91	2018-08-17T09:07:35.222901299Z	22.67	kafka-001	55.89
15.93	22.13	23.96	329.552	395.847	15.93	92	2018-08-17T09:07:42.23490784Z	21.37	kafka-001	55.89
15.93	22.45	23.01	333.094	405.971	15.93	93	2018-08-17T09:07:49.247548758Z	23.96	kafka-001	55.89
15.93	22.71	23.34	501.647	406.982	15.93	95	2018-08-17T09:07:56.259331186Z	23.01	kafka-001	55.89
