memory_rss%	host_moving_avg_cpu	container_cpu%	net_send	net_receive	memory_active_anon%	sensor_count	timestamp	host_cpu	name	memory%
38.04	nan	1.13	442926.573	1765218.668	38.04	0	2018-08-17T08:57:37.059504636Z	0	cassandra-001	75.82
38.04	nan	1.23	0.171	0.141	38.04	0	2018-08-17T08:57:44.069071492Z	1.13	cassandra-001	75.82
38.04	nan	2.08	0.171	0.141	38.04	0	2018-08-17T08:57:51.077576678Z	1.23	cassandra-001	75.82
38.04	nan	1.21	0.0	0.0	38.04	0	2018-08-17T08:57:58.087424607Z	2.08	cassandra-001	75.82
38.04	nan	1.21	0.0	0.0	38.04	0	2018-08-17T08:58:05.094208145Z	1.21	cassandra-001	75.82
38.04	1.14	1.36	0.171	0.141	38.04	0	2018-08-17T08:58:12.10178474Z	1.21	cassandra-001	75.82
38.04	1.37	1.2	0.0	0.0	38.04	0	2018-08-17T08:58:19.108593545Z	1.36	cassandra-001	75.82
38.04	1.38	1.16	0.171	0.141	38.04	0	2018-08-17T08:58:26.116898952Z	1.2	cassandra-001	75.82
38.04	1.37	1.26	0.0	0.0	38.04	0	2018-08-17T08:58:33.123267771Z	1.16	cassandra-001	75.82
38.04	1.23	1.28	0.0	0.0	38.04	0	2018-08-17T08:58:40.133503544Z	1.26	cassandra-001	75.82
38.04	1.24	1.16	0.171	0.141	38.04	0	2018-08-17T08:58:47.139701344Z	1.28	cassandra-001	75.82
38.04	1.24	1.14	0.171	0.141	38.04	0	2018-08-17T08:58:54.148662149Z	1.16	cassandra-001	75.82
