memory_rss%	host_moving_avg_cpu	container_cpu%	net_send	net_receive	memory_active_anon%	sensor_count	timestamp	host_cpu	name	memory%
15.93	nan	2.89	13214839.143	12525538.774	15.93	3	2018-08-17T12:09:37.49592312Z	0	kafka-001	65.44
15.93	nan	3.93	38.616	42.329	15.93	7	2018-08-17T12:09:44.50902402Z	2.89	kafka-001	65.44
15.93	nan	5.02	70.566	63.464	15.93	12	2018-08-17T12:09:51.520240341Z	3.93	kafka-001	65.44
15.93	nan	6.67	70.059	81.031	15.93	16	2018-08-17T12:09:58.531835471Z	5.02	kafka-001	65.44
15.93	nan	5.64	115.762	98.393	15.93	19	2018-08-17T12:10:05.542993135Z	6.67	kafka-001	65.44
15.93	4.02	7.38	94.974	108.212	15.93	23	2018-08-17T12:10:12.557750165Z	5.64	kafka-001	65.44
15.93	5.26	7.9	103.392	118.505	15.93	26	2018-08-17T12:10:19.569365939Z	7.38	kafka-001	65.44
15.93	6.09	8.42	165.788	139.204	15.93	29	2018-08-17T12:10:26.580339039Z	7.9	kafka-001	65.44
15.93	6.84	10.53	125.228	146.039	15.93	32	2018-08-17T12:10:33.595303628Z	8.42	kafka-001	65.44
15.93	7.76	9.67	190.748	158.634	15.93	35	2018-08-17T12:10:40.608759225Z	10.53	kafka-001	65.44
15.93	8.26	9.74	146.335	170.669	15.93	38	2018-08-17T12:10:47.627376123Z	9.67	kafka-001	65.44
15.93	8.94	9.1	152.624	176.659	15.93	40	2018-08-17T12:10:54.639888071Z	9.74	kafka-001	65.45
15.93	9.23	11.06	229.38	173.376	15.93	42	2018-08-17T12:11:01.651573656Z	9.1	kafka-001	65.45
15.93	9.75	13.15	169.522	194.541	15.93	44	2018-08-17T12:11:08.664317761Z	11.06	kafka-001	65.45
15.93	10.54	12.46	249.112	205.572	15.93	47	2018-08-17T12:11:15.676207387Z	13.15	kafka-001	65.45
15.93	10.86	12.71	178.696	213.123	15.93	49	2018-08-17T12:11:22.688281722Z	12.46	kafka-001	65.45
15.93	11.37	12.75	191.681	222.279	15.93	51	2018-08-17T12:11:29.701585039Z	12.71	kafka-001	65.45
15.93	11.87	14.27	291.539	225.598	15.93	53	2018-08-17T12:11:36.713184772Z	12.75	kafka-001	65.45
15.93	12.73	15.16	201.896	234.419	15.93	55	2018-08-17T12:11:43.724372269Z	14.27	kafka-001	65.45
15.93	13.42	16.36	301.386	244.008	15.93	57	2018-08-17T12:11:50.735807641Z	15.16	kafka-001	65.46
15.93	13.95	15.91	217.946	256.639	15.93	59	2018-08-17T12:11:57.748539098Z	16.36	kafka-001	65.46
15.93	14.53	16.72	218.944	265.343	15.93	61	2018-08-17T12:12:04.760642695Z	15.91	kafka-001	65.46
15.93	15.19	27.9	335.334	278.094	15.93	63	2018-08-17T12:12:11.772414182Z	16.72	kafka-001	65.46
15.93	17.72	16.11	235.278	283.163	15.93	64	2018-08-17T12:12:18.78434955Z	27.9	kafka-001	65.46
15.93	18.03	18.49	357.261	289.896	15.93	66	2018-08-17T12:12:25.797766166Z	16.11	kafka-001	65.47
15.93	18.58	16.31	242.797	282.165	15.93	68	2018-08-17T12:12:32.80999577Z	18.49	kafka-001	65.47
15.93	18.57	17.88	252.714	303.641	15.93	69	2018-08-17T12:12:39.822826611Z	16.31	kafka-001	65.47
15.93	18.9	18.13	380.398	315.184	15.93	71	2018-08-17T12:12:46.834950641Z	17.88	kafka-001	65.47
15.93	19.14	19.69	262.169	316.845	15.93	73	2018-08-17T12:12:53.849046796Z	18.13	kafka-001	65.48
15.93	17.77	18.91	406.644	331.587	15.93	74	2018-08-17T12:13:00.859500261Z	19.69	kafka-001	65.48
15.93	18.23	18.14	272.356	322.529	15.93	76	2018-08-17T12:13:07.869844605Z	18.91	kafka-001	65.48
15.93	18.18	18.27	278.986	320.536	15.93	78	2018-08-17T12:13:14.881905824Z	18.14	kafka-001	65.48
15.93	18.5	19.27	415.179	343.634	15.93	79	2018-08-17T12:13:21.89361644Z	18.27	kafka-001	65.48
15.93	18.74	20.84	295.519	352.809	15.93	81	2018-08-17T12:13:28.906830913Z	19.27	kafka-001	65.49
15.93	19.19	21.98	448.268	361.082	15.93	82	2018-08-17T12:13:35.917831495Z	20.84	kafka-001	65.49
15.93	19.57	21.07	306.636	365.185	15.93	84	2018-08-17T12:13:42.93227071Z	21.98	kafka-001	65.49
15.93	19.93	21.42	309.432	368.391	15.93	85	2018-08-17T12:13:49.944156631Z	21.07	kafka-001	65.49
15.93	20.48	21.78	470.042	379.146	15.93	87	2018-08-17T12:13:56.958747692Z	21.42	kafka-001	65.5
15.93	21.06	23.0	320.4	379.457	15.93	88	2018-08-17T12:14:03.971032409Z	21.78	kafka-001	65.5
15.93	21.68	23.05	479.498	382.562	15.93	89	2018-08-17T12:14:10.982515663Z	23.0	kafka-001	65.5
15.93	22.05	23.33	323.086	388.079	15.93	91	2018-08-17T12:14:17.99355172Z	23.05	kafka-001	65.5
15.93	22.28	23.15	322.79	383.802	15.93	92	2018-08-17T12:14:25.008442289Z	23.33	kafka-001	65.51
15.93	22.62	21.95	485.552	393.854	15.93	94	2018-08-17T12:14:32.02297861Z	23.15	kafka-001	65.51
15.93	22.71	24.84	328.045	403.748	15.93	95	2018-08-17T12:14:39.035538271Z	21.95	kafka-001	65.51
15.93	23.22	23.77	514.566	419.12	15.93	97	2018-08-17T12:14:46.048430632Z	24.84	kafka-001	65.51
15.93	23.35	25.38	347.512	419.981	15.93	98	2018-08-17T12:14:53.060637174Z	23.77	kafka-001	65.52
15.93	23.74	24.66	524.51	424.984	15.93	99	2018-08-17T12:15:00.073897625Z	25.38	kafka-001	65.52
