memory_rss%	host_moving_avg_cpu	container_cpu%	net_send	net_receive	memory_active_anon%	sensor_count	timestamp	host_cpu	name	memory%
38.08	nan	1.18	414790.003	1477170.439	38.08	0	2018-08-17T07:24:33.784462879Z	0	cassandra-001	75.71
38.08	nan	1.19	0.171	0.141	38.08	0	2018-08-17T07:24:40.794123361Z	1.18	cassandra-001	75.71
38.08	nan	1.03	0.171	0.141	38.08	0	2018-08-17T07:24:47.800914393Z	1.19	cassandra-001	75.71
38.08	nan	1.1	0.0	0.0	38.08	0	2018-08-17T07:24:54.809222298Z	1.03	cassandra-001	75.71
38.08	nan	1.13	0.0	0.0	38.08	0	2018-08-17T07:25:01.816232898Z	1.1	cassandra-001	75.71
38.08	0.94	1.07	0.171	0.141	38.08	0	2018-08-17T07:25:08.822699492Z	1.13	cassandra-001	75.72
38.08	1.12	2.01	0.171	0.141	38.08	0	2018-08-17T07:25:15.832499719Z	1.07	cassandra-001	75.72
38.08	1.26	1.11	0.0	0.0	38.08	0	2018-08-17T07:25:22.840150475Z	2.01	cassandra-001	75.72
38.08	1.24	1.12	0.0	0.0	38.08	0	2018-08-17T07:25:29.84637116Z	1.11	cassandra-001	75.72
38.08	1.26	1.29	0.0	0.0	38.08	0	2018-08-17T07:25:36.853179609Z	1.12	cassandra-001	75.72
38.08	1.29	1.19	0.171	0.141	38.08	0	2018-08-17T07:25:43.863152444Z	1.29	cassandra-001	75.72
38.08	1.3	1.34	0.171	0.141	38.08	0	2018-08-17T07:25:50.870484827Z	1.19	cassandra-001	75.72
