memory_rss%	host_moving_avg_cpu	container_cpu%	net_send	net_receive	memory_active_anon%	sensor_count	timestamp	host_cpu	name	memory%
38.12	nan	2.47	471612.583	2054562.508	38.12	2	2018-08-17T10:36:20.60029095Z	0	cassandra-001	76.52
38.12	nan	1.16	0.922	5.746	38.12	7	2018-08-17T10:36:27.617897524Z	2.47	cassandra-001	76.52
38.12	nan	1.12	1.686	10.183	38.12	11	2018-08-17T10:36:34.627138938Z	1.16	cassandra-001	76.52
38.12	nan	1.1	4.662	32.102	38.12	15	2018-08-17T10:36:41.635379166Z	1.12	cassandra-001	76.52
38.12	nan	1.2	2.817	21.903	38.12	19	2018-08-17T10:36:48.64687366Z	1.1	cassandra-001	76.52
38.12	1.18	5.64	7.098	52.76	38.12	22	2018-08-17T10:36:55.654506554Z	1.2	cassandra-001	76.52
38.12	2.11	1.2	3.132	29.385	38.12	25	2018-08-17T10:37:02.663734155Z	5.64	cassandra-001	76.52
38.12	1.9	1.32	3.408	32.214	38.12	29	2018-08-17T10:37:09.6722175Z	1.2	cassandra-001	76.52
38.12	1.93	1.08	9.189	74.691	38.12	31	2018-08-17T10:37:16.682513297Z	1.32	cassandra-001	76.52
38.12	1.92	1.29	5.214	41.745	38.12	34	2018-08-17T10:37:23.692096686Z	1.08	cassandra-001	76.52
38.12	1.95	5.49	10.32	90.452	38.12	37	2018-08-17T10:37:30.701515792Z	1.29	cassandra-001	76.52
38.12	2.67	1.27	6.426	49.734	38.12	39	2018-08-17T10:37:37.709278991Z	5.49	cassandra-001	76.52
38.12	1.94	1.09	3.706	48.827	38.12	42	2018-08-17T10:37:44.716202633Z	1.27	cassandra-001	76.52
38.12	1.92	1.16	9.733	106.325	38.12	44	2018-08-17T10:37:51.722265449Z	1.09	cassandra-001	76.52
38.12	1.9	1.08	7.004	56.899	38.12	46	2018-08-17T10:37:58.731217585Z	1.16	cassandra-001	76.52
38.12	1.9	10.21	14.112	123.057	38.12	49	2018-08-17T10:38:05.741128702Z	1.08	cassandra-001	76.52
38.12	3.38	1.17	7.306	58.296	38.12	51	2018-08-17T10:38:12.749660469Z	10.21	cassandra-001	76.52
38.12	2.66	1.19	6.473	65.02	38.12	53	2018-08-17T10:38:19.757468474Z	1.17	cassandra-001	76.52
38.12	2.65	1.2	15.678	136.938	38.12	55	2018-08-17T10:38:26.764637375Z	1.19	cassandra-001	76.52
38.12	2.67	1.13	7.726	70.91	38.12	57	2018-08-17T10:38:33.771133355Z	1.2	cassandra-001	76.52
38.12	2.66	8.83	15.582	146.313	38.12	59	2018-08-17T10:38:40.782874785Z	1.13	cassandra-001	76.52
38.12	3.95	1.16	8.423	76.443	38.12	61	2018-08-17T10:38:47.79089816Z	8.83	cassandra-001	76.52
38.12	2.45	1.15	7.882	76.589	38.12	63	2018-08-17T10:38:54.800145304Z	1.16	cassandra-001	76.52
38.12	2.44	0.9	18.706	161.14	38.12	65	2018-08-17T10:39:01.808659781Z	1.15	cassandra-001	76.53
38.12	2.39	1.11	8.052	76.64	38.12	67	2018-08-17T10:39:08.815281849Z	0.9	cassandra-001	76.53
38.12	2.38	11.52	17.963	170.567	38.12	68	2018-08-17T10:39:15.826315058Z	1.11	cassandra-001	76.53
38.12	4.11	0.97	6.968	86.043	38.12	70	2018-08-17T10:39:22.835919604Z	11.52	cassandra-001	76.53
38.12	2.8	1.11	6.4	86.274	38.12	72	2018-08-17T10:39:29.843329809Z	0.97	cassandra-001	76.53
38.12	2.79	1.09	17.432	181.153	38.12	73	2018-08-17T10:39:36.849689003Z	1.11	cassandra-001	76.53
38.12	2.78	1.21	11.652	94.86	38.12	75	2018-08-17T10:39:43.858811652Z	1.09	cassandra-001	76.53
38.12	2.83	9.92	18.867	189.217	38.12	77	2018-08-17T10:39:50.864912403Z	1.21	cassandra-001	76.53
38.12	4.3	1.23	9.024	94.252	38.12	78	2018-08-17T10:39:57.872820726Z	9.92	cassandra-001	76.53
38.12	2.59	1.2	9.644	98.263	38.12	80	2018-08-17T10:40:04.879862956Z	1.23	cassandra-001	76.53
38.12	2.63	1.05	20.686	197.225	38.12	81	2018-08-17T10:40:11.887407737Z	1.2	cassandra-001	76.53
38.12	2.62	1.06	10.909	104.078	38.12	83	2018-08-17T10:40:18.895670677Z	1.05	cassandra-001	76.53
38.12	2.61	9.58	22.346	211.311	38.12	84	2018-08-17T10:40:25.904471253Z	1.06	cassandra-001	76.54
38.12	4.01	1.15	9.562	106.646	38.12	86	2018-08-17T10:40:32.911112503Z	9.58	cassandra-001	76.54
38.12	2.54	1.22	11.7	109.653	38.12	87	2018-08-17T10:40:39.918638037Z	1.15	cassandra-001	76.53
38.12	2.54	1.22	23.649	220.647	38.12	89	2018-08-17T10:40:46.926926911Z	1.22	cassandra-001	76.54
38.12	2.55	1.05	13.296	111.619	38.12	90	2018-08-17T10:40:53.933790774Z	1.22	cassandra-001	76.54
38.12	2.55	10.81	21.746	223.456	38.12	92	2018-08-17T10:41:00.94136664Z	1.05	cassandra-001	76.54
38.12	4.17	1.1	11.658	113.863	38.12	93	2018-08-17T10:41:07.948489594Z	10.81	cassandra-001	76.54
38.12	2.76	1.09	10.628	117.206	38.12	95	2018-08-17T10:41:14.955214973Z	1.1	cassandra-001	76.54
38.12	2.75	1.01	26.851	239.269	38.12	96	2018-08-17T10:41:21.963258317Z	1.09	cassandra-001	76.54
38.12	2.71	1.17	14.93	123.937	38.12	97	2018-08-17T10:41:28.971305303Z	1.01	cassandra-001	76.54
38.12	2.71	10.87	28.486	247.025	38.12	98	2018-08-17T10:41:35.978684305Z	1.17	cassandra-001	76.54
38.12	4.34	1.1	11.84	124.958	38.12	100	2018-08-17T10:41:42.985752195Z	10.87	cassandra-001	76.54
38.12	2.72	1.0	16.459	129.194	38.12	101	2018-08-17T10:41:49.994704986Z	1.1	cassandra-001	76.54
38.12	2.71	1.14	29.394	253.765	38.12	102	2018-08-17T10:41:57.001017614Z	1.0	cassandra-001	76.54
38.12	2.72	1.05	14.756	130.268	38.12	103	2018-08-17T10:42:04.007250993Z	1.14	cassandra-001	76.54
38.12	2.72	11.53	30.118	260.284	38.12	105	2018-08-17T10:42:11.014151731Z	1.05	cassandra-001	76.55
38.12	4.45	1.13	15.203	133.575	38.12	106	2018-08-17T10:42:18.023189998Z	11.53	cassandra-001	76.54
38.12	2.82	1.17	15.322	134.031	38.12	107	2018-08-17T10:42:25.033251822Z	1.13	cassandra-001	76.55
38.12	2.84	1.16	29.138	271.981	38.12	108	2018-08-17T10:42:32.041143938Z	1.17	cassandra-001	76.55
38.12	2.86	1.18	15.506	138.28	38.12	110	2018-08-17T10:42:39.047932999Z	1.16	cassandra-001	76.54
38.12	2.87	10.74	34.231	281.66	38.12	111	2018-08-17T10:42:46.054764307Z	1.18	cassandra-001	76.55
38.12	4.48	1.12	14.858	140.98	38.12	112	2018-08-17T10:42:53.061495186Z	10.74	cassandra-001	76.55
38.12	2.75	1.6	13.35	152.64	38.12	113	2018-08-17T10:43:00.068511056Z	1.12	cassandra-001	76.55
38.12	2.83	1.25	24.134	268.097	38.12	114	2018-08-17T10:43:07.075522756Z	1.6	cassandra-001	76.55
38.12	2.84	1.18	12.494	142.045	38.12	115	2018-08-17T10:43:14.084804897Z	1.25	cassandra-001	76.55
38.12	2.84	7.66	22.927	286.253	38.12	116	2018-08-17T10:43:21.090908639Z	1.18	cassandra-001	76.56
