memory_rss%	host_moving_avg_cpu	container_cpu%	net_send	net_receive	memory_active_anon%	sensor_count	timestamp	host_cpu	name	memory%
15.93	nan	2.43	11171158.382	10430053.553	15.93	0	2018-08-17T07:24:33.063327244Z	0	kafka-001	51.03
15.93	nan	2.6	23.94	16.23	15.93	0	2018-08-17T07:24:40.074696401Z	2.43	kafka-001	51.03
15.93	nan	2.3	25.3	16.469	15.93	0	2018-08-17T07:24:47.087697806Z	2.6	kafka-001	51.03
15.93	nan	2.82	24.006	17.029	15.93	0	2018-08-17T07:24:54.101243289Z	2.3	kafka-001	51.03
15.93	nan	2.48	25.672	17.622	15.93	0	2018-08-17T07:25:01.112657254Z	2.82	kafka-001	51.03
15.93	2.1	2.67	23.696	16.121	15.93	0	2018-08-17T07:25:08.126283922Z	2.48	kafka-001	51.03
15.93	2.55	2.31	24.64	17.706	15.93	0	2018-08-17T07:25:15.13792209Z	2.67	kafka-001	51.03
15.93	2.53	2.34	26.114	18.607	15.93	0	2018-08-17T07:25:22.150354389Z	2.31	kafka-001	51.03
15.93	2.49	2.84	23.634	16.793	15.93	0	2018-08-17T07:25:29.161757409Z	2.34	kafka-001	51.03
15.93	2.58	2.33	25.758	18.294	15.93	0	2018-08-17T07:25:36.173061899Z	2.84	kafka-001	51.03
15.93	2.49	2.72	24.006	16.765	15.93	0	2018-08-17T07:25:43.186636942Z	2.33	kafka-001	51.03
15.93	2.53	2.44	25.714	17.334	15.93	0	2018-08-17T07:25:50.198923319Z	2.72	kafka-001	51.03
