host_cpu	memory_rss%	container_cpu%	name	host_moving_avg_cpu	memory_active_anon%	timestamp	net_send	memory%	sensor_count	net_receive
0	15.95	2.26	kafka-001	nan	15.95	2018-08-18T03:59:28.853296304Z	18681000.073	89.14	1	18157801.217
2.26	15.95	2.27	kafka-001	nan	15.95	2018-08-18T03:59:35.864623069Z	1.744	89.14	4	2.93
2.27	15.95	1.44	kafka-001	nan	15.95	2018-08-18T03:59:42.875436895Z	1.526	89.14	8	2.751
1.44	15.95	1.54	kafka-001	nan	15.95	2018-08-18T03:59:49.8882681Z	1.698	89.14	12	3.039
1.54	15.95	1.66	kafka-001	nan	15.95	2018-08-18T03:59:56.898971584Z	1.718	89.14	16	3.176
1.66	15.95	1.66	kafka-001	1.53	15.95	2018-08-18T04:00:03.910227417Z	1.354	89.13	19	2.463
1.66	15.95	2.1	kafka-001	1.8	15.95	2018-08-18T04:00:10.922478142Z	3.004	89.13	23	4.71
2.1	15.95	1.64	kafka-001	1.78	15.95	2018-08-18T04:00:17.933690241Z	2.284	89.13	26	3.423
1.64	15.95	1.45	kafka-001	1.67	15.95	2018-08-18T04:00:24.946789926Z	1.42	89.13	29	2.529
1.45	15.95	1.58	kafka-001	1.67	15.95	2018-08-18T04:00:31.958048688Z	1.596	89.13	31	2.778
1.58	15.95	2.29	kafka-001	1.68	15.95	2018-08-18T04:00:38.969351614Z	1.842	89.13	34	3.039
2.29	15.95	2.02	kafka-001	1.79	15.95	2018-08-18T04:00:45.982408943Z	1.732	89.13	36	2.93
2.02	15.95	1.51	kafka-001	1.85	15.95	2018-08-18T04:00:52.996918664Z	1.67	89.13	39	2.751
1.51	15.95	1.89	kafka-001	1.75	15.95	2018-08-18T04:01:00.00734491Z	1.89	89.13	41	3.464
1.89	15.95	1.76	kafka-001	1.79	15.95	2018-08-18T04:01:07.016602794Z	1.318	89.13	44	2.209
1.76	15.95	2.44	kafka-001	1.84	15.95	2018-08-18T04:01:14.029226827Z	1.354	89.13	46	2.463
2.44	15.95	1.65	kafka-001	1.98	15.95	2018-08-18T04:01:21.039226726Z	1.934	89.13	48	3.096
1.65	15.95	1.79	kafka-001	1.88	15.95	2018-08-18T04:01:28.050712154Z	1.686	89.13	50	2.615
1.79	15.95	1.76	kafka-001	1.84	15.95	2018-08-18T04:01:35.06230094Z	1.886	89.13	52	2.952
1.76	15.95	1.76	kafka-001	1.88	15.95	2018-08-18T04:01:42.073377781Z	1.318	89.13	54	2.209
1.76	15.95	2.0	kafka-001	1.86	15.95	2018-08-18T04:01:49.082933623Z	1.31	89.13	56	2.297
2.0	15.95	1.76	kafka-001	1.9	15.95	2018-08-18T04:01:56.094173815Z	1.338	89.13	58	2.346
1.76	15.95	1.76	kafka-001	1.79	15.95	2018-08-18T04:02:03.103114051Z	1.36	89.13	60	2.251
1.76	15.95	1.85	kafka-001	1.8	15.95	2018-08-18T04:02:10.116610329Z	1.682	89.13	62	2.922
1.85	15.95	1.62	kafka-001	1.81	15.95	2018-08-18T04:02:17.124743872Z	1.138	89.13	64	2.009
1.62	15.95	2.22	kafka-001	1.79	15.95	2018-08-18T04:02:24.136717297Z	1.232	89.13	65	2.065
2.22	15.95	1.66	kafka-001	1.87	15.95	2018-08-18T04:02:31.147467959Z	1.682	89.13	67	2.922
1.66	15.95	1.99	kafka-001	1.81	15.95	2018-08-18T04:02:38.158653139Z	1.444	89.13	69	2.315
1.99	15.95	1.72	kafka-001	1.85	15.95	2018-08-18T04:02:45.168899907Z	1.886	89.14	70	2.952
1.72	15.95	1.53	kafka-001	1.84	15.95	2018-08-18T04:02:52.179597261Z	2.0	89.14	72	3.081
1.53	15.95	2.0	kafka-001	1.79	15.95	2018-08-18T04:02:59.189120402Z	1.698	89.14	73	3.039
2.0	15.95	1.75	kafka-001	1.85	15.95	2018-08-18T04:03:06.200282662Z	1.424	89.14	75	2.49
1.75	15.95	2.31	kafka-001	1.78	15.95	2018-08-18T04:03:13.212910221Z	1.138	89.13	76	2.009
2.31	15.95	1.8	kafka-001	1.88	15.95	2018-08-18T04:03:20.226410098Z	1.724	89.13	78	2.964
