host_cpu	memory_rss%	container_cpu%	name	host_moving_avg_cpu	memory_active_anon%	timestamp	net_send	memory%	sensor_count	net_receive
0	38.26	7.6	cassandra-001	nan	38.26	2018-08-18T02:56:07.964809036Z	737452.794	92.13	0	4699083.218
7.6	38.26	49.11	cassandra-001	nan	38.26	2018-08-18T02:56:14.971252119Z	0.0	92.18	0	0.0
49.11	38.26	28.46	cassandra-001	nan	38.26	2018-08-18T02:56:21.978214505Z	0.342	92.17	0	0.282
28.46	38.27	35.02	cassandra-001	nan	38.27	2018-08-18T02:56:28.98784751Z	0.0	92.16	0	0.0
35.02	38.29	4.74	cassandra-001	nan	38.29	2018-08-18T02:56:35.994400955Z	0.0	92.28	0	0.0
4.74	38.27	1.32	cassandra-001	20.82	38.27	2018-08-18T02:56:43.003496549Z	0.0	60.78	0	0.0
1.32	38.27	1.29	cassandra-001	21.04	38.27	2018-08-18T02:56:50.011512943Z	0.342	60.78	0	0.282
1.29	38.27	1.12	cassandra-001	19.99	38.27	2018-08-18T02:56:57.019085868Z	0.0	60.78	0	0.0
1.12	38.27	1.08	cassandra-001	11.99	38.27	2018-08-18T02:57:04.025272181Z	0.0	60.78	0	0.0
1.08	38.27	1.16	cassandra-001	7.43	38.27	2018-08-18T02:57:11.031987865Z	0.0	60.78	0	0.0
1.16	38.27	1.21	cassandra-001	1.78	38.27	2018-08-18T02:57:18.039494347Z	0.342	60.78	0	0.282
1.21	38.27	1.15	cassandra-001	1.2	38.27	2018-08-18T02:57:25.045592073Z	0.0	60.78	0	0.0
