host_cpu	memory_rss%	container_cpu%	name	host_moving_avg_cpu	memory_active_anon%	timestamp	net_send	memory%	sensor_count	net_receive
0	15.95	1.54	kafka-001	nan	15.95	2018-08-18T04:22:17.351426562Z	18681282.051	89.13	0	18158268.814
1.54	15.95	1.61	kafka-001	nan	15.95	2018-08-18T04:22:24.36425951Z	1.052	89.13	0	1.931
1.61	15.95	1.72	kafka-001	nan	15.95	2018-08-18T04:22:31.37721653Z	1.424	89.13	0	2.49
1.72	15.95	2.54	kafka-001	nan	15.95	2018-08-18T04:22:38.388838366Z	1.698	89.13	0	3.039
2.54	15.95	2.11	kafka-001	nan	15.95	2018-08-18T04:22:45.400239994Z	2.062	89.13	0	3.816
2.11	15.95	1.42	kafka-001	1.59	15.95	2018-08-18T04:22:52.411572439Z	1.44	89.13	0	2.607
1.42	15.95	1.45	kafka-001	1.82	15.95	2018-08-18T04:22:59.422266107Z	2.226	89.13	0	3.567
1.45	15.95	1.72	kafka-001	1.81	15.95	2018-08-18T04:23:06.433897076Z	2.798	89.13	0	4.524
1.72	15.95	2.62	kafka-001	1.83	15.95	2018-08-18T04:23:13.445116347Z	1.65	89.13	0	2.673
2.62	15.95	1.93	kafka-001	1.98	15.95	2018-08-18T04:23:20.456553244Z	1.862	89.13	0	3.176
1.93	15.95	1.6	kafka-001	1.87	15.95	2018-08-18T04:23:27.467517051Z	1.532	89.13	0	2.539
1.6	15.95	1.46	kafka-001	1.79	15.95	2018-08-18T04:23:34.479128552Z	1.584	89.13	0	2.607
