host_moving_avg_cpu	name	memory_active_anon%	net_send	timestamp	memory%	net_receive	host_cpu	container_cpu%	sensor_count	memory_rss%
nan	kafka-001	15.93	18679522.53	2018-08-18T01:45:46.170165158Z	89.1	18155360.87	0	1.6	0	15.93
nan	kafka-001	15.93	1.138	2018-08-18T01:45:53.182371583Z	89.1	2.009	1.6	2.1	0	15.93
nan	kafka-001	15.93	1.666	2018-08-18T01:46:00.198283198Z	89.1	2.93	2.1	1.83	0	15.93
nan	kafka-001	15.93	1.49	2018-08-18T01:46:07.209792486Z	89.1	2.497	1.83	1.58	0	15.93
nan	kafka-001	15.93	1.224	2018-08-18T01:46:14.222206377Z	89.1	2.153	1.58	1.68	0	15.93
1.46	kafka-001	15.93	1.446	2018-08-18T01:46:21.23368337Z	89.1	2.454	1.68	1.7	0	15.93
1.75	kafka-001	15.93	1.866	2018-08-18T01:46:28.245818457Z	89.1	2.815	1.7	2.36	0	15.93
1.88	kafka-001	15.93	2.21	2018-08-18T01:46:35.257881357Z	89.1	3.45	2.36	1.78	0	15.93
1.82	kafka-001	15.93	1.008	2018-08-18T01:46:42.271452315Z	89.1	1.763	1.78	1.6	0	15.93
1.78	kafka-001	15.93	1.318	2018-08-18T01:46:49.282734812Z	89.1	2.209	1.6	1.58	0	15.93
1.78	kafka-001	15.93	2.202	2018-08-18T01:46:56.294417872Z	89.1	3.901	1.58	1.57	0	15.93
1.76	kafka-001	15.93	1.18	2018-08-18T01:47:03.306153479Z	89.1	2.051	1.57	2.59	0	15.93
