host_moving_avg_cpu	name	memory_active_anon%	net_send	timestamp	memory%	net_receive	host_cpu	container_cpu%	sensor_count	memory_rss%
nan	cassandra-001	38.15	737048.634	2018-08-18T00:23:00.419809822Z	71.05	4698981.522	0	1.21	0	38.15
nan	cassandra-001	38.15	0.171	2018-08-18T00:23:07.429305471Z	71.05	0.141	1.21	1.19	0	38.15
nan	cassandra-001	38.15	0.0	2018-08-18T00:23:14.437485564Z	71.05	0.0	1.19	1.51	0	38.15
nan	cassandra-001	38.15	0.171	2018-08-18T00:23:21.444178559Z	71.05	0.141	1.51	1.14	0	38.15
nan	cassandra-001	38.15	0.0	2018-08-18T00:23:28.451027193Z	71.05	0.0	1.14	1.12	0	38.15
1.03	cassandra-001	38.15	0.171	2018-08-18T00:23:35.458681379Z	71.05	0.141	1.12	1.3	0	38.15
1.24	cassandra-001	38.15	0.0	2018-08-18T00:23:42.468403462Z	71.05	0.0	1.3	1.2	0	38.15
1.24	cassandra-001	38.15	0.0	2018-08-18T00:23:49.476041908Z	71.05	0.0	1.2	1.14	0	38.15
1.24	cassandra-001	38.15	0.213	2018-08-18T00:23:56.482582718Z	71.05	0.183	1.14	1.07	0	38.15
1.16	cassandra-001	38.15	0.171	2018-08-18T00:24:03.48901855Z	71.05	0.141	1.07	1.16	0	38.15
1.17	cassandra-001	38.15	0.0	2018-08-18T00:24:10.496418402Z	71.05	0.0	1.16	1.12	0	38.15
1.17	cassandra-001	38.15	0.0	2018-08-18T00:24:17.502631827Z	71.05	0.0	1.12	1.06	0	38.15
