host_moving_avg_cpu	name	memory_active_anon%	net_send	timestamp	memory%	net_receive	host_cpu	container_cpu%	sensor_count	memory_rss%
nan	kafka-001	15.93	18678230.741	2018-08-18T00:00:00.798329093Z	89.34	18153223.23	0	2.13	1	15.93
nan	kafka-001	15.93	1.232	2018-08-18T00:00:07.80975368Z	89.35	2.065	2.13	1.55	6	15.93
nan	kafka-001	15.93	1.138	2018-08-18T00:00:14.821543947Z	89.35	2.009	1.55	1.61	9	15.93
nan	kafka-001	15.93	1.682	2018-08-18T00:00:21.834698296Z	89.35	2.922	1.61	1.62	14	15.93
nan	kafka-001	15.93	1.232	2018-08-18T00:00:28.847179071Z	89.35	2.065	1.62	2.37	17	15.93
1.55	kafka-001	15.93	1.424	2018-08-18T00:00:35.861308088Z	89.34	2.49	2.37	1.92	21	15.93
1.87	kafka-001	15.93	1.88	2018-08-18T00:00:42.875254034Z	89.35	2.867	1.92	1.54	24	15.93
1.77	kafka-001	15.93	1.866	2018-08-18T00:00:49.887224168Z	89.35	2.815	1.54	1.6	27	15.93
1.78	kafka-001	15.93	1.404	2018-08-18T00:00:56.900020234Z	89.34	2.412	1.6	1.89	30	15.93
1.82	kafka-001	15.93	1.224	2018-08-18T00:01:03.912291928Z	89.34	2.153	1.89	2.46	32	15.93
1.96	kafka-001	15.93	1.596	2018-08-18T00:01:10.924781062Z	89.34	2.778	2.46	2.04	35	15.93
1.91	kafka-001	15.93	1.232	2018-08-18T00:01:17.938854734Z	89.35	2.065	2.04	1.67	37	15.93
1.87	kafka-001	15.93	1.18	2018-08-18T00:01:24.952152768Z	89.34	2.051	1.67	1.61	40	15.93
1.88	kafka-001	15.93	1.682	2018-08-18T00:01:31.962775963Z	89.35	2.922	1.61	1.7	42	15.93
1.89	kafka-001	15.93	1.318	2018-08-18T00:01:38.975096543Z	89.35	2.209	1.7	2.49	44	15.93
2.0	kafka-001	15.93	1.338	2018-08-18T00:01:45.98958815Z	89.35	2.346	2.49	1.88	46	15.93
1.9	kafka-001	15.93	1.442	2018-08-18T00:01:53.001743366Z	89.35	2.429	1.88	1.5	48	15.93
1.81	kafka-001	15.93	2.124	2018-08-18T00:02:00.01615087Z	89.35	3.306	1.5	1.73	50	15.93
