host_moving_avg_cpu	name	memory_active_anon%	net_send	timestamp	memory%	net_receive	host_cpu	container_cpu%	sensor_count	memory_rss%
nan	kafka-001	15.93	18678872.763	2018-08-18T00:50:45.857507069Z	89.1	18154289.529	0	2.18	0	15.93
nan	kafka-001	15.93	1.138	2018-08-18T00:50:52.868950707Z	89.1	2.009	2.18	1.62	0	15.93
nan	kafka-001	15.93	1.146	2018-08-18T00:50:59.886803511Z	89.1	1.921	1.62	1.56	0	15.93
nan	kafka-001	15.93	1.768	2018-08-18T00:51:06.898507256Z	89.1	3.066	1.56	1.63	0	15.93
nan	kafka-001	15.93	1.18	2018-08-18T00:51:13.91225405Z	89.1	2.051	1.63	2.47	0	15.93
1.58	kafka-001	15.93	1.404	2018-08-18T00:51:20.928624146Z	89.1	2.412	2.47	1.94	0	15.93
1.9	kafka-001	15.93	1.952	2018-08-18T00:51:27.940000872Z	89.1	2.959	1.94	1.78	0	15.93
1.83	kafka-001	15.93	1.752	2018-08-18T00:51:34.953479795Z	89.1	2.681	1.78	1.54	0	15.93
1.82	kafka-001	15.93	1.544	2018-08-18T00:51:41.970192715Z	89.1	2.532	1.54	1.72	0	15.93
1.85	kafka-001	15.93	1.662	2018-08-18T00:51:48.98137926Z	89.1	2.607	1.72	2.34	0	15.93
1.96	kafka-001	15.93	1.682	2018-08-18T00:51:55.992504807Z	89.1	2.922	2.34	2.0	0	15.93
1.89	kafka-001	15.93	1.138	2018-08-18T00:52:03.003149494Z	89.1	2.009	2.0	1.43	0	15.93
