host_moving_avg_cpu	name	memory_active_anon%	net_send	timestamp	memory%	net_receive	host_cpu	container_cpu%	sensor_count	memory_rss%
nan	cassandra-001	37.97	737071.797	2018-08-18T00:56:05.250049698Z	57.41	4699000.695	0	1.01	1	37.97
nan	cassandra-001	37.97	0.0	2018-08-18T00:56:12.256490756Z	57.42	0.0	1.01	12.84	5	37.97
nan	cassandra-001	37.97	0.0	2018-08-18T00:56:19.263123683Z	57.46	0.0	12.84	14.01	9	37.97
nan	cassandra-001	37.97	0.171	2018-08-18T00:56:26.269215011Z	57.52	0.141	14.01	23.11	13	37.97
nan	cassandra-001	37.97	0.0	2018-08-18T00:56:33.275309068Z	57.6	0.0	23.11	21.26	16	37.97
12.04	cassandra-001	37.97	0.171	2018-08-18T00:56:40.281677256Z	57.68	0.141	21.26	22.42	20	37.97
15.78	cassandra-001	37.97	0.0	2018-08-18T00:56:47.292196589Z	57.8	0.0	22.42	31.3	23	37.97
20.82	cassandra-001	37.97	0.171	2018-08-18T00:56:54.298766595Z	57.93	0.141	31.3	32.31	26	37.97
24.07	cassandra-001	37.98	0.0	2018-08-18T00:57:01.305253861Z	58.08	0.0	32.31	34.88	29	37.98
27.55	cassandra-001	37.98	0.171	2018-08-18T00:57:08.31358129Z	58.24	0.141	34.88	40.82	32	37.98
30.5	cassandra-001	37.98	0.0	2018-08-18T00:57:15.323173313Z	58.41	0.0	40.82	48.93	35	37.98
35.11	cassandra-001	37.98	0.171	2018-08-18T00:57:22.329361899Z	58.6	0.141	48.93	32.69	37	37.98
36.82	cassandra-001	37.98	0.0	2018-08-18T00:57:29.336014553Z	59.66	0.0	32.69	128.35	40	37.98
53.0	cassandra-001	37.99	0.171	2018-08-18T00:57:36.342877259Z	59.93	0.141	128.35	51.48	42	37.99
56.19	cassandra-001	37.99	0.0	2018-08-18T00:57:43.350281813Z	60.16	0.0	51.48	55.55	44	37.99
59.64	cassandra-001	37.99	0.0	2018-08-18T00:57:50.356522213Z	60.39	0.0	55.55	67.42	46	37.99
64.07	cassandra-001	37.99	0.171	2018-08-18T00:57:57.362250459Z	60.63	0.141	67.42	64.27	48	37.99
66.63	cassandra-001	37.99	0.171	2018-08-18T00:58:04.385025627Z	60.89	0.141	64.27	55.2	50	37.99
70.38	cassandra-001	37.99	0.0	2018-08-18T00:58:11.397473641Z	61.16	0.0	55.2	63.07	52	37.99
