host_moving_avg_cpu	name	memory_active_anon%	net_send	timestamp	memory%	net_receive	host_cpu	container_cpu%	sensor_count	memory_rss%
nan	cassandra-001	38.15	737052.603	2018-08-18T00:28:16.573648714Z	71.05	4698984.861	0	3.15	0	38.15
nan	cassandra-001	38.15	0.171	2018-08-18T00:28:23.581763053Z	71.05	0.141	3.15	1.21	3	38.15
nan	cassandra-001	38.15	0.042	2018-08-18T00:28:30.592118681Z	71.06	0.042	1.21	51.49	7	38.15
nan	cassandra-001	38.15	0.171	2018-08-18T00:28:37.601571741Z	71.11	0.141	51.49	22.3	11	38.15
nan	cassandra-001	38.15	0.0	2018-08-18T00:28:44.610644252Z	71.17	0.0	22.3	26.46	15	38.15
17.44	cassandra-001	38.14	0.171	2018-08-18T00:28:51.617022908Z	71.25	0.141	26.46	26.07	18	38.14
21.78	cassandra-001	38.14	0.0	2018-08-18T00:28:58.6240616Z	71.35	0.0	26.07	28.65	21	38.14
26.03	cassandra-001	38.14	0.171	2018-08-18T00:29:05.630426679Z	71.47	0.141	28.65	37.32	24	38.14
32.05	cassandra-001	38.14	0.0	2018-08-18T00:29:12.636478738Z	71.6	0.0	37.32	42.8	28	38.14
30.6	cassandra-001	38.14	0.0	2018-08-18T00:29:19.64315883Z	71.76	0.0	42.8	44.0	31	38.14
34.22	cassandra-001	38.14	0.171	2018-08-18T00:29:26.64910148Z	71.92	0.141	44.0	36.78	33	38.14
35.94	cassandra-001	38.14	0.171	2018-08-18T00:29:33.655692319Z	73.41	0.141	36.78	40.39	36	38.14
38.32	cassandra-001	38.15	0.0	2018-08-18T00:29:40.661577781Z	73.61	0.0	40.39	41.25	38	38.15
40.42	cassandra-001	38.15	0.0	2018-08-18T00:29:47.669175062Z	73.82	0.0	41.25	44.37	41	38.15
41.6	cassandra-001	38.15	0.171	2018-08-18T00:29:54.677890597Z	74.04	0.141	44.37	44.65	43	38.15
41.91	cassandra-001	38.14	0.0	2018-08-18T00:30:01.684648684Z	74.26	0.0	44.65	46.26	45	38.14
42.28	cassandra-001	38.14	0.171	2018-08-18T00:30:08.691666055Z	74.5	0.141	46.26	54.65	47	38.14
45.26	cassandra-001	38.21	0.0	2018-08-18T00:30:15.698085995Z	74.83	0.0	54.65	57.76	49	38.21
48.16	cassandra-001	38.16	0.171	2018-08-18T00:30:22.704610052Z	75.04	0.141	57.76	57.44	51	38.16
50.85	cassandra-001	38.15	0.0	2018-08-18T00:30:29.712261021Z	75.82	0.0	57.44	103.97	53	38.15
60.79	cassandra-001	38.15	0.171	2018-08-18T00:30:36.723184685Z	76.07	0.141	103.97	54.55	55	38.15
62.44	cassandra-001	38.15	0.0	2018-08-18T00:30:43.729550222Z	76.37	0.0	54.55	63.72	57	38.15
65.35	cassandra-001	38.15	0.171	2018-08-18T00:30:50.739084934Z	76.66	0.141	63.72	64.32	59	38.15
66.96	cassandra-001	38.15	0.0	2018-08-18T00:30:57.746304276Z	76.98	0.0	64.32	62.32	61	38.15
67.72	cassandra-001	38.15	0.171	2018-08-18T00:31:04.75301328Z	77.29	0.141	62.32	61.53	62	38.15
68.4	cassandra-001	38.15	0.0	2018-08-18T00:31:11.759209554Z	77.62	0.0	61.53	71.27	64	38.15
62.95	cassandra-001	38.15	0.0	2018-08-18T00:31:18.766949489Z	78.89	0.0	71.27	100.65	66	38.15
70.63	cassandra-001	38.15	0.171	2018-08-18T00:31:25.77316322Z	80.64	0.141	100.65	100.21	68	38.15
76.72	cassandra-001	38.15	0.171	2018-08-18T00:31:32.780226814Z	82.39	0.141	100.21	113.77	69	38.15
84.96	cassandra-001	38.15	0.0	2018-08-18T00:31:39.78737824Z	84.17	0.0	113.77	99.22	71	38.15
91.11	cassandra-001	38.15	0.0	2018-08-18T00:31:46.794801115Z	85.04	0.0	99.22	62.74	72	38.15
91.31	cassandra-001	38.15	0.171	2018-08-18T00:31:53.801675324Z	80.24	0.141	62.74	61.91	74	38.15
89.75	cassandra-001	38.15	0.0	2018-08-18T00:32:00.811471353Z	80.7	0.0	61.91	86.17	75	38.15
87.34	cassandra-001	38.15	0.171	2018-08-18T00:32:07.817807679Z	81.09	0.141	86.17	76.44	77	38.15
83.37	cassandra-001	38.15	0.0	2018-08-18T00:32:14.824959528Z	81.48	0.0	76.44	75.82	78	38.15
77.05	cassandra-001	38.15	0.171	2018-08-18T00:32:21.831545401Z	81.89	0.141	75.82	69.84	80	38.15
72.15	cassandra-001	38.15	0.0	2018-08-18T00:32:28.838225785Z	82.3	0.0	69.84	69.87	81	38.15
73.34	cassandra-001	38.16	0.171	2018-08-18T00:32:35.844104885Z	82.42	0.141	69.87	78.3	83	38.16
76.07	cassandra-001	38.16	0.0	2018-08-18T00:32:42.851579149Z	82.85	0.0	78.3	95.72	84	38.16
77.66	cassandra-001	38.16	0.0	2018-08-18T00:32:49.857912086Z	83.28	0.0	95.72	72.22	86	38.16
76.96	cassandra-001	38.16	0.171	2018-08-18T00:32:56.865961567Z	83.72	0.141	72.22	70.65	87	38.16
76.1	cassandra-001	38.16	0.171	2018-08-18T00:33:03.874788081Z	85.45	0.141	70.65	97.18	88	38.16
80.66	cassandra-001	38.16	0.0	2018-08-18T00:33:10.882970217Z	84.31	0.0	97.18	91.04	90	38.16
84.18	cassandra-001	38.16	0.0	2018-08-18T00:33:17.889560695Z	84.76	0.0	91.04	91.23	91	38.16
86.34	cassandra-001	38.16	0.171	2018-08-18T00:33:24.896518889Z	85.24	0.141	91.23	81.73	93	38.16
84.01	cassandra-001	38.16	0.0	2018-08-18T00:33:31.903120966Z	85.71	0.0	81.73	79.43	94	38.16
85.21	cassandra-001	38.16	0.171	2018-08-18T00:33:38.909314247Z	86.46	0.141	79.43	109.91	95	38.16
91.75	cassandra-001	38.16	0.0	2018-08-18T00:33:45.915580572Z	88.36	0.0	109.91	114.15	96	38.16
94.58	cassandra-001	38.2	0.171	2018-08-18T00:33:52.922455891Z	90.28	0.141	114.15	121.23	98	38.2
