host_moving_avg_cpu	name	memory_active_anon%	net_send	timestamp	memory%	net_receive	host_cpu	container_cpu%	sensor_count	memory_rss%
nan	kafka-001	15.93	18678526.438	2018-08-18T00:23:00.212483364Z	89.1	18153716.896	0	1.91	0	15.93
nan	kafka-001	15.93	1.094	2018-08-18T00:23:07.224326832Z	89.1	1.907	1.91	1.53	0	15.93
nan	kafka-001	15.93	1.232	2018-08-18T00:23:14.237731843Z	89.1	2.065	1.53	1.72	0	15.93
nan	kafka-001	15.93	1.682	2018-08-18T00:23:21.25359929Z	89.1	2.922	1.72	1.56	0	15.93
nan	kafka-001	15.93	1.138	2018-08-18T00:23:28.265941009Z	89.1	2.009	1.56	2.56	0	15.93
1.55	kafka-001	15.93	1.49	2018-08-18T00:23:35.277547366Z	89.1	2.556	2.56	1.77	0	15.93
1.84	kafka-001	15.93	1.908	2018-08-18T00:23:42.286772924Z	89.1	2.857	1.77	1.58	0	15.93
1.79	kafka-001	15.93	1.686	2018-08-18T00:23:49.298247797Z	89.1	2.615	1.58	1.45	0	15.93
1.77	kafka-001	15.93	1.568	2018-08-18T00:23:56.309807804Z	89.1	2.556	1.45	1.72	0	15.93
1.77	kafka-001	15.93	1.318	2018-08-18T00:24:03.325589537Z	89.1	2.209	1.72	2.37	0	15.93
1.91	kafka-001	15.93	1.682	2018-08-18T00:24:10.33799515Z	89.1	2.922	2.37	2.04	0	15.93
1.82	kafka-001	15.93	1.052	2018-08-18T00:24:17.350393415Z	89.1	1.865	2.04	1.49	0	15.93
