host_moving_avg_cpu	name	memory_active_anon%	net_send	timestamp	memory%	net_receive	host_cpu	container_cpu%	sensor_count	memory_rss%
nan	cassandra-001	38.01	737068.035	2018-08-18T00:50:48.091252861Z	92.5	4698997.593	0	51.52	0	38.01
nan	cassandra-001	38.02	0.171	2018-08-18T00:50:55.097557149Z	92.71	0.141	51.52	47.38	0	38.02
nan	cassandra-001	38.02	0.0	2018-08-18T00:51:02.104294786Z	92.73	0.0	47.38	32.14	0	38.02
nan	cassandra-001	38.02	0.171	2018-08-18T00:51:09.111422901Z	92.62	0.141	32.14	10.66	0	38.02
nan	cassandra-001	38.02	0.0	2018-08-18T00:51:16.118779687Z	92.8	0.0	10.66	37.24	0	38.02
29.82	cassandra-001	38.0	0.171	2018-08-18T00:51:23.127383522Z	92.85	0.141	37.24	32.11	0	38.0
35.18	cassandra-001	38.0	0.0	2018-08-18T00:51:30.134957293Z	92.54	0.0	32.11	45.61	0	38.0
34.19	cassandra-001	38.0	0.171	2018-08-18T00:51:37.141092304Z	92.73	0.141	45.61	32.02	0	38.0
31.63	cassandra-001	38.0	0.0	2018-08-18T00:51:44.147700534Z	92.71	0.0	32.02	41.47	0	38.0
33.18	cassandra-001	38.0	0.171	2018-08-18T00:51:51.154371097Z	92.72	0.141	41.47	5.71	0	38.0
32.36	cassandra-001	38.0	0.0	2018-08-18T00:51:58.161292709Z	92.79	0.0	5.71	43.53	0	38.0
33.41	cassandra-001	38.0	0.171	2018-08-18T00:52:05.170822706Z	92.56	0.141	43.53	40.76	0	38.0
